X,ieee802154Narrow.anchor[16].appl/Dropped Packets in AN - No ACK received
1.86,9
4.28,0
6.7,0
9.12,1
11.54,0
13.96,2
16.38,1
18.8,0
21.22,0
23.64,1
26.06,1
28.48,0
30.9,0
33.32,0
35.74,2
38.16,0
40.58,1
43,4
45.42,2
47.84,0
50.26,2
52.68,3
55.1,3
57.52,3
59.94,2
62.36,3
64.78,3
67.2,0
69.62,1
72.04,1
74.46,1
76.88,0
79.3,0
81.72,2
84.14,1
86.56,3
88.98,2
91.4,2
93.82,0
96.24,0
98.66,0
101.08,0
103.5,1
105.92,1
108.34,2
110.76,2
113.18,0
115.6,0
118.02,0
120.44,1
122.86,0
125.28,0
127.7,2
130.12,0
132.54,1
134.96,1
137.38,3
139.8,0
142.22,0
144.64,1
147.06,0
149.48,0
151.9,0
154.32,0
156.74,0
159.16,0
161.58,1
164,0
166.42,0
168.84,2
171.26,2
173.68,2
176.1,1
178.52,1
180.94,0
183.36,1
185.78,2
188.2,2
190.62,2
193.04,4
195.46,4
197.88,1
200.3,2
202.72,2
205.14,1
207.56,0
209.98,1
212.4,1
214.82,0
217.24,0
219.66,0
222.08,0
224.5,0
226.92,1
229.34,0
231.76,0
234.18,1
236.6,2
239.02,1
241.44,2
243.86,0
246.28,0
248.7,1
251.12,1
253.54,1
255.96,0
258.38,2
260.8,2
263.22,2
265.64,1
268.06,1
270.48,2
272.9,1
275.32,0
277.74,0
280.16,2
282.58,1
285,1
287.42,3
289.84,0
292.26,0
294.68,0
297.1,0
299.52,0
301.94,0
304.36,0
306.78,1
309.2,1
311.62,0
314.04,0
316.46,0
318.88,0
321.3,0
323.72,0
326.14,0
328.56,1
330.98,1
333.4,0
335.82,0
338.24,1
340.66,0
343.08,0
345.5,0
347.92,0
350.34,1
352.76,0
355.18,0
357.6,0
360.02,0
362.44,2
364.86,0
367.28,0
369.7,1
372.12,0
374.54,1
376.96,0
379.38,0
381.8,1
384.22,0
386.64,1
389.06,0
391.48,0
393.9,0
396.32,0
398.74,1
401.16,0
403.58,0
406,1
408.42,1
410.84,1
413.26,1
415.68,1
418.1,0
420.52,1
422.94,0
425.36,1
427.78,2
430.2,0
432.62,0
435.04,0
437.46,0
439.88,0
442.3,1
444.72,0
447.14,0
449.56,1
451.98,2
454.4,0
456.82,0
459.24,1
461.66,2
464.08,6
466.5,0
468.92,1
471.34,2
473.76,0
476.18,0
478.6,0
481.02,0
483.44,2
