X,ieee802154Narrow.computer[0].appl/Number of packets sent from mobile node 0
1.86,1
4.28,3
6.7,2
9.12,3
11.54,3
13.96,5
16.38,4
18.8,5
21.22,6
23.64,5
26.06,6
28.48,3
30.9,5
33.32,3
35.74,5
38.16,5
40.58,6
43,5
45.42,5
47.84,4
50.26,4
52.68,2
55.1,4
57.52,3
59.94,4
62.36,4
64.78,6
67.2,5
69.62,5
72.04,5
74.46,3
76.88,6
79.3,7
81.72,7
84.14,7
86.56,6
88.98,6
91.4,5
93.82,4
96.24,4
98.66,5
101.08,7
103.5,7
105.92,7
108.34,7
110.76,6
113.18,7
115.6,7
118.02,7
120.44,7
122.86,7
125.28,8
127.7,8
130.12,6
132.54,6
134.96,5
137.38,6
139.8,7
142.22,5
144.64,6
147.06,7
149.48,6
151.9,7
154.32,7
156.74,7
159.16,8
161.58,8
164,7
166.42,7
168.84,7
171.26,7
173.68,7
176.1,8
178.52,8
180.94,7
183.36,7
185.78,7
188.2,6
190.62,6
193.04,5
195.46,6
197.88,6
200.3,6
202.72,6
205.14,6
207.56,6
209.98,6
212.4,6
214.82,6
217.24,6
219.66,6
222.08,6
224.5,6
226.92,6
229.34,5
231.76,5
234.18,5
236.6,4
239.02,4
241.44,4
243.86,4
246.28,4
248.7,4
251.12,4
253.54,4
255.96,4
258.38,4
260.8,4
263.22,4
265.64,4
268.06,4
270.48,4
272.9,4
275.32,4
277.74,4
280.16,4
282.58,6
285,6
287.42,6
289.84,7
292.26,7
294.68,7
297.1,7
299.52,7
301.94,7
304.36,7
306.78,7
309.2,6
311.62,8
314.04,6
316.46,7
318.88,7
321.3,7
323.72,7
326.14,7
328.56,6
330.98,7
333.4,7
335.82,7
338.24,7
340.66,7
343.08,7
345.5,8
347.92,7
350.34,7
352.76,7
355.18,7
357.6,7
360.02,7
362.44,6
364.86,6
367.28,5
369.7,5
372.12,6
374.54,6
376.96,5
379.38,6
381.8,6
384.22,7
386.64,6
389.06,7
391.48,8
393.9,8
396.32,7
398.74,8
401.16,8
403.58,8
406,9
408.42,9
410.84,7
413.26,7
415.68,7
418.1,7
420.52,7
422.94,7
425.36,7
427.78,7
430.2,6
432.62,6
435.04,6
437.46,6
439.88,5
442.3,6
444.72,6
447.14,6
449.56,6
451.98,6
454.4,5
456.82,6
459.24,5
461.66,5
464.08,5
466.5,5
468.92,3
471.34,4
473.76,5
476.18,5
478.6,5
481.02,6
483.44,6
