X,ieee802154Narrow.anchor[8].appl/Number of AN Reports with ACK
1.86,36
4.28,42
6.7,42
9.12,43
11.54,45
13.96,45
16.38,45
18.8,45
21.22,45
23.64,47
26.06,46
28.48,44
30.9,47
33.32,48
35.74,46
38.16,46
40.58,49
43,52
45.42,50
47.84,47
50.26,50
52.68,48
55.1,51
57.52,52
59.94,48
62.36,51
64.78,49
67.2,46
69.62,52
72.04,52
74.46,58
76.88,50
79.3,55
81.72,55
84.14,50
86.56,50
88.98,56
91.4,56
93.82,53
96.24,53
98.66,55
101.08,56
103.5,56
105.92,53
108.34,47
110.76,55
113.18,57
115.6,56
118.02,57
120.44,56
122.86,56
125.28,60
127.7,59
130.12,59
132.54,58
134.96,57
137.38,56
139.8,56
142.22,55
144.64,53
147.06,50
149.48,50
151.9,49
154.32,50
156.74,51
159.16,52
161.58,53
164,53
166.42,54
168.84,52
171.26,51
173.68,48
176.1,50
178.52,51
180.94,52
183.36,51
185.78,52
188.2,51
190.62,51
193.04,50
195.46,52
197.88,53
200.3,51
202.72,51
205.14,51
207.56,52
209.98,52
212.4,54
214.82,52
217.24,52
219.66,52
222.08,50
224.5,50
226.92,51
229.34,51
231.76,52
234.18,51
236.6,52
239.02,56
241.44,57
243.86,57
246.28,51
248.7,54
251.12,55
253.54,52
255.96,56
258.38,57
260.8,56
263.22,59
265.64,59
268.06,55
270.48,57
272.9,58
275.32,58
277.74,54
280.16,54
282.58,55
285,54
287.42,53
289.84,53
292.26,52
294.68,52
297.1,52
299.52,53
301.94,52
304.36,51
306.78,49
309.2,48
311.62,48
314.04,47
316.46,44
318.88,47
321.3,50
323.72,50
326.14,53
328.56,52
330.98,51
333.4,53
335.82,54
338.24,54
340.66,53
343.08,54
345.5,53
347.92,54
350.34,54
352.76,54
355.18,55
357.6,55
360.02,53
362.44,56
364.86,60
367.28,58
369.7,57
372.12,57
374.54,58
376.96,60
379.38,60
381.8,59
384.22,59
386.64,58
389.06,57
391.48,56
393.9,56
396.32,55
398.74,56
401.16,54
403.58,52
406,53
408.42,54
410.84,52
413.26,52
415.68,50
418.1,49
420.52,52
422.94,52
425.36,51
427.78,55
430.2,54
432.62,49
435.04,54
437.46,56
439.88,55
442.3,56
444.72,52
447.14,52
449.56,54
451.98,55
454.4,52
456.82,53
459.24,51
461.66,53
464.08,53
466.5,53
468.92,53
471.34,53
473.76,52
476.18,51
478.6,52
481.02,52
483.44,52
