X,ieee802154Narrow.computer[0].appl/received-packets-per-period
1.86,91
4.28,87
6.7,92
9.12,93
11.54,93
13.96,93
16.38,97
18.8,97
21.22,96
23.64,99
26.06,94
28.48,97
30.9,97
33.32,101
35.74,100
38.16,96
40.58,103
43,101
45.42,100
47.84,100
50.26,98
52.68,96
55.1,98
57.52,96
59.94,88
62.36,93
64.78,90
67.2,92
69.62,92
72.04,94
74.46,102
76.88,91
79.3,98
81.72,94
84.14,95
86.56,92
88.98,100
91.4,98
93.82,101
96.24,91
98.66,93
101.08,97
103.5,103
105.92,94
108.34,93
110.76,101
113.18,99
115.6,105
118.02,102
120.44,102
122.86,104
125.28,106
127.7,102
130.12,100
132.54,100
134.96,102
137.38,101
139.8,104
142.22,99
144.64,99
147.06,94
149.48,92
151.9,93
154.32,100
156.74,101
159.16,103
161.58,108
164,106
166.42,108
168.84,103
171.26,99
173.68,99
176.1,103
178.52,101
180.94,104
183.36,99
185.78,98
188.2,96
190.62,98
193.04,100
195.46,97
197.88,102
200.3,99
202.72,103
205.14,99
207.56,99
209.98,97
212.4,99
214.82,98
217.24,99
219.66,102
222.08,102
224.5,99
226.92,102
229.34,100
231.76,105
234.18,100
236.6,99
239.02,104
241.44,107
243.86,105
246.28,98
248.7,100
251.12,98
253.54,95
255.96,99
258.38,99
260.8,104
263.22,102
265.64,104
268.06,100
270.48,103
272.9,103
275.32,107
277.74,97
280.16,97
282.58,104
285,100
287.42,97
289.84,95
292.26,93
294.68,93
297.1,98
299.52,98
301.94,99
304.36,96
306.78,95
309.2,100
311.62,95
314.04,91
316.46,92
318.88,89
321.3,93
323.72,93
326.14,103
328.56,101
330.98,96
333.4,95
335.82,97
338.24,96
340.66,96
343.08,92
345.5,93
347.92,99
350.34,94
352.76,96
355.18,100
357.6,100
360.02,96
362.44,98
364.86,106
367.28,101
369.7,103
372.12,100
374.54,99
376.96,107
379.38,106
381.8,102
384.22,105
386.64,111
389.06,100
391.48,102
393.9,100
396.32,104
398.74,101
401.16,100
403.58,101
406,101
408.42,103
410.84,105
413.26,101
415.68,100
418.1,98
420.52,100
422.94,98
425.36,101
427.78,101
430.2,99
432.62,105
435.04,100
437.46,102
439.88,99
442.3,98
444.72,103
447.14,97
449.56,101
451.98,104
454.4,100
456.82,98
459.24,100
461.66,98
464.08,98
466.5,97
468.92,100
471.34,102
473.76,96
476.18,94
478.6,101
481.02,91
483.44,93
