X,ieee802154Narrow.anchor[16].appl/Dropped Packets in AN - Max MAC BackOff tries
1.86,10
4.28,0
6.7,6
9.12,1
11.54,2
13.96,1
16.38,0
18.8,1
21.22,1
23.64,0
26.06,0
28.48,0
30.9,0
33.32,3
35.74,0
38.16,2
40.58,5
43,1
45.42,1
47.84,1
50.26,1
52.68,0
55.1,0
57.52,0
59.94,0
62.36,0
64.78,0
67.2,1
69.62,1
72.04,2
74.46,1
76.88,0
79.3,0
81.72,0
84.14,0
86.56,0
88.98,0
91.4,2
93.82,1
96.24,4
98.66,3
101.08,1
103.5,0
105.92,4
108.34,3
110.76,3
113.18,1
115.6,2
118.02,2
120.44,0
122.86,2
125.28,1
127.7,0
130.12,3
132.54,0
134.96,4
137.38,5
139.8,3
142.22,0
144.64,0
147.06,2
149.48,0
151.9,1
154.32,0
156.74,0
159.16,0
161.58,1
164,3
166.42,3
168.84,0
171.26,1
173.68,1
176.1,1
178.52,2
180.94,1
183.36,0
185.78,0
188.2,6
190.62,0
193.04,0
195.46,0
197.88,2
200.3,3
202.72,2
205.14,0
207.56,1
209.98,0
212.4,0
214.82,3
217.24,0
219.66,0
222.08,0
224.5,0
226.92,0
229.34,0
231.76,0
234.18,1
236.6,2
239.02,2
241.44,3
243.86,0
246.28,0
248.7,1
251.12,1
253.54,1
255.96,0
258.38,0
260.8,0
263.22,1
265.64,0
268.06,3
270.48,5
272.9,0
275.32,0
277.74,1
280.16,1
282.58,1
285,5
287.42,1
289.84,0
292.26,0
294.68,0
297.1,3
299.52,1
301.94,1
304.36,0
306.78,0
309.2,3
311.62,1
314.04,1
316.46,0
318.88,0
321.3,4
323.72,1
326.14,2
328.56,0
330.98,1
333.4,1
335.82,0
338.24,0
340.66,0
343.08,0
345.5,0
347.92,0
350.34,0
352.76,0
355.18,0
357.6,0
360.02,0
362.44,0
364.86,1
367.28,0
369.7,2
372.12,0
374.54,0
376.96,0
379.38,2
381.8,0
384.22,0
386.64,0
389.06,0
391.48,0
393.9,0
396.32,0
398.74,0
401.16,0
403.58,0
406,0
408.42,0
410.84,0
413.26,0
415.68,0
418.1,0
420.52,0
422.94,0
425.36,0
427.78,0
430.2,0
432.62,0
435.04,0
437.46,1
439.88,0
442.3,0
444.72,0
447.14,2
449.56,0
451.98,1
454.4,0
456.82,0
459.24,0
461.66,1
464.08,6
466.5,1
468.92,2
471.34,0
473.76,1
476.18,0
478.6,0
481.02,0
483.44,2
