X,ieee802154Narrow.anchor[16].appl/Number of AN Reports with ACK
1.86,6
4.28,7
6.7,9
9.12,9
11.54,10
13.96,9
16.38,9
18.8,10
21.22,9
23.64,9
26.06,8
28.48,9
30.9,7
33.32,6
35.74,5
38.16,5
40.58,5
43,6
45.42,6
47.84,6
50.26,6
52.68,5
55.1,6
57.52,6
59.94,6
62.36,6
64.78,6
67.2,6
69.62,6
72.04,6
74.46,6
76.88,6
79.3,6
81.72,6
84.14,7
86.56,7
88.98,7
91.4,9
93.82,7
96.24,8
98.66,8
101.08,8
103.5,7
105.92,6
108.34,6
110.76,6
113.18,6
115.6,6
118.02,6
120.44,6
122.86,6
125.28,6
127.7,6
130.12,5
132.54,5
134.96,5
137.38,5
139.8,5
142.22,5
144.64,5
147.06,5
149.48,5
151.9,5
154.32,5
156.74,5
159.16,5
161.58,5
164,4
166.42,4
168.84,4
171.26,4
173.68,5
176.1,5
178.52,4
180.94,4
183.36,4
185.78,5
188.2,3
190.62,5
193.04,5
195.46,5
197.88,5
200.3,5
202.72,5
205.14,5
207.56,5
209.98,6
212.4,5
214.82,5
217.24,5
219.66,5
222.08,5
224.5,5
226.92,5
229.34,5
231.76,5
234.18,5
236.6,6
239.02,6
241.44,6
243.86,6
246.28,7
248.7,6
251.12,8
253.54,8
255.96,7
258.38,7
260.8,7
263.22,6
265.64,6
268.06,6
270.48,6
272.9,6
275.32,6
277.74,6
280.16,7
282.58,6
285,7
287.42,8
289.84,8
292.26,7
294.68,7
297.1,9
299.52,9
301.94,9
304.36,9
306.78,8
309.2,8
311.62,8
314.04,8
316.46,8
318.88,8
321.3,8
323.72,8
326.14,8
328.56,8
330.98,9
333.4,9
335.82,9
338.24,9
340.66,8
343.08,8
345.5,9
347.92,9
350.34,7
352.76,7
355.18,8
357.6,8
360.02,7
362.44,6
364.86,6
367.28,6
369.7,6
372.12,7
374.54,7
376.96,7
379.38,7
381.8,7
384.22,7
386.64,9
389.06,8
391.48,11
393.9,10
396.32,11
398.74,10
401.16,10
403.58,11
406,11
408.42,10
410.84,9
413.26,9
415.68,9
418.1,10
420.52,9
422.94,10
425.36,10
427.78,9
430.2,9
432.62,9
435.04,9
437.46,8
439.88,8
442.3,8
444.72,8
447.14,8
449.56,9
451.98,9
454.4,9
456.82,9
459.24,8
461.66,9
464.08,9
466.5,8
468.92,8
471.34,7
473.76,7
476.18,7
478.6,8
481.02,7
483.44,7
