X,ieee802154Narrow.computer[0].appl/received-no-repeated-packets-per-period
1.86,71
4.28,81
6.7,83
9.12,90
11.54,86
13.96,94
16.38,88
18.8,92
21.22,91
23.64,96
26.06,90
28.48,90
30.9,93
33.32,92
35.74,94
38.16,93
40.58,90
43,91
45.42,90
47.84,85
50.26,85
52.68,78
55.1,81
57.52,80
59.94,77
62.36,83
64.78,83
67.2,81
69.62,89
72.04,87
74.46,86
76.88,85
79.3,81
81.72,84
84.14,85
86.56,84
88.98,78
91.4,82
93.82,84
96.24,84
98.66,86
101.08,87
103.5,87
105.92,87
108.34,78
110.76,81
113.18,77
115.6,84
118.02,84
120.44,87
122.86,90
125.28,91
127.7,85
130.12,86
132.54,89
134.96,87
137.38,85
139.8,86
142.22,85
144.64,84
147.06,85
149.48,86
151.9,85
154.32,86
156.74,86
159.16,86
161.58,85
164,83
166.42,85
168.84,85
171.26,85
173.68,85
176.1,89
178.52,90
180.94,92
183.36,91
185.78,90
188.2,89
190.62,87
193.04,89
195.46,89
197.88,90
200.3,88
202.72,83
205.14,89
207.56,88
209.98,87
212.4,90
214.82,93
217.24,89
219.66,95
222.08,89
224.5,93
226.92,92
229.34,95
231.76,90
234.18,91
236.6,90
239.02,91
241.44,87
243.86,91
246.28,92
248.7,91
251.12,87
253.54,86
255.96,93
258.38,95
260.8,95
263.22,94
265.64,94
268.06,88
270.48,94
272.9,91
275.32,96
277.74,92
280.16,88
282.58,92
285,91
287.42,92
289.84,91
292.26,90
294.68,90
297.1,89
299.52,90
301.94,91
304.36,94
306.78,91
309.2,89
311.62,87
314.04,89
316.46,87
318.88,90
321.3,90
323.72,94
326.14,94
328.56,93
330.98,92
333.4,89
335.82,88
338.24,91
340.66,89
343.08,90
345.5,94
347.92,96
350.34,97
352.76,91
355.18,95
357.6,95
360.02,96
362.44,95
364.86,96
367.28,90
369.7,95
372.12,97
374.54,96
376.96,96
379.38,99
381.8,100
384.22,95
386.64,98
389.06,102
391.48,102
393.9,106
396.32,107
398.74,106
401.16,106
403.58,104
406,102
408.42,101
410.84,101
413.26,101
415.68,102
418.1,102
420.52,103
422.94,101
425.36,97
427.78,94
430.2,91
432.62,89
435.04,92
437.46,95
439.88,95
442.3,93
444.72,90
447.14,94
449.56,95
451.98,95
454.4,93
456.82,95
459.24,97
461.66,97
464.08,99
466.5,100
468.92,101
471.34,98
473.76,97
476.18,98
478.6,101
481.02,100
483.44,101
