X,ieee802154Narrow.anchor[8].appl/Number of AN Reports with ACK
1.86,27
4.28,33
6.7,38
9.12,41
11.54,41
13.96,44
16.38,40
18.8,45
21.22,42
23.64,46
26.06,41
28.48,46
30.9,46
33.32,43
35.74,43
38.16,48
40.58,44
43,43
45.42,47
47.84,46
50.26,49
52.68,48
55.1,48
57.52,49
59.94,48
62.36,51
64.78,50
67.2,51
69.62,53
72.04,53
74.46,52
76.88,50
79.3,52
81.72,55
84.14,56
86.56,55
88.98,58
91.4,56
93.82,55
96.24,55
98.66,53
101.08,51
103.5,49
105.92,48
108.34,50
110.76,50
113.18,47
115.6,46
118.02,47
120.44,45
122.86,46
125.28,43
127.7,44
130.12,44
132.54,43
134.96,43
137.38,43
139.8,43
142.22,43
144.64,43
147.06,44
149.48,45
151.9,45
154.32,48
156.74,47
159.16,46
161.58,49
164,48
166.42,48
168.84,50
171.26,52
173.68,51
176.1,53
178.52,52
180.94,54
183.36,54
185.78,54
188.2,54
190.62,55
193.04,54
195.46,55
197.88,56
200.3,55
202.72,54
205.14,51
207.56,58
209.98,60
212.4,60
214.82,62
217.24,60
219.66,58
222.08,57
224.5,58
226.92,59
229.34,57
231.76,58
234.18,57
236.6,56
239.02,54
241.44,55
243.86,57
246.28,59
248.7,60
251.12,54
253.54,60
255.96,58
258.38,58
260.8,60
263.22,58
265.64,54
268.06,56
270.48,53
272.9,53
275.32,57
277.74,56
280.16,58
282.58,56
285,55
287.42,56
289.84,56
292.26,57
294.68,58
297.1,56
299.52,57
301.94,57
304.36,52
306.78,55
309.2,58
311.62,58
314.04,54
316.46,55
318.88,55
321.3,56
323.72,56
326.14,55
328.56,55
330.98,57
333.4,55
335.82,55
338.24,54
340.66,54
343.08,55
345.5,56
347.92,54
350.34,54
352.76,54
355.18,56
357.6,53
360.02,59
362.44,57
364.86,58
367.28,58
369.7,58
372.12,57
374.54,53
376.96,56
379.38,54
381.8,58
384.22,60
386.64,59
389.06,59
391.48,56
393.9,52
396.32,55
398.74,56
401.16,53
403.58,56
406,54
408.42,54
410.84,54
413.26,54
415.68,54
418.1,52
420.52,56
422.94,51
425.36,56
427.78,53
430.2,54
432.62,56
435.04,56
437.46,54
439.88,56
442.3,54
444.72,56
447.14,55
449.56,55
451.98,52
454.4,51
456.82,52
459.24,50
461.66,50
464.08,51
466.5,55
468.92,55
471.34,56
473.76,54
476.18,59
478.6,58
481.02,57
483.44,56
