X,ieee802154Narrow.anchor[12].appl/Dropped Packets in AN - No ACK received
1.86,11
4.28,3
6.7,8
9.12,3
11.54,2
13.96,2
16.38,3
18.8,1
21.22,6
23.64,6
26.06,9
28.48,5
30.9,7
33.32,6
35.74,7
38.16,4
40.58,2
43,3
45.42,2
47.84,2
50.26,2
52.68,4
55.1,2
57.52,0
59.94,2
62.36,2
64.78,3
67.2,3
69.62,2
72.04,2
74.46,1
76.88,2
79.3,1
81.72,1
84.14,1
86.56,2
88.98,1
91.4,1
93.82,0
96.24,2
98.66,4
101.08,1
103.5,0
105.92,2
108.34,1
110.76,0
113.18,1
115.6,0
118.02,2
120.44,1
122.86,0
125.28,2
127.7,0
130.12,0
132.54,1
134.96,2
137.38,1
139.8,2
142.22,1
144.64,2
147.06,2
149.48,3
151.9,3
154.32,1
156.74,1
159.16,3
161.58,2
164,2
166.42,2
168.84,1
171.26,2
173.68,1
176.1,1
178.52,1
180.94,0
183.36,0
185.78,0
188.2,1
190.62,0
193.04,0
195.46,3
197.88,3
200.3,1
202.72,1
205.14,3
207.56,1
209.98,0
212.4,0
214.82,0
217.24,1
219.66,0
222.08,0
224.5,0
226.92,2
229.34,1
231.76,0
234.18,1
236.6,0
239.02,2
241.44,0
243.86,0
246.28,0
248.7,2
251.12,0
253.54,2
255.96,0
258.38,0
260.8,0
263.22,3
265.64,1
268.06,0
270.48,1
272.9,0
275.32,1
277.74,0
280.16,1
282.58,1
285,0
287.42,0
289.84,1
292.26,1
294.68,1
297.1,1
299.52,1
301.94,1
304.36,1
306.78,1
309.2,2
311.62,0
314.04,1
316.46,1
318.88,4
321.3,1
323.72,0
326.14,1
328.56,1
330.98,1
333.4,1
335.82,1
338.24,2
340.66,3
343.08,3
345.5,1
347.92,0
350.34,0
352.76,0
355.18,0
357.6,2
360.02,2
362.44,3
364.86,3
367.28,2
369.7,4
372.12,1
374.54,0
376.96,3
379.38,4
381.8,1
384.22,1
386.64,1
389.06,3
391.48,4
393.9,1
396.32,1
398.74,3
401.16,3
403.58,0
406,3
408.42,1
410.84,1
413.26,2
415.68,3
418.1,1
420.52,1
422.94,1
425.36,2
427.78,3
430.2,0
432.62,0
435.04,2
437.46,0
439.88,0
442.3,0
444.72,1
447.14,2
449.56,0
451.98,0
454.4,1
456.82,0
459.24,0
461.66,3
464.08,3
466.5,0
468.92,3
471.34,2
473.76,3
476.18,3
478.6,0
481.02,3
483.44,1
