X,ieee802154Narrow.anchor[12].appl/Number of AN Reports with ACK
1.86,22
4.28,25
6.7,28
9.12,30
11.54,31
13.96,33
16.38,36
18.8,31
21.22,36
23.64,31
26.06,32
28.48,34
30.9,33
33.32,35
35.74,34
38.16,31
40.58,36
43,37
45.42,37
47.84,35
50.26,35
52.68,35
55.1,35
57.52,34
59.94,35
62.36,37
64.78,36
67.2,33
69.62,38
72.04,37
74.46,32
76.88,33
79.3,32
81.72,36
84.14,35
86.56,34
88.98,33
91.4,34
93.82,35
96.24,33
98.66,34
101.08,27
103.5,32
105.92,31
108.34,30
110.76,25
113.18,31
115.6,30
118.02,28
120.44,28
122.86,29
125.28,30
127.7,29
130.12,33
132.54,31
134.96,33
137.38,34
139.8,31
142.22,32
144.64,36
147.06,36
149.48,36
151.9,37
154.32,35
156.74,37
159.16,36
161.58,37
164,39
166.42,40
168.84,39
171.26,37
173.68,40
176.1,40
178.52,39
180.94,39
183.36,37
185.78,36
188.2,36
190.62,39
193.04,38
195.46,38
197.88,37
200.3,38
202.72,38
205.14,39
207.56,39
209.98,39
212.4,36
214.82,38
217.24,37
219.66,40
222.08,39
224.5,39
226.92,32
229.34,39
231.76,38
234.18,39
236.6,38
239.02,38
241.44,30
243.86,38
246.28,37
248.7,36
251.12,37
253.54,33
255.96,34
258.38,35
260.8,34
263.22,35
265.64,35
268.06,37
270.48,35
272.9,40
275.32,40
277.74,39
280.16,35
282.58,39
285,39
287.42,39
289.84,36
292.26,38
294.68,37
297.1,37
299.52,35
301.94,34
304.36,38
306.78,37
309.2,36
311.62,36
314.04,36
316.46,32
318.88,33
321.3,37
323.72,35
326.14,33
328.56,32
330.98,33
333.4,33
335.82,34
338.24,33
340.66,32
343.08,32
345.5,33
347.92,31
350.34,32
352.76,33
355.18,33
357.6,33
360.02,31
362.44,33
364.86,32
367.28,32
369.7,30
372.12,30
374.54,28
376.96,25
379.38,26
381.8,27
384.22,30
386.64,29
389.06,29
391.48,28
393.9,29
396.32,28
398.74,27
401.16,29
403.58,30
406,29
408.42,31
410.84,32
413.26,33
415.68,33
418.1,33
420.52,34
422.94,35
425.36,36
427.78,34
430.2,35
432.62,35
435.04,35
437.46,35
439.88,36
442.3,33
444.72,35
447.14,34
449.56,33
451.98,35
454.4,36
456.82,37
459.24,40
461.66,39
464.08,36
466.5,35
468.92,36
471.34,38
473.76,38
476.18,41
478.6,40
481.02,40
483.44,38
