X,ieee802154Narrow.anchor[16].appl/Dropped Packets in AN - Max MAC BackOff tries
1.86,3
4.28,1
6.7,0
9.12,0
11.54,0
13.96,0
16.38,2
18.8,0
21.22,1
23.64,0
26.06,0
28.48,0
30.9,0
33.32,0
35.74,0
38.16,0
40.58,2
43,0
45.42,0
47.84,0
50.26,0
52.68,0
55.1,1
57.52,0
59.94,0
62.36,1
64.78,1
67.2,0
69.62,0
72.04,1
74.46,0
76.88,0
79.3,0
81.72,0
84.14,0
86.56,0
88.98,0
91.4,0
93.82,0
96.24,0
98.66,0
101.08,0
103.5,0
105.92,0
108.34,0
110.76,0
113.18,0
115.6,0
118.02,0
120.44,0
122.86,0
125.28,0
127.7,0
130.12,0
132.54,0
134.96,2
137.38,0
139.8,0
142.22,0
144.64,0
147.06,0
149.48,0
151.9,0
154.32,0
156.74,0
159.16,0
161.58,0
164,0
166.42,0
168.84,0
171.26,0
173.68,0
176.1,0
178.52,0
180.94,0
183.36,0
185.78,0
188.2,0
190.62,0
193.04,0
195.46,0
197.88,0
200.3,0
202.72,0
205.14,0
207.56,0
209.98,0
212.4,0
214.82,0
217.24,0
219.66,0
222.08,0
224.5,0
226.92,0
229.34,0
231.76,0
234.18,0
236.6,0
239.02,0
241.44,0
243.86,0
246.28,0
248.7,1
251.12,2
253.54,7
255.96,1
258.38,1
260.8,1
263.22,0
265.64,1
268.06,1
270.48,0
272.9,2
275.32,0
277.74,1
280.16,2
282.58,0
285,1
287.42,3
289.84,0
292.26,1
294.68,0
297.1,0
299.52,1
301.94,1
304.36,4
306.78,1
309.2,0
311.62,1
314.04,1
316.46,1
318.88,2
321.3,3
323.72,3
326.14,2
328.56,4
330.98,2
333.4,2
335.82,2
338.24,1
340.66,0
343.08,0
345.5,0
347.92,1
350.34,0
352.76,0
355.18,5
357.6,2
360.02,1
362.44,2
364.86,2
367.28,0
369.7,2
372.12,0
374.54,1
376.96,0
379.38,0
381.8,2
384.22,4
386.64,5
389.06,2
391.48,4
393.9,0
396.32,0
398.74,2
401.16,0
403.58,0
406,0
408.42,0
410.84,0
413.26,0
415.68,0
418.1,3
420.52,2
422.94,3
425.36,3
427.78,1
430.2,0
432.62,0
435.04,0
437.46,2
439.88,0
442.3,7
444.72,2
447.14,2
449.56,1
451.98,0
454.4,1
456.82,3
459.24,2
461.66,1
464.08,2
466.5,3
468.92,6
471.34,0
473.76,2
476.18,2
478.6,0
481.02,0
483.44,1
