X,ieee802154Narrow.computer[0].appl/received-no-repeated-packets-per-period
1.86,73
4.28,81
6.7,88
9.12,91
11.54,92
13.96,95
16.38,92
18.8,95
21.22,91
23.64,95
26.06,89
28.48,93
30.9,91
33.32,85
35.74,86
38.16,89
40.58,84
43,85
45.42,86
47.84,88
50.26,91
52.68,90
55.1,91
57.52,92
59.94,94
62.36,97
64.78,97
67.2,97
69.62,97
72.04,100
74.46,99
76.88,98
79.3,97
81.72,101
84.14,101
86.56,99
88.98,103
91.4,100
93.82,103
96.24,102
98.66,100
101.08,102
103.5,100
105.92,101
108.34,104
110.76,104
113.18,104
115.6,101
118.02,100
120.44,100
122.86,101
125.28,96
127.7,98
130.12,97
132.54,96
134.96,96
137.38,97
139.8,97
142.22,97
144.64,99
147.06,97
149.48,99
151.9,99
154.32,101
156.74,100
159.16,98
161.58,101
164,101
166.42,103
168.84,104
171.26,102
173.68,101
176.1,101
178.52,99
180.94,103
183.36,104
185.78,105
188.2,103
190.62,106
193.04,105
195.46,103
197.88,105
200.3,105
202.72,102
205.14,95
207.56,103
209.98,104
212.4,103
214.82,103
217.24,103
219.66,100
222.08,99
224.5,100
226.92,103
229.34,102
231.76,105
234.18,105
236.6,104
239.02,102
241.44,100
243.86,103
246.28,107
248.7,108
251.12,101
253.54,106
255.96,103
258.38,101
260.8,103
263.22,102
265.64,96
268.06,97
270.48,95
272.9,96
275.32,102
277.74,101
280.16,103
282.58,101
285,100
287.42,102
289.84,100
292.26,101
294.68,102
297.1,99
299.52,101
301.94,102
304.36,100
306.78,101
309.2,102
311.62,101
314.04,96
316.46,98
318.88,96
321.3,96
323.72,95
326.14,91
328.56,92
330.98,95
333.4,94
335.82,93
338.24,94
340.66,95
343.08,98
345.5,97
347.92,95
350.34,95
352.76,94
355.18,100
357.6,96
360.02,100
362.44,99
364.86,100
367.28,99
369.7,99
372.12,97
374.54,93
376.96,95
379.38,93
381.8,96
384.22,95
386.64,94
389.06,95
391.48,92
393.9,90
396.32,90
398.74,95
401.16,93
403.58,95
406,95
408.42,97
410.84,96
413.26,96
415.68,94
418.1,94
420.52,99
422.94,95
425.36,99
427.78,95
430.2,95
432.62,97
435.04,97
437.46,97
439.88,99
442.3,98
444.72,99
447.14,98
449.56,99
451.98,93
454.4,93
456.82,92
459.24,91
461.66,90
464.08,89
466.5,90
468.92,91
471.34,93
473.76,90
476.18,94
478.6,94
481.02,94
483.44,92
