X,ieee802154Narrow.anchor[12].appl/Number of packets from this anchor
0.82,7
3.24,7
5.66,8
8.08,9
10.5,9
12.92,10
15.34,10
17.76,10
20.18,10
22.6,12
25.02,12
27.44,12
29.86,12
32.28,12
34.7,12
37.12,12
39.54,12
41.96,12
44.38,12
46.8,12
49.22,12
51.64,12
54.06,13
56.48,13
58.9,13
61.32,13
63.74,14
66.16,15
68.58,15
71,15
73.42,15
75.84,15
78.26,15
80.68,15
83.1,15
85.52,15
87.94,15
90.36,15
92.78,15
95.2,14
97.62,14
100.04,13
102.46,13
104.88,13
107.3,13
109.72,13
112.14,13
114.56,13
116.98,13
119.4,13
121.82,13
124.24,13
126.66,13
129.08,12
131.5,13
133.92,13
136.34,13
138.76,12
141.18,11
143.6,11
146.02,11
148.44,11
150.86,12
153.28,12
155.7,12
158.12,12
160.54,12
162.96,11
165.38,11
167.8,12
170.22,12
172.64,11
175.06,10
177.48,9
179.9,9
182.32,9
184.74,9
187.16,8
189.58,8
192,8
194.42,7
196.84,7
199.26,7
201.68,7
204.1,7
206.52,7
208.94,8
211.36,9
213.78,10
216.2,11
218.62,12
221.04,12
223.46,12
225.88,12
228.3,12
230.72,12
233.14,12
235.56,11
237.98,11
240.4,11
242.82,11
245.24,11
247.66,11
250.08,11
252.5,10
254.92,11
257.34,12
259.76,12
262.18,12
264.6,12
267.02,12
269.44,12
271.86,10
274.28,10
276.7,9
279.12,10
281.54,9
283.96,9
286.38,9
288.8,9
291.22,10
293.64,10
296.06,10
298.48,10
300.9,10
303.32,10
305.74,10
308.16,10
310.58,11
313,11
315.42,11
317.84,11
320.26,11
322.68,11
325.1,11
327.52,11
329.94,10
332.36,10
334.78,10
337.2,11
339.62,11
342.04,11
344.46,11
346.88,11
349.3,11
351.72,11
354.14,10
356.56,11
358.98,11
361.4,11
363.82,11
366.24,10
368.66,10
371.08,10
373.5,10
375.92,10
378.34,9
380.76,9
383.18,9
385.6,9
388.02,9
390.44,9
392.86,9
395.28,9
397.7,9
400.12,10
402.54,9
404.96,9
407.38,9
409.8,9
412.22,9
414.64,9
417.06,9
419.48,10
421.9,9
424.32,8
426.74,8
429.16,8
431.58,8
434,6
436.42,6
438.84,7
441.26,6
443.68,7
446.1,8
448.52,8
450.94,8
453.36,8
455.78,8
458.2,8
460.62,8
463.04,7
465.46,9
467.88,9
470.3,9
472.72,9
475.14,9
477.56,9
479.98,9
482.4,9
