X,ieee802154Narrow.anchor[16].appl/Number of packets from this anchor
0.82,3
3.24,3
5.66,2
8.08,2
10.5,3
12.92,3
15.34,3
17.76,3
20.18,3
22.6,3
25.02,3
27.44,3
29.86,3
32.28,3
34.7,3
37.12,4
39.54,4
41.96,5
44.38,6
46.8,6
49.22,6
51.64,6
54.06,6
56.48,6
58.9,7
61.32,7
63.74,7
66.16,7
68.58,8
71,9
73.42,9
75.84,9
78.26,9
80.68,10
83.1,10
85.52,11
87.94,11
90.36,9
92.78,9
95.2,9
97.62,9
100.04,9
102.46,10
104.88,10
107.3,9
109.72,9
112.14,9
114.56,9
116.98,9
119.4,10
121.82,10
124.24,10
126.66,10
129.08,10
131.5,10
133.92,10
136.34,10
138.76,10
141.18,10
143.6,10
146.02,10
148.44,10
150.86,10
153.28,10
155.7,10
158.12,10
160.54,10
162.96,10
165.38,10
167.8,10
170.22,10
172.64,10
175.06,9
177.48,9
179.9,9
182.32,9
184.74,9
187.16,9
189.58,9
192,9
194.42,8
196.84,8
199.26,9
201.68,8
204.1,7
206.52,6
208.94,6
211.36,6
213.78,6
216.2,7
218.62,7
221.04,7
223.46,7
225.88,7
228.3,7
230.72,7
233.14,6
235.56,6
237.98,6
240.4,6
242.82,6
245.24,6
247.66,5
250.08,5
252.5,5
254.92,5
257.34,5
259.76,7
262.18,7
264.6,7
267.02,7
269.44,7
271.86,6
274.28,7
276.7,7
279.12,8
281.54,8
283.96,8
286.38,8
288.8,8
291.22,8
293.64,8
296.06,9
298.48,10
300.9,10
303.32,10
305.74,10
308.16,10
310.58,10
313,11
315.42,11
317.84,11
320.26,11
322.68,11
325.1,11
327.52,11
329.94,11
332.36,11
334.78,11
337.2,10
339.62,9
342.04,9
344.46,8
346.88,8
349.3,8
351.72,8
354.14,7
356.56,7
358.98,7
361.4,8
363.82,8
366.24,8
368.66,8
371.08,8
373.5,7
375.92,7
378.34,7
380.76,7
383.18,6
385.6,5
388.02,5
390.44,5
392.86,5
395.28,5
397.7,4
400.12,3
402.54,3
404.96,3
407.38,3
409.8,3
412.22,2
414.64,2
417.06,2
419.48,2
421.9,2
424.32,1
426.74,1
429.16,1
431.58,1
434,1
436.42,1
438.84,1
441.26,0
443.68,0
446.1,0
448.52,0
450.94,0
453.36,0
455.78,0
458.2,0
460.62,0
463.04,0
465.46,0
467.88,0
470.3,0
472.72,0
475.14,1
477.56,1
479.98,1
482.4,2
