X,ieee802154Narrow.anchor[8].appl/Effectiveness in each anchor
1.86,1
4.28,0.988095
6.7,0.982993
9.12,0.968842
11.54,0.946115
13.96,0.931234
16.38,0.91002
18.8,0.879528
21.22,0.87594
23.64,0.846274
26.06,0.830923
28.48,0.859437
30.9,0.864566
33.32,0.913081
35.74,0.935517
38.16,0.928569
40.58,0.945968
43,0.953904
45.42,0.965559
47.84,0.988636
50.26,0.98123
52.68,0.966305
55.1,0.970093
57.52,0.966305
59.94,0.977499
62.36,0.992424
64.78,0.992045
67.2,0.995833
69.62,0.987359
72.04,0.97843
74.46,0.982597
76.88,0.973825
79.3,0.982299
81.72,0.991228
84.14,0.991228
86.56,1
88.98,1
91.4,0.995283
93.82,0.995283
96.24,0.995283
98.66,0.995283
101.08,1
103.5,1
105.92,1
108.34,1
110.76,1
113.18,1
115.6,1
118.02,1
120.44,1
122.86,1
125.28,1
127.7,1
130.12,1
132.54,0.99537
134.96,0.990741
137.38,0.986111
139.8,0.981647
142.22,0.981731
144.64,0.981815
147.06,0.986445
149.48,0.990909
151.9,0.990738
154.32,0.995283
156.74,0.995283
159.16,0.995283
161.58,0.995614
164,0.981725
166.42,0.97718
168.84,0.97718
171.26,0.97718
173.68,0.991069
176.1,0.99115
178.52,0.986983
180.94,0.987202
183.36,0.987202
185.78,0.991667
188.2,0.995833
190.62,0.991228
193.04,0.98713
195.46,0.983031
197.88,0.96319
200.3,0.960424
202.72,0.964522
205.14,0.96862
207.56,0.988462
209.98,0.977273
212.4,0.973174
214.82,0.969008
217.24,0.969008
219.66,0.983538
222.08,0.987637
224.5,0.991803
226.92,0.991803
229.34,0.995763
231.76,0.995763
234.18,0.983666
236.6,0.983666
239.02,0.987903
241.44,0.97957
243.86,0.98347
246.28,0.971175
248.7,0.971175
251.12,0.975342
253.54,0.983538
255.96,0.982675
258.38,0.982675
260.8,0.969893
263.22,0.969893
265.64,0.974279
268.06,0.974279
270.48,0.991228
272.9,0.991228
275.32,1
277.74,1
280.16,1
282.58,1
285,1
287.42,1
289.84,1
292.26,1
294.68,1
297.1,0.995192
299.52,0.990192
301.94,0.985475
304.36,0.980668
306.78,0.985475
309.2,0.990475
311.62,0.995192
314.04,1
316.46,1
318.88,1
321.3,1
323.72,1
326.14,1
328.56,1
330.98,1
333.4,1
335.82,0.994898
338.24,0.994898
340.66,0.994898
343.08,0.994898
345.5,1
347.92,1
350.34,1
352.76,1
355.18,1
357.6,1
360.02,0.995614
362.44,0.995614
364.86,0.995614
367.28,0.995614
369.7,1
372.12,0.99569
374.54,0.99569
376.96,0.99569
379.38,0.99569
381.8,1
384.22,1
386.64,1
389.06,1
391.48,1
393.9,1
396.32,1
398.74,1
401.16,1
403.58,0.996032
406,0.991933
408.42,0.991933
410.84,0.991933
413.26,0.991995
415.68,0.992306
418.1,0.965791
420.52,0.954072
422.94,0.94644
425.36,0.942415
427.78,0.964962
430.2,0.968744
432.62,0.97625
435.04,0.980031
437.46,0.979967
439.88,0.983805
442.3,0.98367
444.72,0.983238
447.14,0.97818
449.56,0.982278
451.98,0.986445
454.4,0.990909
456.82,0.995098
459.24,0.995098
461.66,0.985839
464.08,0.981374
466.5,0.986276
468.92,0.97264
471.34,0.981899
473.76,0.981556
476.18,0.981556
478.6,0.995192
481.02,0.995192
483.44,1
