X,ieee802154Narrow.anchor[0].appl/Number of packets from this anchor,ieee802154Narrow.anchor[1].appl/Number of packets from this anchor,ieee802154Narrow.anchor[2].appl/Number of packets from this anchor,ieee802154Narrow.anchor[3].appl/Number of packets from this anchor,ieee802154Narrow.anchor[4].appl/Number of packets from this anchor,ieee802154Narrow.anchor[5].appl/Number of packets from this anchor,ieee802154Narrow.anchor[6].appl/Number of packets from this anchor,ieee802154Narrow.anchor[7].appl/Number of packets from this anchor,ieee802154Narrow.anchor[8].appl/Number of packets from this anchor,ieee802154Narrow.anchor[9].appl/Number of packets from this anchor,ieee802154Narrow.anchor[10].appl/Number of packets from this anchor,ieee802154Narrow.anchor[11].appl/Number of packets from this anchor,ieee802154Narrow.anchor[12].appl/Number of packets from this anchor,ieee802154Narrow.anchor[13].appl/Number of packets from this anchor,ieee802154Narrow.anchor[14].appl/Number of packets from this anchor,ieee802154Narrow.anchor[15].appl/Number of packets from this anchor,ieee802154Narrow.anchor[16].appl/Number of packets from this anchor,ieee802154Narrow.anchor[17].appl/Number of packets from this anchor,ieee802154Narrow.anchor[18].appl/Number of packets from this anchor,ieee802154Narrow.anchor[19].appl/Number of packets from this anchor,ieee802154Narrow.anchor[20].appl/Number of packets from this anchor,ieee802154Narrow.anchor[21].appl/Number of packets from this anchor,ieee802154Narrow.anchor[22].appl/Number of packets from this anchor,ieee802154Narrow.anchor[23].appl/Number of packets from this anchor,ieee802154Narrow.anchor[24].appl/Number of packets from this anchor
0.82,1,2,4,5,4,2,5,6,6,4,2,6,7,6,2,4,7,7,4,0,1,4,5,1,0
3.24,1,2,4,5,4,2,5,6,6,4,2,6,7,7,2,4,7,7,3,0,1,4,5,1,0
5.66,1,2,4,5,3,2,5,6,6,4,2,8,8,7,2,4,7,7,3,0,1,4,5,1,0
8.08,1,2,4,5,2,2,5,6,6,4,2,8,9,7,2,4,7,7,3,0,1,4,5,1,0
10.5,1,2,4,5,2,2,5,6,6,4,3,8,9,7,2,4,7,7,3,0,1,4,5,1,0
12.92,1,2,4,5,1,2,5,7,6,4,3,8,10,7,2,3,7,7,4,0,1,4,5,1,0
15.34,1,2,4,3,1,2,5,7,6,4,3,8,10,7,2,3,7,7,4,0,1,3,5,1,0
17.76,1,2,4,2,1,2,6,7,6,4,3,10,10,7,2,3,7,7,5,0,1,4,5,1,0
20.18,1,2,4,2,1,2,6,7,6,4,3,10,10,7,2,3,7,7,6,0,1,4,5,1,0
22.6,1,2,3,2,1,2,6,7,6,4,3,10,12,7,2,3,7,7,6,0,1,4,5,1,0
25.02,1,2,2,2,1,2,6,7,6,3,3,10,12,7,2,3,7,8,6,0,1,4,5,1,0
27.44,1,2,2,2,1,2,7,8,6,3,3,10,12,7,3,3,7,8,6,0,0,4,5,1,0
29.86,1,2,2,2,1,2,6,8,5,3,3,10,12,8,3,2,7,8,6,0,0,4,5,1,0
