X,ieee802154Narrow.computer[0].appl/received-packets-per-period
1.86,84
4.28,79
6.7,80
9.12,84
11.54,84
13.96,82
16.38,85
18.8,88
21.22,87
23.64,90
26.06,89
28.48,86
30.9,88
33.32,93
35.74,90
38.16,92
40.58,88
43,89
45.42,93
47.84,89
50.26,91
52.68,93
55.1,100
57.52,95
59.94,96
62.36,95
64.78,97
67.2,91
69.62,97
72.04,105
74.46,97
76.88,99
79.3,97
81.72,103
84.14,104
86.56,98
88.98,100
91.4,97
93.82,98
96.24,89
98.66,100
101.08,98
103.5,99
105.92,99
108.34,101
110.76,98
113.18,102
115.6,98
118.02,98
120.44,99
122.86,102
125.28,101
127.7,102
130.12,104
132.54,101
134.96,103
137.38,109
139.8,108
142.22,103
144.64,108
147.06,110
149.48,112
151.9,113
154.32,99
156.74,99
159.16,100
161.58,99
164,98
166.42,98
168.84,93
171.26,98
173.68,98
176.1,98
178.52,98
180.94,97
183.36,93
185.78,100
188.2,92
190.62,95
193.04,105
195.46,98
197.88,91
200.3,97
202.72,91
205.14,90
207.56,95
209.98,90
212.4,96
214.82,92
217.24,94
219.66,98
222.08,96
224.5,95
226.92,98
229.34,96
231.76,99
234.18,102
236.6,100
239.02,103
241.44,99
243.86,100
246.28,100
248.7,101
251.12,103
253.54,101
255.96,103
258.38,105
260.8,99
263.22,97
265.64,101
268.06,104
270.48,97
272.9,96
275.32,101
277.74,104
280.16,103
282.58,104
285,102
287.42,104
289.84,96
292.26,103
294.68,100
297.1,102
299.52,102
301.94,102
304.36,101
306.78,107
309.2,104
311.62,104
314.04,102
316.46,105
318.88,99
321.3,100
323.72,102
326.14,103
328.56,102
330.98,102
333.4,100
335.82,101
338.24,102
340.66,99
343.08,103
345.5,105
347.92,104
350.34,106
352.76,104
355.18,99
357.6,98
360.02,106
362.44,103
364.86,105
367.28,104
369.7,103
372.12,102
374.54,104
376.96,101
379.38,112
381.8,104
384.22,103
386.64,104
389.06,103
391.48,103
393.9,103
396.32,104
398.74,106
401.16,108
403.58,103
406,99
408.42,99
410.84,103
413.26,100
415.68,101
418.1,100
420.52,101
422.94,98
425.36,105
427.78,99
430.2,98
432.62,104
435.04,100
437.46,99
439.88,101
442.3,101
444.72,101
447.14,99
449.56,100
451.98,101
454.4,98
456.82,100
459.24,102
461.66,100
464.08,100
466.5,102
468.92,103
471.34,102
473.76,102
476.18,104
478.6,107
481.02,99
483.44,104
