X,ieee802154Narrow.computer[0].appl/received-no-repeated-packets-per-period
1.86,82
4.28,78
6.7,88
9.12,88
11.54,90
13.96,90
16.38,92
18.8,87
21.22,84
23.64,88
26.06,87
28.48,90
30.9,84
33.32,87
35.74,83
38.16,90
40.58,87
43,91
45.42,85
47.84,85
50.26,91
52.68,86
55.1,95
57.52,91
59.94,93
62.36,92
64.78,92
67.2,90
69.62,94
72.04,92
74.46,86
76.88,95
79.3,99
81.72,96
84.14,97
86.56,99
88.98,98
91.4,92
93.82,93
96.24,97
98.66,103
101.08,93
103.5,98
105.92,101
108.34,99
110.76,99
113.18,98
115.6,99
118.02,97
120.44,96
122.86,100
125.28,101
127.7,99
130.12,96
132.54,98
134.96,95
137.38,99
139.8,98
142.22,98
144.64,97
147.06,100
149.48,95
151.9,101
154.32,101
156.74,101
159.16,99
161.58,98
164,97
166.42,94
168.84,94
171.26,94
173.68,98
176.1,98
178.52,99
180.94,95
183.36,95
185.78,96
188.2,92
190.62,99
193.04,100
195.46,104
197.88,102
200.3,104
202.72,106
205.14,106
207.56,105
209.98,104
212.4,102
214.82,100
217.24,101
219.66,104
222.08,101
224.5,97
226.92,97
229.34,97
231.76,100
234.18,101
236.6,103
239.02,101
241.44,104
243.86,102
246.28,106
248.7,102
251.12,105
253.54,103
255.96,102
258.38,100
260.8,103
263.22,99
265.64,96
268.06,98
270.48,99
272.9,99
275.32,99
277.74,100
280.16,100
282.58,97
285,95
287.42,100
289.84,100
292.26,98
294.68,98
297.1,100
299.52,100
301.94,96
304.36,98
306.78,99
309.2,96
311.62,98
314.04,97
316.46,96
318.88,96
321.3,97
323.72,97
326.14,100
328.56,100
330.98,101
333.4,101
335.82,102
338.24,104
340.66,101
343.08,100
345.5,109
347.92,110
350.34,109
352.76,109
355.18,108
357.6,105
360.02,106
362.44,106
364.86,108
367.28,101
369.7,103
372.12,105
374.54,103
376.96,98
379.38,96
381.8,98
384.22,98
386.64,99
389.06,100
391.48,98
393.9,101
396.32,104
398.74,95
401.16,101
403.58,99
406,98
408.42,102
410.84,98
413.26,93
415.68,95
418.1,96
420.52,92
422.94,96
425.36,97
427.78,97
430.2,98
432.62,96
435.04,94
437.46,90
439.88,92
442.3,92
444.72,92
447.14,90
449.56,89
451.98,91
454.4,90
456.82,90
459.24,88
461.66,90
464.08,93
466.5,96
468.92,94
471.34,97
473.76,97
476.18,95
478.6,93
481.02,100
483.44,102
