X,ieee802154Narrow.anchor[20].appl/Number of packets from this anchor
0.82,1
3.24,1
5.66,1
8.08,1
10.5,1
12.92,1
15.34,1
17.76,1
20.18,1
22.6,1
25.02,1
27.44,1
29.86,0
32.28,0
34.7,0
37.12,0
39.54,0
41.96,0
44.38,0
46.8,0
49.22,0
51.64,0
54.06,0
56.48,0
58.9,0
61.32,0
63.74,0
66.16,0
68.58,0
71,0
73.42,0
75.84,0
78.26,0
80.68,0
83.1,0
85.52,0
87.94,0
90.36,0
92.78,1
95.2,1
97.62,1
100.04,1
102.46,1
104.88,1
107.3,1
109.72,1
112.14,1
114.56,1
116.98,1
119.4,1
121.82,1
124.24,1
126.66,1
129.08,0
131.5,0
133.92,0
136.34,0
138.76,0
141.18,0
143.6,0
146.02,0
148.44,0
150.86,0
153.28,0
155.7,0
158.12,0
160.54,0
162.96,0
165.38,0
167.8,0
170.22,0
172.64,0
175.06,0
177.48,0
179.9,0
182.32,0
184.74,0
187.16,0
189.58,0
192,0
194.42,0
196.84,0
199.26,0
201.68,0
204.1,0
206.52,0
208.94,0
211.36,0
213.78,0
216.2,0
218.62,0
221.04,0
223.46,0
225.88,0
228.3,0
230.72,0
233.14,0
235.56,0
237.98,0
240.4,0
242.82,0
245.24,0
247.66,0
250.08,0
252.5,0
254.92,0
257.34,0
259.76,0
262.18,0
264.6,0
267.02,0
269.44,0
271.86,0
274.28,0
276.7,0
279.12,0
281.54,0
283.96,1
286.38,2
288.8,2
291.22,2
293.64,2
296.06,2
298.48,2
300.9,2
303.32,2
305.74,2
308.16,2
310.58,2
313,2
315.42,2
317.84,2
320.26,2
322.68,2
325.1,2
327.52,2
329.94,2
332.36,2
334.78,2
337.2,2
339.62,1
342.04,1
344.46,1
346.88,1
349.3,1
351.72,1
354.14,1
356.56,1
358.98,1
361.4,0
363.82,0
366.24,0
368.66,0
371.08,0
373.5,0
375.92,0
378.34,0
380.76,0
383.18,0
385.6,1
388.02,1
390.44,1
392.86,1
395.28,1
397.7,0
400.12,0
402.54,0
404.96,0
407.38,0
409.8,0
412.22,0
414.64,0
417.06,0
419.48,0
421.9,0
424.32,0
426.74,0
429.16,0
431.58,0
434,0
436.42,0
438.84,0
441.26,0
443.68,0
446.1,0
448.52,0
450.94,1
453.36,1
455.78,1
458.2,1
460.62,1
463.04,1
465.46,1
467.88,1
470.3,1
472.72,1
475.14,1
477.56,2
479.98,2
482.4,2
