X,ieee802154Narrow.anchor[12].appl/Dropped Packets in AN - Max MAC BackOff tries
1.86,17
4.28,7
6.7,13
9.12,4
11.54,6
13.96,2
16.38,2
18.8,1
21.22,2
23.64,4
26.06,6
28.48,3
30.9,3
33.32,4
35.74,7
38.16,1
40.58,0
43,2
45.42,3
47.84,12
50.26,9
52.68,7
55.1,8
57.52,9
59.94,7
62.36,10
64.78,3
67.2,6
69.62,5
72.04,5
74.46,3
76.88,5
79.3,1
81.72,8
84.14,5
86.56,3
88.98,1
91.4,1
93.82,1
96.24,2
98.66,2
101.08,4
103.5,4
105.92,6
108.34,4
110.76,4
113.18,3
115.6,6
118.02,6
120.44,5
122.86,3
125.28,1
127.7,5
130.12,3
132.54,1
134.96,0
137.38,2
139.8,3
142.22,2
144.64,3
147.06,1
149.48,3
151.9,1
154.32,1
156.74,1
159.16,0
161.58,0
164,3
166.42,1
168.84,1
171.26,1
173.68,3
176.1,3
178.52,3
180.94,3
183.36,4
185.78,4
188.2,1
190.62,8
193.04,9
195.46,10
197.88,6
200.3,3
202.72,4
205.14,4
207.56,3
209.98,2
212.4,5
214.82,2
217.24,3
219.66,3
222.08,2
224.5,4
226.92,5
229.34,6
231.76,0
234.18,1
236.6,1
239.02,2
241.44,2
243.86,6
246.28,0
248.7,5
251.12,0
253.54,1
255.96,1
258.38,2
260.8,4
263.22,4
265.64,4
268.06,2
270.48,3
272.9,3
275.32,2
277.74,3
280.16,5
282.58,5
285,2
287.42,2
289.84,3
292.26,5
294.68,4
297.1,3
299.52,1
301.94,2
304.36,3
306.78,4
309.2,3
311.62,4
314.04,6
316.46,6
318.88,4
321.3,6
323.72,9
326.14,6
328.56,4
330.98,4
333.4,9
335.82,6
338.24,5
340.66,3
343.08,4
345.5,9
347.92,5
350.34,2
352.76,4
355.18,7
357.6,6
360.02,6
362.44,7
364.86,6
367.28,7
369.7,5
372.12,5
374.54,5
376.96,5
379.38,2
381.8,3
384.22,2
386.64,1
389.06,1
391.48,2
393.9,3
396.32,0
398.74,2
401.16,0
403.58,1
406,0
408.42,0
410.84,2
413.26,2
415.68,1
418.1,2
420.52,2
422.94,2
425.36,4
427.78,5
430.2,2
432.62,0
435.04,0
437.46,1
439.88,0
442.3,0
444.72,1
447.14,1
449.56,0
451.98,4
454.4,2
456.82,2
459.24,1
461.66,0
464.08,2
466.5,0
468.92,0
471.34,3
473.76,0
476.18,0
478.6,0
481.02,1
483.44,1
