X,ieee802154Narrow.anchor[16].appl/Dropped Packets in AN - No ACK received
1.86,3
4.28,0
6.7,0
9.12,1
11.54,1
13.96,0
16.38,1
18.8,1
21.22,4
23.64,3
26.06,1
28.48,0
30.9,0
33.32,0
35.74,0
38.16,0
40.58,0
43,0
45.42,0
47.84,1
50.26,0
52.68,0
55.1,0
57.52,0
59.94,0
62.36,0
64.78,0
67.2,0
69.62,0
72.04,1
74.46,0
76.88,1
79.3,0
81.72,0
84.14,0
86.56,0
88.98,0
91.4,1
93.82,0
96.24,1
98.66,0
101.08,1
103.5,0
105.92,1
108.34,0
110.76,0
113.18,0
115.6,1
118.02,0
120.44,0
122.86,0
125.28,0
127.7,0
130.12,0
132.54,0
134.96,0
137.38,0
139.8,0
142.22,0
144.64,0
147.06,0
149.48,0
151.9,0
154.32,0
156.74,0
159.16,0
161.58,0
164,0
166.42,0
168.84,0
171.26,0
173.68,1
176.1,3
178.52,1
180.94,1
183.36,1
185.78,1
188.2,0
190.62,1
193.04,3
195.46,0
197.88,0
200.3,4
202.72,3
205.14,2
207.56,1
209.98,2
212.4,1
214.82,1
217.24,0
219.66,0
222.08,2
224.5,1
226.92,1
229.34,1
231.76,1
234.18,0
236.6,0
239.02,2
241.44,2
243.86,1
246.28,0
248.7,1
251.12,1
253.54,2
255.96,1
258.38,2
260.8,1
263.22,0
265.64,0
268.06,0
270.48,0
272.9,0
275.32,0
277.74,0
280.16,0
282.58,0
285,0
287.42,0
289.84,0
292.26,0
294.68,0
297.1,0
299.52,0
301.94,0
304.36,0
306.78,0
309.2,0
311.62,0
314.04,0
316.46,0
318.88,0
321.3,0
323.72,0
326.14,0
328.56,0
330.98,0
333.4,0
335.82,0
338.24,0
340.66,0
343.08,3
345.5,0
347.92,0
350.34,0
352.76,0
355.18,0
357.6,0
360.02,0
362.44,0
364.86,0
367.28,0
369.7,0
372.12,0
374.54,0
376.96,0
379.38,0
381.8,0
384.22,0
386.64,0
389.06,0
391.48,0
393.9,0
396.32,0
398.74,0
401.16,0
403.58,0
406,0
408.42,1
410.84,2
413.26,1
415.68,1
418.1,0
420.52,0
422.94,0
425.36,0
427.78,0
430.2,0
432.62,0
435.04,0
437.46,5
439.88,0
442.3,2
444.72,4
447.14,1
449.56,0
451.98,1
454.4,1
456.82,3
459.24,2
461.66,1
464.08,1
466.5,1
468.92,0
471.34,0
473.76,0
476.18,0
478.6,0
481.02,0
483.44,2
