X,ieee802154Narrow.anchor[12].appl/Number of AN Reports with ACK
1.86,21
4.28,24
6.7,27
9.12,27
11.54,28
13.96,32
16.38,30
18.8,29
21.22,25
23.64,30
26.06,33
28.48,33
30.9,26
33.32,32
35.74,33
38.16,33
40.58,34
43,36
45.42,36
47.84,35
50.26,31
52.68,30
55.1,33
57.52,34
59.94,35
62.36,32
64.78,28
67.2,33
69.62,34
72.04,29
74.46,23
76.88,32
79.3,32
81.72,31
84.14,31
86.56,32
88.98,29
91.4,27
93.82,24
96.24,30
98.66,30
101.08,21
103.5,29
105.92,27
108.34,28
110.76,26
113.18,26
115.6,25
118.02,25
120.44,23
122.86,23
125.28,25
127.7,24
130.12,22
132.54,22
134.96,21
137.38,21
139.8,22
142.22,22
144.64,22
147.06,21
149.48,20
151.9,21
154.32,20
156.74,20
159.16,21
161.58,20
164,18
166.42,17
168.84,17
171.26,18
173.68,19
176.1,19
178.52,19
180.94,19
183.36,20
185.78,21
188.2,19
190.62,24
193.04,24
195.46,24
197.88,24
200.3,24
202.72,25
205.14,25
207.56,25
209.98,25
212.4,24
214.82,24
217.24,24
219.66,24
222.08,24
224.5,24
226.92,26
229.34,25
231.76,26
234.18,25
236.6,26
239.02,25
241.44,28
243.86,24
246.28,28
248.7,26
251.12,27
253.54,28
255.96,27
258.38,27
260.8,27
263.22,27
265.64,25
268.06,26
270.48,26
272.9,26
275.32,28
277.74,29
280.16,30
282.58,29
285,30
287.42,32
289.84,31
292.26,30
294.68,30
297.1,32
299.52,31
301.94,31
304.36,31
306.78,30
309.2,27
311.62,29
314.04,29
316.46,28
318.88,28
321.3,26
323.72,26
326.14,26
328.56,27
330.98,29
333.4,31
335.82,31
338.24,32
340.66,32
343.08,30
345.5,33
347.92,35
350.34,31
352.76,31
355.18,31
357.6,30
360.02,31
362.44,31
364.86,32
367.28,31
369.7,32
372.12,33
374.54,32
376.96,30
379.38,29
381.8,30
384.22,32
386.64,33
389.06,32
391.48,33
393.9,34
396.32,36
398.74,30
401.16,35
403.58,37
406,34
408.42,37
410.84,34
413.26,31
415.68,31
418.1,34
420.52,31
422.94,32
425.36,31
427.78,33
430.2,33
432.62,33
435.04,32
437.46,31
439.88,31
442.3,31
444.72,31
447.14,30
449.56,30
451.98,31
454.4,31
456.82,31
459.24,29
461.66,30
464.08,31
466.5,31
468.92,31
471.34,30
473.76,30
476.18,26
478.6,28
481.02,28
483.44,29
