X,ieee802154Narrow.anchor[12].appl/Number of AN Reports with ACK
1.86,14
4.28,19
6.7,17
9.12,19
11.54,22
13.96,21
16.38,21
18.8,21
21.22,24
23.64,24
26.06,26
28.48,30
30.9,28
33.32,31
35.74,27
38.16,27
40.58,28
43,29
45.42,29
47.84,26
50.26,29
52.68,31
55.1,33
57.52,37
59.94,35
62.36,34
64.78,32
67.2,30
69.62,37
72.04,36
74.46,36
76.88,37
79.3,34
81.72,39
84.14,39
86.56,36
88.98,40
91.4,36
93.82,38
96.24,37
98.66,35
101.08,35
103.5,38
105.92,36
108.34,38
110.76,38
113.18,41
115.6,38
118.02,38
120.44,39
122.86,39
125.28,39
127.7,38
130.12,37
132.54,37
134.96,35
137.38,36
139.8,38
142.22,37
144.64,37
147.06,36
149.48,33
151.9,33
154.32,33
156.74,33
159.16,31
161.58,30
164,32
166.42,35
168.84,32
171.26,31
173.68,33
176.1,34
178.52,34
180.94,36
183.36,35
185.78,34
188.2,31
190.62,32
193.04,28
195.46,31
197.88,32
200.3,32
202.72,34
205.14,34
207.56,34
209.98,34
212.4,36
214.82,35
217.24,34
219.66,35
222.08,37
224.5,34
226.92,35
229.34,35
231.76,36
234.18,35
236.6,34
239.02,34
241.44,31
243.86,34
246.28,35
248.7,34
251.12,34
253.54,37
255.96,37
258.38,37
260.8,37
263.22,36
265.64,38
268.06,40
270.48,37
272.9,37
275.32,39
277.74,40
280.16,39
282.58,38
285,39
287.42,37
289.84,33
292.26,40
294.68,38
297.1,37
299.52,40
301.94,38
304.36,36
306.78,39
309.2,37
311.62,39
314.04,37
316.46,37
318.88,35
321.3,37
323.72,38
326.14,38
328.56,36
330.98,35
333.4,34
335.82,33
338.24,33
340.66,32
343.08,32
345.5,31
347.92,31
350.34,32
352.76,32
355.18,31
357.6,30
360.02,30
362.44,30
364.86,30
367.28,30
369.7,29
372.12,29
374.54,30
376.96,30
379.38,32
381.8,30
384.22,30
386.64,29
389.06,29
391.48,29
393.9,30
396.32,31
398.74,33
401.16,34
403.58,35
406,34
408.42,33
410.84,32
413.26,33
415.68,33
418.1,33
420.52,33
422.94,32
425.36,33
427.78,33
430.2,34
432.62,33
435.04,33
437.46,32
439.88,33
442.3,32
444.72,31
447.14,30
449.56,30
451.98,30
454.4,30
456.82,31
459.24,32
461.66,32
464.08,32
466.5,34
468.92,32
471.34,33
473.76,32
476.18,33
478.6,36
481.02,32
483.44,34
