X,ieee802154Narrow.anchor[0].appl/Number of packets from this anchor,ieee802154Narrow.anchor[1].appl/Number of packets from this anchor,ieee802154Narrow.anchor[2].appl/Number of packets from this anchor,ieee802154Narrow.anchor[3].appl/Number of packets from this anchor,ieee802154Narrow.anchor[4].appl/Number of packets from this anchor,ieee802154Narrow.anchor[5].appl/Number of packets from this anchor,ieee802154Narrow.anchor[6].appl/Number of packets from this anchor,ieee802154Narrow.anchor[7].appl/Number of packets from this anchor,ieee802154Narrow.anchor[8].appl/Number of packets from this anchor,ieee802154Narrow.anchor[9].appl/Number of packets from this anchor,ieee802154Narrow.anchor[10].appl/Number of packets from this anchor,ieee802154Narrow.anchor[11].appl/Number of packets from this anchor,ieee802154Narrow.anchor[12].appl/Number of packets from this anchor,ieee802154Narrow.anchor[13].appl/Number of packets from this anchor,ieee802154Narrow.anchor[14].appl/Number of packets from this anchor,ieee802154Narrow.anchor[15].appl/Number of packets from this anchor,ieee802154Narrow.anchor[16].appl/Number of packets from this anchor,ieee802154Narrow.anchor[17].appl/Number of packets from this anchor,ieee802154Narrow.anchor[18].appl/Number of packets from this anchor,ieee802154Narrow.anchor[19].appl/Number of packets from this anchor,ieee802154Narrow.anchor[20].appl/Number of packets from this anchor,ieee802154Narrow.anchor[21].appl/Number of packets from this anchor,ieee802154Narrow.anchor[22].appl/Number of packets from this anchor,ieee802154Narrow.anchor[23].appl/Number of packets from this anchor,ieee802154Narrow.anchor[24].appl/Number of packets from this anchor
0.82,0,1,2,2,1,2,3,4,4,3,2,4,8,8,5,3,5,10,9,7,1,3,5,7,3
3.24,0,1,2,2,1,1,3,4,4,3,2,4,8,8,5,3,5,9,9,6,1,3,5,7,3
5.66,0,1,2,2,0,1,3,5,5,3,2,4,10,8,5,3,6,9,9,6,1,3,5,7,3
8.08,0,1,2,2,0,1,3,5,5,3,2,4,10,8,7,2,6,9,9,5,1,3,6,7,3
10.5,0,1,2,2,0,2,3,5,5,3,2,4,10,8,7,2,7,9,9,4,1,3,6,7,3
12.92,0,0,2,1,0,2,3,5,5,3,2,4,10,9,6,2,7,9,9,4,1,3,6,7,3
15.34,0,0,2,1,0,2,3,5,5,3,2,4,10,10,6,2,7,9,9,4,1,3,6,7,3
17.76,0,0,1,1,0,2,3,5,5,3,2,4,11,9,6,2,7,9,9,4,1,3,6,7,3
20.18,0,0,0,1,0,2,3,5,5,2,2,4,12,10,5,2,7,9,9,4,1,4,6,7,3
22.6,0,0,0,1,0,2,3,5,5,2,2,6,11,10,5,2,7,8,9,4,1,3,6,7,3
25.02,0,0,0,1,0,2,3,5,5,2,2,6,11,11,5,2,7,9,9,4,1,3,6,6,2
27.44,0,0,0,0,0,2,3,5,5,2,2,7,12,11,5,2,7,10,9,4,1,3,6,6,2
29.86,0,0,0,0,0,2,4,5,5,2,2,7,12,11,5,2,5,10,10,4,0,3,6,5,2
