X,ieee802154Narrow.computer[0].appl/Number of packets sent from anchor 16
1.86,6
4.28,7
6.7,7
9.12,7
11.54,7
13.96,7
16.38,7
18.8,7
21.22,7
23.64,7
26.06,7
28.48,8
30.9,8
33.32,8
35.74,8
38.16,8
40.58,7
43,7
45.42,7
47.84,7
50.26,7
52.68,7
55.1,6
57.52,6
59.94,6
62.36,6
64.78,6
67.2,6
69.62,5
72.04,6
74.46,5
76.88,6
79.3,6
81.72,6
84.14,6
86.56,6
88.98,6
91.4,6
93.82,6
96.24,6
98.66,5
101.08,5
103.5,6
105.92,6
108.34,5
110.76,5
113.18,5
115.6,5
118.02,5
120.44,5
122.86,5
125.28,5
127.7,5
130.12,5
132.54,6
134.96,6
137.38,6
139.8,6
142.22,6
144.64,6
147.06,6
149.48,6
151.9,6
154.32,6
156.74,6
159.16,7
161.58,5
164,5
166.42,6
168.84,5
171.26,6
173.68,5
176.1,7
178.52,7
180.94,7
183.36,7
185.78,7
188.2,7
190.62,7
193.04,7
195.46,7
197.88,7
200.3,8
202.72,8
205.14,8
207.56,9
209.98,9
212.4,8
214.82,9
217.24,9
219.66,9
222.08,9
224.5,9
226.92,9
229.34,9
231.76,9
234.18,9
236.6,9
239.02,9
241.44,9
243.86,8
246.28,8
248.7,8
251.12,8
253.54,8
255.96,9
258.38,10
260.8,8
263.22,8
265.64,7
268.06,7
270.48,7
272.9,7
275.32,7
277.74,6
280.16,5
282.58,5
285,5
287.42,5
289.84,5
292.26,5
294.68,5
297.1,5
299.52,5
301.94,5
304.36,5
306.78,5
309.2,5
311.62,5
314.04,4
316.46,3
318.88,3
321.3,3
323.72,3
326.14,3
328.56,2
330.98,3
333.4,3
335.82,3
338.24,4
340.66,4
343.08,4
345.5,4
347.92,4
350.34,4
352.76,5
355.18,5
357.6,6
360.02,6
362.44,6
364.86,6
367.28,6
369.7,5
372.12,6
374.54,6
376.96,6
379.38,5
381.8,5
384.22,5
386.64,5
389.06,5
391.48,5
393.9,5
396.32,5
398.74,5
401.16,5
403.58,5
406,5
408.42,5
410.84,5
413.26,6
415.68,6
418.1,5
420.52,5
422.94,5
425.36,5
427.78,5
430.2,5
432.62,5
435.04,5
437.46,5
439.88,5
442.3,5
444.72,5
447.14,5
449.56,5
451.98,5
454.4,4
456.82,5
459.24,5
461.66,5
464.08,5
466.5,5
468.92,5
471.34,5
473.76,5
476.18,4
478.6,4
481.02,4
483.44,4
