X,ieee802154Narrow.anchor[16].appl/Dropped Packets in AN - No ACK received
1.86,4
4.28,1
6.7,0
9.12,0
11.54,2
13.96,0
16.38,0
18.8,0
21.22,0
23.64,0
26.06,0
28.48,2
30.9,2
33.32,1
35.74,2
38.16,2
40.58,2
43,0
45.42,0
47.84,1
50.26,0
52.68,0
55.1,0
57.52,0
59.94,0
62.36,0
64.78,0
67.2,0
69.62,0
72.04,1
74.46,3
76.88,0
79.3,1
81.72,0
84.14,2
86.56,0
88.98,0
91.4,0
93.82,0
96.24,0
98.66,0
101.08,0
103.5,0
105.92,0
108.34,0
110.76,0
113.18,0
115.6,0
118.02,0
120.44,0
122.86,0
125.28,0
127.7,0
130.12,0
132.54,0
134.96,0
137.38,0
139.8,0
142.22,0
144.64,0
147.06,0
149.48,0
151.9,0
154.32,0
156.74,0
159.16,0
161.58,0
164,0
166.42,0
168.84,0
171.26,0
173.68,0
176.1,0
178.52,0
180.94,0
183.36,0
185.78,0
188.2,0
190.62,0
193.04,0
195.46,0
197.88,0
200.3,0
202.72,0
205.14,0
207.56,0
209.98,0
212.4,0
214.82,0
217.24,0
219.66,0
222.08,0
224.5,0
226.92,0
229.34,0
231.76,0
234.18,0
236.6,0
239.02,0
241.44,3
243.86,1
246.28,1
248.7,0
251.12,0
253.54,0
255.96,0
258.38,0
260.8,1
263.22,1
265.64,2
268.06,0
270.48,2
272.9,1
275.32,1
277.74,2
280.16,2
282.58,2
285,0
287.42,0
289.84,1
292.26,0
294.68,0
297.1,0
299.52,0
301.94,2
304.36,0
306.78,2
309.2,4
311.62,1
314.04,2
316.46,1
318.88,2
321.3,0
323.72,0
326.14,0
328.56,1
330.98,2
333.4,0
335.82,2
338.24,3
340.66,0
343.08,0
345.5,0
347.92,0
350.34,0
352.76,1
355.18,0
357.6,0
360.02,1
362.44,0
364.86,0
367.28,1
369.7,0
372.12,0
374.54,0
376.96,0
379.38,1
381.8,0
384.22,1
386.64,1
389.06,3
391.48,0
393.9,0
396.32,3
398.74,1
401.16,1
403.58,2
406,0
408.42,3
410.84,3
413.26,2
415.68,1
418.1,0
420.52,2
422.94,2
425.36,2
427.78,1
430.2,4
432.62,3
435.04,2
437.46,2
439.88,0
442.3,5
444.72,0
447.14,0
449.56,0
451.98,0
454.4,0
456.82,1
459.24,1
461.66,2
464.08,1
466.5,2
468.92,0
471.34,2
473.76,1
476.18,1
478.6,0
481.02,0
483.44,2
