X,ieee802154Narrow.anchor[0].appl/Number of packets sent from mobile node 0,ieee802154Narrow.anchor[1].appl/Number of packets sent from mobile node 0,ieee802154Narrow.anchor[2].appl/Number of packets sent from mobile node 0,ieee802154Narrow.anchor[3].appl/Number of packets sent from mobile node 0,ieee802154Narrow.anchor[4].appl/Number of packets sent from mobile node 0,ieee802154Narrow.anchor[5].appl/Number of packets sent from mobile node 0,ieee802154Narrow.anchor[6].appl/Number of packets sent from mobile node 0,ieee802154Narrow.anchor[7].appl/Number of packets sent from mobile node 0,ieee802154Narrow.anchor[8].appl/Number of packets sent from mobile node 0,ieee802154Narrow.anchor[9].appl/Number of packets sent from mobile node 0,ieee802154Narrow.anchor[10].appl/Number of packets sent from mobile node 0,ieee802154Narrow.anchor[11].appl/Number of packets sent from mobile node 0,ieee802154Narrow.anchor[12].appl/Number of packets sent from mobile node 0,ieee802154Narrow.anchor[13].appl/Number of packets sent from mobile node 0,ieee802154Narrow.anchor[14].appl/Number of packets sent from mobile node 0,ieee802154Narrow.anchor[15].appl/Number of packets sent from mobile node 0,ieee802154Narrow.anchor[16].appl/Number of packets sent from mobile node 0,ieee802154Narrow.anchor[17].appl/Number of packets sent from mobile node 0,ieee802154Narrow.anchor[18].appl/Number of packets sent from mobile node 0,ieee802154Narrow.anchor[19].appl/Number of packets sent from mobile node 0,ieee802154Narrow.anchor[20].appl/Number of packets sent from mobile node 0,ieee802154Narrow.anchor[21].appl/Number of packets sent from mobile node 0,ieee802154Narrow.anchor[22].appl/Number of packets sent from mobile node 0,ieee802154Narrow.anchor[23].appl/Number of packets sent from mobile node 0,ieee802154Narrow.anchor[24].appl/Number of packets sent from mobile node 0
1.86,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,1
4.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1
6.7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,1,0,0,1,1,1
9.12,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1
11.54,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1
13.96,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,1
16.38,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0
18.8,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0
21.22,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0
23.64,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0
26.06,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0
28.48,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,0,1,1,0
30.9,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,0
33.32,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0
35.74,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0
