X,ieee802154Narrow.anchor[0].appl/Number of packets from this anchor,ieee802154Narrow.anchor[1].appl/Number of packets from this anchor,ieee802154Narrow.anchor[2].appl/Number of packets from this anchor,ieee802154Narrow.anchor[3].appl/Number of packets from this anchor,ieee802154Narrow.anchor[4].appl/Number of packets from this anchor,ieee802154Narrow.anchor[5].appl/Number of packets from this anchor,ieee802154Narrow.anchor[6].appl/Number of packets from this anchor,ieee802154Narrow.anchor[7].appl/Number of packets from this anchor,ieee802154Narrow.anchor[8].appl/Number of packets from this anchor,ieee802154Narrow.anchor[9].appl/Number of packets from this anchor,ieee802154Narrow.anchor[10].appl/Number of packets from this anchor,ieee802154Narrow.anchor[11].appl/Number of packets from this anchor,ieee802154Narrow.anchor[12].appl/Number of packets from this anchor,ieee802154Narrow.anchor[13].appl/Number of packets from this anchor,ieee802154Narrow.anchor[14].appl/Number of packets from this anchor,ieee802154Narrow.anchor[15].appl/Number of packets from this anchor,ieee802154Narrow.anchor[16].appl/Number of packets from this anchor,ieee802154Narrow.anchor[17].appl/Number of packets from this anchor,ieee802154Narrow.anchor[18].appl/Number of packets from this anchor,ieee802154Narrow.anchor[19].appl/Number of packets from this anchor,ieee802154Narrow.anchor[20].appl/Number of packets from this anchor,ieee802154Narrow.anchor[21].appl/Number of packets from this anchor,ieee802154Narrow.anchor[22].appl/Number of packets from this anchor,ieee802154Narrow.anchor[23].appl/Number of packets from this anchor,ieee802154Narrow.anchor[24].appl/Number of packets from this anchor
109.72,0,0,2,4,1,1,5,9,7,4,2,9,13,7,3,3,8,9,4,0,1,4,6,1,0
112.14,0,0,3,4,1,1,5,9,7,4,2,9,13,8,3,3,8,8,3,0,1,4,5,1,0
114.56,0,0,3,3,1,2,5,9,7,4,2,8,13,8,3,2,8,7,4,0,1,4,5,1,0
116.98,0,0,3,3,1,2,5,9,7,4,2,7,13,8,3,2,8,6,4,0,1,4,5,2,0
119.4,0,0,3,2,1,2,4,9,7,4,2,7,13,8,3,2,8,7,5,0,1,4,5,2,0
121.82,0,0,3,3,1,2,5,9,7,5,3,7,13,8,3,2,8,7,5,0,1,4,5,2,0
124.24,0,0,3,3,1,2,5,9,7,4,3,7,13,8,3,2,8,7,6,0,1,4,4,2,0
126.66,0,2,3,3,1,2,5,9,7,4,3,6,13,8,3,3,7,7,6,0,1,4,4,2,0
129.08,0,3,3,3,1,2,5,10,6,3,3,5,12,8,3,2,7,7,6,0,1,4,4,3,0
131.5,0,3,3,3,1,2,5,10,6,3,3,5,11,8,3,2,6,9,7,0,1,4,4,3,0
133.92,0,3,3,3,1,2,5,10,6,3,3,5,11,8,3,2,6,9,7,2,1,4,4,3,0
136.34,0,3,4,3,1,2,5,10,6,2,3,6,12,7,3,2,6,9,7,2,1,4,4,3,0
138.76,0,3,3,3,1,2,5,9,6,2,3,6,12,7,3,2,6,9,7,2,1,4,4,3,0
141.18,0,3,3,3,0,2,5,9,6,2,4,6,12,6,3,2,6,9,7,2,1,3,4,3,0
143.6,0,3,3,3,0,3,5,9,6,2,3,6,12,7,3,2,6,9,7,2,1,3,4,3,0
146.02,0,3,3,3,1,3,6,9,6,2,3,6,12,7,3,2,6,9,7,2,1,3,4,3,1
148.44,0,3,3,3,1,3,6,9,6,2,3,6,11,8,3,2,6,9,7,2,1,3,3,3,1
150.86,1,3,3,3,1,3,6,10,5,2,2,6,10,8,3,2,6,8,7,2,1,3,3,3,1
153.28,1,1,3,3,1,2,6,9,5,2,2,6,10,8,2,2,6,8,7,2,1,3,3,4,1
155.7,1,1,3,3,1,2,6,9,5,1,2,6,10,8,2,2,6,8,7,2,1,3,3,4,1
158.12,1,1,4,3,1,2,7,9,6,1,3,7,9,7,2,3,7,8,6,2,1,3,3,4,1
160.54,1,1,4,3,1,2,7,9,6,1,3,7,9,7,2,3,7,8,6,2,1,3,3,4,1
162.96,1,1,4,3,1,2,7,7,5,1,3,7,9,8,2,3,7,8,6,2,1,3,3,4,1
165.38,1,1,3,3,1,3,7,7,4,1,3,7,9,8,2,3,8,8,5,2,1,3,3,4,1
167.8,1,1,3,3,1,3,7,6,4,1,3,7,9,8,2,3,8,8,5,2,1,3,3,4,1
170.22,1,1,3,3,1,3,8,6,4,1,3,8,8,8,2,3,8,8,5,2,1,3,3,3,1
172.64,1,1,3,3,1,3,8,6,6,1,3,8,8,8,2,3,8,8,5,2,1,3,4,2,1
175.06,1,1,3,1,1,3,8,6,6,1,3,8,9,8,2,3,8,8,5,2,1,3,4,2,1
177.48,1,1,3,1,1,3,8,6,6,1,3,9,9,8,2,3,6,8,5,2,2,3,5,2,1
179.9,1,1,2,1,1,3,8,5,6,1,3,9,9,8,2,3,7,8,5,2,2,3,5,2,1
182.32,1,1,2,1,1,3,7,5,6,1,3,9,9,7,2,3,7,8,5,2,2,3,5,2,1
184.74,1,1,2,1,1,3,7,5,6,2,4,9,9,7,2,4,7,7,5,2,2,3,5,2,1
187.16,1,1,2,1,1,3,7,5,6,2,4,9,8,7,2,4,7,8,6,2,2,3,5,2,1
189.58,1,1,2,1,1,3,7,5,6,2,4,9,8,8,2,4,7,8,5,2,2,3,5,2,1
192,1,1,2,1,1,3,7,5,6,2,4,9,8,7,2,4,7,7,5,2,2,4,5,2,1
194.42,1,1,1,1,1,3,7,5,6,2,4,8,8,7,3,5,7,7,5,2,2,3,5,2,1
196.84,1,1,1,2,1,3,6,4,6,2,4,9,8,7,3,5,7,7,5,2,2,3,4,2,1
199.26,1,1,1,2,1,3,6,4,6,2,4,9,9,6,2,5,7,6,5,2,2,3,4,2,1
201.68,1,1,1,2,1,3,6,5,5,3,4,9,10,5,2,5,7,6,5,2,2,3,4,2,1
204.1,1,1,2,2,1,3,6,5,5,3,4,8,10,5,2,5,7,6,5,2,1,3,4,2,1
206.52,1,1,1,3,1,3,6,5,5,3,4,8,10,5,3,5,7,6,5,1,1,3,4,1,1
208.94,1,1,1,3,1,3,5,5,5,3,5,8,10,5,3,5,8,6,5,1,1,3,4,1,1
211.36,1,1,1,3,1,3,4,5,5,3,5,8,10,5,5,5,8,8,5,1,1,3,4,1,1
213.78,1,1,1,3,1,2,3,5,5,3,5,8,10,5,5,5,8,7,4,1,1,4,4,1,1
