X,ieee802154Narrow.anchor[12].appl/Dropped Packets in AN - No ACK received
1.86,9
4.28,3
6.7,1
9.12,1
11.54,0
13.96,1
16.38,0
18.8,2
21.22,1
23.64,1
26.06,1
28.48,1
30.9,0
33.32,1
35.74,2
38.16,0
40.58,3
43,3
45.42,4
47.84,2
50.26,2
52.68,5
55.1,1
57.52,4
59.94,2
62.36,3
64.78,4
67.2,4
69.62,4
72.04,4
74.46,4
76.88,0
79.3,0
81.72,1
84.14,3
86.56,2
88.98,4
91.4,1
93.82,1
96.24,1
98.66,1
101.08,0
103.5,1
105.92,4
108.34,1
110.76,2
113.18,5
115.6,3
118.02,3
120.44,4
122.86,6
125.28,4
127.7,1
130.12,1
132.54,4
134.96,4
137.38,2
139.8,3
142.22,1
144.64,0
147.06,1
149.48,1
151.9,1
154.32,1
156.74,1
159.16,1
161.58,4
164,3
166.42,1
168.84,4
171.26,0
173.68,3
176.1,1
178.52,1
180.94,2
183.36,0
185.78,0
188.2,3
190.62,1
193.04,1
195.46,1
197.88,1
200.3,0
202.72,2
205.14,2
207.56,0
209.98,3
212.4,4
214.82,1
217.24,3
219.66,4
222.08,1
224.5,2
226.92,1
229.34,1
231.76,0
234.18,1
236.6,3
239.02,0
241.44,0
243.86,0
246.28,1
248.7,0
251.12,1
253.54,4
255.96,1
258.38,1
260.8,3
263.22,3
265.64,2
268.06,1
270.48,0
272.9,1
275.32,4
277.74,3
280.16,2
282.58,2
285,4
287.42,4
289.84,3
292.26,6
294.68,1
297.1,5
299.52,4
301.94,4
304.36,0
306.78,0
309.2,1
311.62,2
314.04,1
316.46,2
318.88,1
321.3,1
323.72,2
326.14,2
328.56,3
330.98,3
333.4,4
335.82,2
338.24,1
340.66,2
343.08,6
345.5,1
347.92,2
350.34,0
352.76,2
355.18,1
357.6,1
360.02,0
362.44,1
364.86,2
367.28,2
369.7,0
372.12,1
374.54,2
376.96,0
379.38,1
381.8,2
384.22,0
386.64,0
389.06,3
391.48,0
393.9,0
396.32,0
398.74,0
401.16,1
403.58,0
406,2
408.42,2
410.84,0
413.26,0
415.68,0
418.1,1
420.52,1
422.94,2
425.36,0
427.78,4
430.2,2
432.62,2
435.04,3
437.46,0
439.88,0
442.3,1
444.72,1
447.14,3
449.56,0
451.98,1
454.4,3
456.82,4
459.24,1
461.66,3
464.08,5
466.5,2
468.92,1
471.34,2
473.76,0
476.18,2
478.6,0
481.02,0
483.44,0
