X,ieee802154Narrow.computer[0].appl/Number of packets sent from mobile node 0
1.86,3
4.28,4
6.7,5
9.12,5
11.54,5
13.96,6
16.38,5
18.8,6
21.22,6
23.64,6
26.06,7
28.48,7
30.9,7
33.32,7
35.74,7
38.16,7
40.58,7
43,8
45.42,7
47.84,7
50.26,7
52.68,6
55.1,7
57.52,5
59.94,7
62.36,7
64.78,7
67.2,6
69.62,7
72.04,7
74.46,6
76.88,7
79.3,5
81.72,4
84.14,5
86.56,6
88.98,6
91.4,6
93.82,7
96.24,6
98.66,6
101.08,6
103.5,5
105.92,8
108.34,6
110.76,5
113.18,6
115.6,4
118.02,5
120.44,6
122.86,6
125.28,7
127.7,5
130.12,4
132.54,5
134.96,5
137.38,5
139.8,4
142.22,4
144.64,3
147.06,5
149.48,4
151.9,2
154.32,4
156.74,5
159.16,4
161.58,6
164,6
166.42,5
168.84,7
171.26,7
173.68,6
176.1,6
178.52,6
180.94,6
183.36,5
185.78,6
188.2,7
190.62,7
193.04,4
195.46,7
197.88,6
200.3,5
202.72,4
205.14,7
207.56,5
209.98,6
212.4,5
214.82,6
217.24,7
219.66,8
222.08,6
224.5,7
226.92,6
229.34,4
231.76,6
234.18,6
236.6,7
239.02,7
241.44,7
243.86,7
246.28,5
248.7,4
251.12,4
253.54,3
255.96,4
258.38,5
260.8,5
263.22,4
265.64,5
268.06,5
270.48,5
272.9,5
275.32,5
277.74,6
280.16,4
282.58,5
285,4
287.42,5
289.84,5
292.26,3
294.68,5
297.1,5
299.52,5
301.94,5
304.36,5
306.78,6
309.2,5
311.62,6
314.04,5
316.46,5
318.88,6
321.3,5
323.72,4
326.14,7
328.56,6
330.98,6
333.4,6
335.82,5
338.24,5
340.66,6
343.08,6
345.5,6
347.92,5
350.34,5
352.76,5
355.18,7
357.6,5
360.02,6
362.44,4
364.86,7
367.28,7
369.7,7
372.12,7
374.54,7
376.96,6
379.38,7
381.8,7
384.22,7
386.64,7
389.06,7
391.48,7
393.9,8
396.32,8
398.74,9
401.16,9
403.58,9
406,7
408.42,7
410.84,7
413.26,6
415.68,7
418.1,7
420.52,7
422.94,7
425.36,7
427.78,7
430.2,7
432.62,7
435.04,8
437.46,8
439.88,7
442.3,7
444.72,7
447.14,7
449.56,7
451.98,7
454.4,7
456.82,7
459.24,7
461.66,8
464.08,8
466.5,7
468.92,7
471.34,7
473.76,7
476.18,7
478.6,7
481.02,6
483.44,7
