X,ieee802154Narrow.computer[0].appl/received-packets-per-period
1.86,87
4.28,78
6.7,89
9.12,88
11.54,90
13.96,91
16.38,93
18.8,87
21.22,85
23.64,89
26.06,87
28.48,90
30.9,84
33.32,88
35.74,83
38.16,90
40.58,87
43,91
45.42,87
47.84,87
50.26,91
52.68,86
55.1,95
57.52,91
59.94,93
62.36,93
64.78,92
67.2,91
69.62,97
72.04,94
74.46,90
76.88,99
79.3,105
81.72,98
84.14,97
86.56,102
88.98,101
91.4,92
93.82,93
96.24,97
98.66,104
101.08,93
103.5,103
105.92,103
108.34,100
110.76,102
113.18,98
115.6,100
118.02,103
120.44,96
122.86,100
125.28,105
127.7,102
130.12,101
132.54,99
134.96,103
137.38,100
139.8,102
142.22,100
144.64,100
147.06,102
149.48,101
151.9,107
154.32,104
156.74,102
159.16,102
161.58,98
164,102
166.42,96
168.84,97
171.26,94
173.68,98
176.1,100
178.52,99
180.94,97
183.36,108
185.78,100
188.2,93
190.62,101
193.04,104
195.46,107
197.88,111
200.3,107
202.72,106
205.14,107
207.56,105
209.98,104
212.4,102
214.82,102
217.24,103
219.66,107
222.08,101
224.5,99
226.92,98
229.34,99
231.76,103
234.18,102
236.6,104
239.02,101
241.44,105
243.86,102
246.28,107
248.7,103
251.12,105
253.54,105
255.96,104
258.38,101
260.8,109
263.22,102
265.64,96
268.06,98
270.48,100
272.9,99
275.32,99
277.74,100
280.16,100
282.58,97
285,95
287.42,100
289.84,100
292.26,100
294.68,98
297.1,105
299.52,102
301.94,96
304.36,103
306.78,105
309.2,96
311.62,104
314.04,98
316.46,100
318.88,100
321.3,104
323.72,97
326.14,101
328.56,106
330.98,105
333.4,102
335.82,102
338.24,105
340.66,101
343.08,101
345.5,110
347.92,118
350.34,111
352.76,109
355.18,108
357.6,114
360.02,107
362.44,106
364.86,108
367.28,102
369.7,104
372.12,105
374.54,103
376.96,98
379.38,96
381.8,98
384.22,98
386.64,99
389.06,100
391.48,98
393.9,101
396.32,104
398.74,97
401.16,101
403.58,99
406,98
408.42,102
410.84,98
413.26,93
415.68,95
418.1,96
420.52,92
422.94,97
425.36,97
427.78,97
430.2,98
432.62,96
435.04,94
437.46,91
439.88,93
442.3,93
444.72,93
447.14,91
449.56,89
451.98,92
454.4,90
456.82,90
459.24,88
461.66,90
464.08,93
466.5,96
468.92,97
471.34,98
473.76,99
476.18,97
478.6,95
481.02,100
483.44,102
