X,ieee802154Narrow.anchor[0].appl/Number of packets from this anchor,ieee802154Narrow.anchor[1].appl/Number of packets from this anchor,ieee802154Narrow.anchor[2].appl/Number of packets from this anchor,ieee802154Narrow.anchor[3].appl/Number of packets from this anchor,ieee802154Narrow.anchor[4].appl/Number of packets from this anchor,ieee802154Narrow.anchor[5].appl/Number of packets from this anchor,ieee802154Narrow.anchor[6].appl/Number of packets from this anchor,ieee802154Narrow.anchor[7].appl/Number of packets from this anchor,ieee802154Narrow.anchor[8].appl/Number of packets from this anchor,ieee802154Narrow.anchor[9].appl/Number of packets from this anchor,ieee802154Narrow.anchor[10].appl/Number of packets from this anchor,ieee802154Narrow.anchor[11].appl/Number of packets from this anchor,ieee802154Narrow.anchor[12].appl/Number of packets from this anchor,ieee802154Narrow.anchor[13].appl/Number of packets from this anchor,ieee802154Narrow.anchor[14].appl/Number of packets from this anchor,ieee802154Narrow.anchor[15].appl/Number of packets from this anchor,ieee802154Narrow.anchor[16].appl/Number of packets from this anchor,ieee802154Narrow.anchor[17].appl/Number of packets from this anchor,ieee802154Narrow.anchor[18].appl/Number of packets from this anchor,ieee802154Narrow.anchor[19].appl/Number of packets from this anchor,ieee802154Narrow.anchor[20].appl/Number of packets from this anchor,ieee802154Narrow.anchor[21].appl/Number of packets from this anchor,ieee802154Narrow.anchor[22].appl/Number of packets from this anchor,ieee802154Narrow.anchor[23].appl/Number of packets from this anchor,ieee802154Narrow.anchor[24].appl/Number of packets from this anchor
0.82,3,4,4,3,0,4,5,5,4,1,6,6,5,5,2,5,7,5,4,1,4,5,3,1,0
3.24,3,4,4,3,0,4,5,5,4,1,6,8,6,5,2,5,7,5,4,1,4,5,3,1,0
5.66,3,4,4,3,0,3,5,5,4,1,6,8,6,5,2,5,7,5,4,1,4,5,3,1,0
8.08,3,4,4,3,0,3,6,5,4,1,6,8,6,5,2,5,7,6,4,1,4,5,3,1,0
10.5,3,4,4,3,0,3,5,6,4,1,6,8,6,5,2,5,7,6,4,1,4,5,3,1,0
12.92,3,4,4,3,0,2,5,6,4,2,6,8,6,5,2,5,7,7,4,1,4,5,3,1,0
15.34,2,4,4,3,0,2,5,8,4,2,6,8,6,5,2,5,7,7,4,1,4,5,2,1,0
17.76,2,4,5,3,0,2,5,10,4,2,6,8,7,5,2,5,7,7,4,1,4,4,1,1,0
20.18,1,4,5,3,0,2,5,10,4,2,6,8,7,5,2,5,7,9,4,1,4,4,3,1,1
22.6,1,3,5,3,0,2,5,10,4,2,6,8,7,5,1,5,7,8,4,1,4,4,3,1,1
25.02,1,2,5,3,1,1,5,10,4,2,6,8,7,5,1,4,7,8,4,0,4,4,3,1,1
27.44,0,2,5,3,1,1,6,10,4,2,6,8,8,5,1,4,8,8,4,1,3,3,3,1,1
29.86,0,2,5,3,1,1,6,10,5,2,4,9,9,5,1,4,8,7,3,1,3,3,3,1,1
32.28,0,2,5,3,1,1,6,10,6,2,4,10,10,5,1,4,8,7,3,1,3,3,4,1,1
34.7,0,2,5,2,1,1,7,10,6,1,4,11,12,5,1,4,8,7,3,1,3,3,4,1,1
37.12,0,2,5,3,1,1,8,10,7,2,3,11,12,6,1,4,8,7,3,1,2,3,4,1,1
39.54,0,2,5,3,1,2,9,10,7,2,3,11,13,6,1,4,7,7,2,1,1,3,4,1,1
41.96,0,2,5,4,1,2,9,10,7,2,2,11,13,6,1,4,7,7,2,1,1,3,4,1,1
44.38,0,2,5,4,1,2,9,10,7,2,2,11,13,6,1,4,7,8,2,1,1,3,4,1,1
46.8,0,2,5,4,1,2,9,10,7,2,2,11,13,6,1,4,7,8,2,1,0,3,4,1,1
49.22,0,2,5,4,1,1,9,10,7,2,2,11,13,6,1,4,7,8,1,1,0,3,4,1,1
51.64,0,3,5,4,1,1,9,10,7,2,2,11,13,7,1,3,7,8,1,1,0,3,4,1,1
54.06,0,3,4,4,1,1,9,9,8,2,2,11,13,7,1,2,6,8,3,1,0,3,4,1,1
56.48,0,3,4,4,2,1,9,9,8,2,2,11,13,6,1,2,6,7,4,1,0,3,4,1,1
58.9,0,2,5,4,2,1,9,9,8,2,2,11,13,6,1,2,6,6,4,1,0,3,4,1,1
61.32,0,2,5,4,2,1,9,10,7,2,2,11,13,6,1,1,6,6,4,1,0,3,3,1,1
63.74,0,2,6,4,2,1,9,10,7,2,2,11,13,6,1,1,6,6,5,1,0,3,3,1,1
66.16,0,2,6,4,2,1,8,10,7,2,1,11,12,6,1,0,6,6,5,1,0,3,3,1,1
68.58,0,2,6,4,2,1,8,10,7,2,1,11,12,8,0,0,6,6,5,1,0,3,3,1,1
71,0,2,6,3,2,1,8,10,7,2,2,11,12,8,1,0,6,6,5,1,0,3,3,1,1
73.42,0,2,6,4,2,1,8,10,7,2,2,11,12,8,1,0,6,6,5,1,0,2,3,1,1
75.84,0,2,6,3,2,2,8,10,7,2,2,11,12,8,1,0,6,6,5,1,0,1,3,2,1
78.26,0,2,6,2,2,2,8,10,7,2,2,10,12,9,1,0,6,6,5,1,0,1,3,2,1
80.68,0,2,5,2,2,2,7,10,6,2,2,9,11,9,2,0,6,6,5,1,0,1,3,2,1
83.1,0,2,4,2,2,2,7,10,6,2,2,8,11,9,2,0,6,6,5,1,0,0,3,2,1
85.52,0,2,5,2,2,2,7,10,6,2,2,8,11,9,2,0,6,7,5,1,0,0,3,2,1
87.94,0,2,4,2,2,2,7,10,6,2,2,8,11,9,1,0,6,7,5,1,0,0,3,3,1
90.36,1,2,3,2,2,3,7,10,7,2,3,8,11,9,2,1,6,10,6,1,0,0,3,3,1
92.78,1,2,3,2,2,3,6,11,7,3,3,8,11,9,2,1,6,11,7,1,0,0,4,4,1
95.2,1,1,3,2,2,2,6,10,7,3,3,7,11,9,2,1,6,11,7,1,0,0,4,4,1
97.62,1,1,3,2,2,2,6,10,7,3,3,6,11,9,2,1,5,10,7,1,0,0,4,4,1
100.04,1,1,3,2,2,2,6,10,7,3,3,6,11,9,2,1,5,10,7,1,0,0,4,4,1
102.46,1,1,3,2,2,2,6,10,7,3,3,6,11,9,2,1,6,10,7,1,0,0,4,4,1
104.88,1,1,3,2,2,2,6,10,7,3,3,5,11,10,2,1,6,10,7,1,0,0,4,4,1
107.3,1,1,3,2,2,2,6,10,6,3,2,5,11,11,3,1,5,11,7,1,0,0,4,4,1
109.72,1,1,3,2,2,2,6,10,6,3,2,5,10,11,3,1,5,11,7,3,0,0,4,4,1
112.14,1,1,3,2,1,2,6,10,6,3,2,5,10,10,3,1,5,11,7,4,0,0,4,4,2
