X,ieee802154Narrow.anchor[12].appl/Dropped Packets in AN - Max MAC BackOff tries
1.86,8
4.28,5
6.7,2
9.12,3
11.54,3
13.96,2
16.38,2
18.8,4
21.22,0
23.64,5
26.06,1
28.48,3
30.9,0
33.32,2
35.74,3
38.16,4
40.58,5
43,5
45.42,2
47.84,3
50.26,5
52.68,2
55.1,0
57.52,3
59.94,0
62.36,4
64.78,2
67.2,2
69.62,8
72.04,6
74.46,4
76.88,4
79.3,4
81.72,0
84.14,2
86.56,1
88.98,1
91.4,1
93.82,1
96.24,1
98.66,2
101.08,2
103.5,3
105.92,3
108.34,2
110.76,5
113.18,3
115.6,1
118.02,2
120.44,3
122.86,3
125.28,5
127.7,0
130.12,0
132.54,3
134.96,1
137.38,1
139.8,4
142.22,1
144.64,1
147.06,3
149.48,0
151.9,3
154.32,1
156.74,5
159.16,4
161.58,4
164,2
166.42,2
168.84,1
171.26,0
173.68,1
176.1,2
178.52,2
180.94,1
183.36,3
185.78,1
188.2,4
190.62,2
193.04,4
195.46,3
197.88,4
200.3,0
202.72,2
205.14,2
207.56,1
209.98,3
212.4,6
214.82,7
217.24,4
219.66,7
222.08,4
224.5,5
226.92,5
229.34,4
231.76,3
234.18,3
236.6,4
239.02,1
241.44,0
243.86,1
246.28,5
248.7,3
251.12,6
253.54,2
255.96,5
258.38,2
260.8,8
263.22,4
265.64,1
268.06,1
270.48,1
272.9,0
275.32,0
277.74,1
280.16,0
282.58,0
285,1
287.42,0
289.84,2
292.26,3
294.68,1
297.1,1
299.52,1
301.94,0
304.36,1
306.78,1
309.2,0
311.62,1
314.04,0
316.46,0
318.88,1
321.3,1
323.72,1
326.14,0
328.56,1
330.98,0
333.4,4
335.82,0
338.24,0
340.66,3
343.08,7
345.5,2
347.92,2
350.34,0
352.76,0
355.18,1
357.6,0
360.02,1
362.44,1
364.86,1
367.28,0
369.7,2
372.12,1
374.54,5
376.96,1
379.38,1
381.8,0
384.22,0
386.64,0
389.06,0
391.48,1
393.9,0
396.32,0
398.74,0
401.16,2
403.58,0
406,2
408.42,0
410.84,0
413.26,0
415.68,0
418.1,1
420.52,3
422.94,3
425.36,0
427.78,0
430.2,1
432.62,3
435.04,0
437.46,0
439.88,2
442.3,5
444.72,5
447.14,0
449.56,3
451.98,2
454.4,2
456.82,1
459.24,4
461.66,4
464.08,7
466.5,1
468.92,1
471.34,4
473.76,0
476.18,1
478.6,0
481.02,0
483.44,5
