X,ieee802154Narrow.anchor[8].appl/Dropped Packets in AN - Max MAC BackOff tries
1.86,5
4.28,2
6.7,2
9.12,3
11.54,2
13.96,1
16.38,1
18.8,1
21.22,3
23.64,1
26.06,1
28.48,1
30.9,3
33.32,1
35.74,2
38.16,1
40.58,1
43,2
45.42,2
47.84,1
50.26,1
52.68,4
55.1,3
57.52,4
59.94,2
62.36,5
64.78,2
67.2,0
69.62,1
72.04,1
74.46,4
76.88,3
79.3,4
81.72,1
84.14,3
86.56,5
88.98,1
91.4,3
93.82,0
96.24,0
98.66,3
101.08,1
103.5,3
105.92,3
108.34,2
110.76,5
113.18,4
115.6,3
118.02,3
120.44,5
122.86,2
125.28,2
127.7,1
130.12,1
132.54,0
134.96,1
137.38,1
139.8,1
142.22,2
144.64,0
147.06,1
149.48,0
151.9,1
154.32,1
156.74,0
159.16,0
161.58,0
164,4
166.42,2
168.84,1
171.26,1
173.68,0
176.1,1
178.52,0
180.94,0
183.36,1
185.78,1
188.2,1
190.62,2
193.04,3
195.46,1
197.88,1
200.3,7
202.72,1
205.14,0
207.56,1
209.98,2
212.4,0
214.82,1
217.24,0
219.66,1
222.08,3
224.5,1
226.92,0
229.34,2
231.76,1
234.18,1
236.6,0
239.02,1
241.44,4
243.86,2
246.28,4
248.7,3
251.12,2
253.54,3
255.96,3
258.38,2
260.8,0
263.22,3
265.64,2
268.06,0
270.48,1
272.9,0
275.32,1
277.74,0
280.16,3
282.58,1
285,1
287.42,0
289.84,0
292.26,1
294.68,2
297.1,1
299.52,2
301.94,5
304.36,3
306.78,5
309.2,3
311.62,8
314.04,1
316.46,4
318.88,6
321.3,2
323.72,2
326.14,2
328.56,1
330.98,1
333.4,1
335.82,0
338.24,0
340.66,0
343.08,1
345.5,1
347.92,4
350.34,0
352.76,0
355.18,0
357.6,0
360.02,1
362.44,2
364.86,3
367.28,3
369.7,0
372.12,1
374.54,0
376.96,1
379.38,0
381.8,2
384.22,0
386.64,0
389.06,0
391.48,0
393.9,1
396.32,2
398.74,0
401.16,4
403.58,2
406,4
408.42,0
410.84,2
413.26,0
415.68,3
418.1,4
420.52,3
422.94,2
425.36,2
427.78,0
430.2,0
432.62,0
435.04,1
437.46,1
439.88,2
442.3,2
444.72,2
447.14,2
449.56,2
451.98,0
454.4,1
456.82,2
459.24,1
461.66,1
464.08,0
466.5,0
468.92,1
471.34,0
473.76,7
476.18,2
478.6,1
481.02,0
483.44,1
