X,ieee802154Narrow.computer[0].appl/received-packets-per-period
1.86,76
4.28,78
6.7,82
9.12,87
11.54,88
13.96,90
16.38,89
18.8,87
21.22,94
23.64,92
26.06,89
28.48,95
30.9,94
33.32,93
35.74,92
38.16,96
40.58,96
43,96
45.42,94
47.84,91
50.26,97
52.68,93
55.1,94
57.52,94
59.94,94
62.36,93
64.78,88
67.2,92
69.62,96
72.04,92
74.46,95
76.88,96
79.3,97
81.72,99
84.14,100
86.56,101
88.98,97
91.4,97
93.82,95
96.24,95
98.66,97
101.08,99
103.5,99
105.92,98
108.34,95
110.76,94
113.18,99
115.6,97
118.02,97
120.44,91
122.86,94
125.28,94
127.7,90
130.12,98
132.54,97
134.96,97
137.38,91
139.8,96
142.22,100
144.64,100
147.06,101
149.48,95
151.9,99
154.32,93
156.74,98
159.16,101
161.58,99
164,99
166.42,105
168.84,97
171.26,95
173.68,93
176.1,99
178.52,95
180.94,98
183.36,91
185.78,89
188.2,105
190.62,95
193.04,93
195.46,97
197.88,96
200.3,97
202.72,103
205.14,96
207.56,98
209.98,103
212.4,102
214.82,99
217.24,102
219.66,99
222.08,102
224.5,98
226.92,95
229.34,93
231.76,95
234.18,101
236.6,101
239.02,99
241.44,96
243.86,93
246.28,94
248.7,97
251.12,95
253.54,94
255.96,95
258.38,93
260.8,98
263.22,95
265.64,95
268.06,98
270.48,103
272.9,100
275.32,103
277.74,110
280.16,97
282.58,100
285,94
287.42,90
289.84,107
292.26,101
294.68,105
297.1,106
299.52,98
301.94,105
304.36,99
306.78,99
309.2,98
311.62,102
314.04,108
316.46,102
318.88,101
321.3,106
323.72,105
326.14,97
328.56,95
330.98,96
333.4,101
335.82,97
338.24,96
340.66,95
343.08,95
345.5,98
347.92,95
350.34,95
352.76,96
355.18,101
357.6,93
360.02,100
362.44,89
364.86,93
367.28,94
369.7,95
372.12,97
374.54,103
376.96,98
379.38,91
381.8,96
384.22,102
386.64,93
389.06,102
391.48,99
393.9,102
396.32,101
398.74,102
401.16,98
403.58,99
406,106
408.42,102
410.84,102
413.26,105
415.68,103
418.1,105
420.52,104
422.94,105
425.36,98
427.78,104
430.2,102
432.62,106
435.04,105
437.46,100
439.88,100
442.3,100
444.72,100
447.14,101
449.56,99
451.98,100
454.4,103
456.82,102
459.24,99
461.66,101
464.08,99
466.5,97
468.92,100
471.34,99
473.76,103
476.18,103
478.6,102
481.02,101
483.44,100
