X,ieee802154Narrow.anchor[12].appl/Dropped Packets in AN - Max MAC BackOff tries
1.86,12
4.28,14
6.7,3
9.12,4
11.54,1
13.96,4
16.38,5
18.8,2
21.22,8
23.64,3
26.06,4
28.48,0
30.9,1
33.32,0
35.74,0
38.16,0
40.58,0
43,0
45.42,0
47.84,6
50.26,1
52.68,1
55.1,1
57.52,1
59.94,4
62.36,2
64.78,0
67.2,1
69.62,1
72.04,2
74.46,3
76.88,2
79.3,4
81.72,2
84.14,4
86.56,2
88.98,1
91.4,1
93.82,2
96.24,0
98.66,4
101.08,3
103.5,1
105.92,2
108.34,1
110.76,2
113.18,2
115.6,1
118.02,1
120.44,3
122.86,3
125.28,5
127.7,2
130.12,2
132.54,0
134.96,0
137.38,0
139.8,1
142.22,0
144.64,0
147.06,3
149.48,0
151.9,0
154.32,4
156.74,4
159.16,5
161.58,0
164,0
166.42,0
168.84,0
171.26,0
173.68,0
176.1,1
178.52,2
180.94,1
183.36,1
185.78,3
188.2,1
190.62,1
193.04,1
195.46,2
197.88,2
200.3,1
202.72,1
205.14,3
207.56,2
209.98,3
212.4,1
214.82,2
217.24,0
219.66,3
222.08,3
224.5,1
226.92,4
229.34,1
231.76,3
234.18,1
236.6,2
239.02,4
241.44,1
243.86,0
246.28,3
248.7,2
251.12,6
253.54,4
255.96,7
258.38,5
260.8,3
263.22,2
265.64,2
268.06,1
270.48,1
272.9,1
275.32,1
277.74,2
280.16,0
282.58,0
285,3
287.42,3
289.84,0
292.26,0
294.68,1
297.1,1
299.52,2
301.94,2
304.36,0
306.78,1
309.2,3
311.62,2
314.04,6
316.46,6
318.88,1
321.3,0
323.72,2
326.14,2
328.56,5
330.98,2
333.4,2
335.82,1
338.24,0
340.66,2
343.08,0
345.5,1
347.92,1
350.34,0
352.76,1
355.18,0
357.6,5
360.02,0
362.44,1
364.86,1
367.28,1
369.7,2
372.12,1
374.54,4
376.96,3
379.38,6
381.8,3
384.22,1
386.64,4
389.06,4
391.48,3
393.9,6
396.32,5
398.74,4
401.16,6
403.58,2
406,2
408.42,0
410.84,0
413.26,0
415.68,0
418.1,2
420.52,1
422.94,7
425.36,3
427.78,1
430.2,2
432.62,0
435.04,0
437.46,4
439.88,2
442.3,3
444.72,1
447.14,7
449.56,0
451.98,4
454.4,2
456.82,2
459.24,1
461.66,3
464.08,3
466.5,6
468.92,1
471.34,6
473.76,7
476.18,6
478.6,1
481.02,1
483.44,1
