X,ieee802154Narrow.computer[0].appl/received-no-repeated-packets-per-period
1.86,74
4.28,86
6.7,92
9.12,92
11.54,93
13.96,93
16.38,93
18.8,95
21.22,95
23.64,98
26.06,94
28.48,92
30.9,95
33.32,94
35.74,95
38.16,93
40.58,98
43,98
45.42,97
47.84,94
50.26,98
52.68,94
55.1,97
57.52,94
59.94,87
62.36,93
64.78,89
67.2,88
69.62,92
72.04,93
74.46,97
76.88,88
79.3,95
81.72,94
84.14,91
86.56,90
88.98,96
91.4,98
93.82,94
96.24,91
98.66,91
101.08,95
103.5,96
105.92,92
108.34,87
110.76,96
113.18,98
115.6,99
118.02,102
120.44,100
122.86,99
125.28,102
127.7,101
130.12,100
132.54,100
134.96,101
137.38,101
139.8,101
142.22,99
144.64,96
147.06,93
149.48,92
151.9,91
154.32,97
156.74,99
159.16,102
161.58,104
164,104
166.42,105
168.84,102
171.26,99
173.68,95
176.1,99
178.52,100
180.94,101
183.36,99
185.78,98
188.2,96
190.62,97
193.04,97
195.46,97
197.88,101
200.3,98
202.72,98
205.14,98
207.56,98
209.98,97
212.4,98
214.82,98
217.24,99
219.66,100
222.08,99
224.5,97
226.92,102
229.34,98
231.76,101
234.18,99
236.6,98
239.02,104
241.44,104
243.86,103
246.28,98
248.7,99
251.12,98
253.54,95
255.96,97
258.38,98
260.8,99
263.22,102
265.64,103
268.06,99
270.48,102
272.9,103
275.32,103
277.74,97
280.16,97
282.58,100
285,99
287.42,97
289.84,95
292.26,93
294.68,93
297.1,95
299.52,96
301.94,97
304.36,95
306.78,94
309.2,95
311.62,93
314.04,91
316.46,87
318.88,88
321.3,91
323.72,93
326.14,97
328.56,96
330.98,95
333.4,95
335.82,96
338.24,96
340.66,95
343.08,92
345.5,93
347.92,93
350.34,94
352.76,95
355.18,98
357.6,97
360.02,94
362.44,97
364.86,99
367.28,97
369.7,95
372.12,97
374.54,99
376.96,105
379.38,105
381.8,102
384.22,103
386.64,101
389.06,100
391.48,100
393.9,100
396.32,101
398.74,100
401.16,100
403.58,99
406,101
408.42,100
410.84,100
413.26,101
415.68,99
418.1,97
420.52,100
422.94,98
425.36,97
427.78,101
430.2,99
432.62,96
435.04,97
437.46,98
439.88,96
442.3,97
444.72,95
447.14,96
449.56,99
451.98,99
454.4,96
456.82,95
459.24,94
461.66,96
464.08,93
466.5,94
468.92,95
471.34,96
473.76,95
476.18,94
478.6,94
481.02,90
483.44,92
