X,ieee802154Narrow.anchor[16].appl/Number of AN Reports with ACK
1.86,4
4.28,2
6.7,3
9.12,3
11.54,3
13.96,3
16.38,3
18.8,3
21.22,3
23.64,4
26.06,3
28.48,5
30.9,5
33.32,5
35.74,2
38.16,6
40.58,5
43,3
45.42,6
47.84,7
50.26,7
52.68,6
55.1,7
57.52,9
59.94,9
62.36,9
64.78,9
67.2,10
69.62,8
72.04,10
74.46,9
76.88,10
79.3,10
81.72,10
84.14,11
86.56,6
88.98,8
91.4,5
93.82,10
96.24,10
98.66,9
101.08,11
103.5,9
105.92,7
108.34,7
110.76,10
113.18,12
115.6,11
118.02,11
120.44,11
122.86,11
125.28,11
127.7,11
130.12,10
132.54,9
134.96,9
137.38,6
139.8,9
142.22,9
144.64,9
147.06,9
149.48,9
151.9,9
154.32,9
156.74,9
159.16,10
161.58,9
164,9
166.42,12
168.84,9
171.26,9
173.68,9
176.1,10
178.52,9
180.94,11
183.36,10
185.78,10
188.2,8
190.62,9
193.04,3
195.46,7
197.88,9
200.3,10
202.72,11
205.14,10
207.56,11
209.98,10
212.4,10
214.82,9
217.24,11
219.66,12
222.08,15
224.5,11
226.92,12
229.34,12
231.76,12
234.18,13
236.6,11
239.02,12
241.44,8
243.86,12
246.28,11
248.7,11
251.12,9
253.54,13
255.96,14
258.38,12
260.8,13
263.22,11
265.64,12
268.06,12
270.48,10
272.9,10
275.32,10
277.74,10
280.16,10
282.58,10
285,10
287.42,9
289.84,11
292.26,10
294.68,10
297.1,11
299.52,11
301.94,11
304.36,10
306.78,9
309.2,9
311.62,10
314.04,10
316.46,10
318.88,10
321.3,10
323.72,11
326.14,11
328.56,11
330.98,10
333.4,10
335.82,10
338.24,9
340.66,9
343.08,10
345.5,9
347.92,9
350.34,9
352.76,9
355.18,8
357.6,8
360.02,8
362.44,8
364.86,8
367.28,9
369.7,9
372.12,9
374.54,9
376.96,9
379.38,9
381.8,9
384.22,9
386.64,9
389.06,9
391.48,9
393.9,9
396.32,9
398.74,9
401.16,9
403.58,10
406,10
408.42,10
410.84,9
413.26,9
415.68,9
418.1,9
420.52,9
422.94,9
425.36,10
427.78,9
430.2,9
432.62,8
435.04,9
437.46,9
439.88,9
442.3,8
444.72,8
447.14,8
449.56,8
451.98,8
454.4,8
456.82,8
459.24,8
461.66,8
464.08,7
466.5,6
468.92,6
471.34,5
473.76,4
476.18,4
478.6,4
481.02,3
483.44,4
