X,ieee802154Narrow.anchor[8].appl/Dropped Packets in AN - Max MAC BackOff tries
1.86,11
4.28,1
6.7,1
9.12,1
11.54,3
13.96,2
16.38,2
18.8,1
21.22,2
23.64,1
26.06,1
28.48,0
30.9,0
33.32,2
35.74,0
38.16,3
40.58,5
43,2
45.42,1
47.84,0
50.26,1
52.68,0
55.1,0
57.52,0
59.94,1
62.36,1
64.78,2
67.2,2
69.62,2
72.04,2
74.46,4
76.88,2
79.3,2
81.72,2
84.14,1
86.56,2
88.98,0
91.4,0
93.82,2
96.24,1
98.66,1
101.08,3
103.5,1
105.92,1
108.34,4
110.76,4
113.18,4
115.6,2
118.02,2
120.44,1
122.86,1
125.28,0
127.7,0
130.12,0
132.54,0
134.96,2
137.38,1
139.8,2
142.22,2
144.64,1
147.06,1
149.48,1
151.9,3
154.32,1
156.74,2
159.16,1
161.58,2
164,5
166.42,3
168.84,2
171.26,1
173.68,3
176.1,1
178.52,3
180.94,0
183.36,2
185.78,1
188.2,9
190.62,3
193.04,1
195.46,4
197.88,0
200.3,3
202.72,2
205.14,4
207.56,0
209.98,1
212.4,3
214.82,2
217.24,4
219.66,3
222.08,3
224.5,4
226.92,5
229.34,1
231.76,2
234.18,3
236.6,1
239.02,2
241.44,3
243.86,0
246.28,1
248.7,1
251.12,1
253.54,1
255.96,2
258.38,3
260.8,2
263.22,2
265.64,1
268.06,2
270.48,6
272.9,0
275.32,1
277.74,0
280.16,1
282.58,7
285,1
287.42,0
289.84,1
292.26,0
294.68,1
297.1,1
299.52,2
301.94,2
304.36,2
306.78,3
309.2,0
311.62,0
314.04,1
316.46,2
318.88,0
321.3,8
323.72,5
326.14,2
328.56,1
330.98,7
333.4,5
335.82,3
338.24,4
340.66,1
343.08,2
345.5,1
347.92,1
350.34,0
352.76,5
355.18,3
357.6,3
360.02,4
362.44,1
364.86,2
367.28,1
369.7,1
372.12,1
374.54,0
376.96,2
379.38,1
381.8,0
384.22,2
386.64,3
389.06,1
391.48,1
393.9,2
396.32,2
398.74,2
401.16,2
403.58,2
406,6
408.42,1
410.84,0
413.26,5
415.68,2
418.1,4
420.52,2
422.94,1
425.36,1
427.78,4
430.2,7
432.62,4
435.04,4
437.46,5
439.88,3
442.3,1
444.72,1
447.14,1
449.56,1
451.98,4
454.4,1
456.82,0
459.24,1
461.66,3
464.08,8
466.5,2
468.92,5
471.34,7
473.76,1
476.18,0
478.6,4
481.02,2
483.44,1
