X,ieee802154Narrow.computer[0].appl/Number of packets sent from anchor 20
1.86,0
4.28,0
6.7,1
9.12,0
11.54,1
13.96,1
16.38,1
18.8,1
21.22,1
23.64,1
26.06,0
28.48,1
30.9,0
33.32,0
35.74,0
38.16,0
40.58,0
43,0
45.42,0
47.84,0
50.26,0
52.68,0
55.1,0
57.52,0
59.94,0
62.36,0
64.78,0
67.2,0
69.62,0
72.04,0
74.46,0
76.88,0
79.3,0
81.72,0
84.14,0
86.56,0
88.98,0
91.4,0
93.82,0
96.24,0
98.66,1
101.08,1
103.5,1
105.92,1
108.34,1
110.76,1
113.18,1
115.6,1
118.02,1
120.44,1
122.86,1
125.28,1
127.7,1
130.12,0
132.54,0
134.96,0
137.38,0
139.8,0
142.22,0
144.64,0
147.06,0
149.48,0
151.9,0
154.32,0
156.74,0
159.16,0
161.58,0
164,0
166.42,0
168.84,0
171.26,0
173.68,0
176.1,0
178.52,0
180.94,0
183.36,0
185.78,0
188.2,0
190.62,0
193.04,0
195.46,0
197.88,0
200.3,0
202.72,0
205.14,0
207.56,0
209.98,0
212.4,0
214.82,0
217.24,0
219.66,0
222.08,0
224.5,0
226.92,0
229.34,0
231.76,0
234.18,0
236.6,0
239.02,0
241.44,0
243.86,0
246.28,0
248.7,0
251.12,0
253.54,0
255.96,0
258.38,0
260.8,0
263.22,0
265.64,0
268.06,0
270.48,0
272.9,0
275.32,0
277.74,0
280.16,0
282.58,0
285,1
287.42,2
289.84,2
292.26,1
294.68,2
297.1,2
299.52,2
301.94,2
304.36,2
306.78,2
309.2,2
311.62,2
314.04,2
316.46,2
318.88,2
321.3,2
323.72,2
326.14,2
328.56,2
330.98,2
333.4,2
335.82,2
338.24,2
340.66,1
343.08,1
345.5,1
347.92,1
350.34,1
352.76,1
355.18,1
357.6,0
360.02,1
362.44,0
364.86,0
367.28,0
369.7,0
372.12,0
374.54,0
376.96,0
379.38,0
381.8,0
384.22,0
386.64,1
389.06,0
391.48,1
393.9,1
396.32,1
398.74,0
401.16,0
403.58,0
406,0
408.42,0
410.84,0
413.26,0
415.68,0
418.1,0
420.52,0
422.94,0
425.36,0
427.78,0
430.2,0
432.62,0
435.04,0
437.46,0
439.88,0
442.3,0
444.72,0
447.14,0
449.56,0
451.98,1
454.4,1
456.82,1
459.24,1
461.66,1
464.08,0
466.5,1
468.92,1
471.34,1
473.76,1
476.18,1
478.6,1
481.02,2
483.44,2
