X,ieee802154Narrow.anchor[8].appl/Number of AN Reports with ACK
1.86,36
4.28,39
6.7,41
9.12,44
11.54,45
13.96,48
16.38,46
18.8,44
21.22,42
23.64,46
26.06,46
28.48,45
30.9,44
33.32,49
35.74,47
38.16,48
40.58,47
43,53
45.42,52
47.84,50
50.26,49
52.68,47
55.1,53
57.52,50
59.94,55
62.36,58
64.78,56
67.2,55
69.62,53
72.04,58
74.46,56
76.88,56
79.3,58
81.72,50
84.14,54
86.56,54
88.98,56
91.4,56
93.82,58
96.24,55
98.66,56
101.08,49
103.5,53
105.92,53
108.34,51
110.76,50
113.18,52
115.6,51
118.02,48
120.44,50
122.86,49
125.28,47
127.7,52
130.12,52
132.54,53
134.96,51
137.38,55
139.8,52
142.22,55
144.64,56
147.06,58
149.48,57
151.9,54
154.32,57
156.74,59
159.16,60
161.58,62
164,59
166.42,59
168.84,62
171.26,61
173.68,62
176.1,62
178.52,61
180.94,62
183.36,62
185.78,61
188.2,60
190.62,63
193.04,61
195.46,62
197.88,60
200.3,62
202.72,59
205.14,61
207.56,59
209.98,57
212.4,55
214.82,58
217.24,56
219.66,59
222.08,57
224.5,58
226.92,54
229.34,58
231.76,57
234.18,58
236.6,59
239.02,58
241.44,53
243.86,57
246.28,56
248.7,56
251.12,55
253.54,54
255.96,52
258.38,53
260.8,52
263.22,53
265.64,51
268.06,56
270.48,54
272.9,57
275.32,58
277.74,55
280.16,49
282.58,52
285,52
287.42,52
289.84,52
292.26,52
294.68,51
297.1,54
299.52,52
301.94,54
304.36,56
306.78,53
309.2,54
311.62,53
314.04,54
316.46,56
318.88,54
321.3,58
323.72,55
326.14,53
328.56,51
330.98,53
333.4,54
335.82,55
338.24,54
340.66,52
343.08,52
345.5,52
347.92,51
350.34,53
352.76,56
355.18,57
357.6,57
360.02,55
362.44,60
364.86,58
367.28,59
369.7,58
372.12,58
374.54,54
376.96,53
379.38,53
381.8,55
384.22,57
386.64,56
389.06,56
391.48,54
393.9,54
396.32,53
398.74,52
401.16,53
403.58,50
406,49
408.42,51
410.84,52
413.26,50
415.68,48
418.1,49
420.52,51
422.94,51
425.36,52
427.78,52
430.2,53
432.62,52
435.04,53
437.46,52
439.88,52
442.3,48
444.72,50
447.14,50
449.56,49
451.98,50
454.4,51
456.82,51
459.24,54
461.66,54
464.08,54
466.5,53
468.92,53
471.34,55
473.76,56
476.18,55
478.6,56
481.02,56
483.44,54
