X,ieee802154Narrow.computer[0].appl/Number of packets sent from anchor 16
1.86,4
4.28,6
6.7,6
9.12,6
11.54,6
13.96,5
16.38,6
18.8,7
21.22,7
23.64,8
26.06,8
28.48,8
30.9,8
33.32,8
35.74,8
38.16,7
40.58,7
43,7
45.42,7
47.84,7
50.26,7
52.68,6
55.1,7
57.52,7
59.94,7
62.36,6
64.78,6
67.2,6
69.62,8
72.04,8
74.46,8
76.88,7
79.3,6
81.72,6
84.14,7
86.56,7
88.98,7
91.4,6
93.82,6
96.24,6
98.66,6
101.08,6
103.5,6
105.92,6
108.34,6
110.76,5
113.18,6
115.6,6
118.02,6
120.44,6
122.86,8
125.28,8
127.7,8
130.12,8
132.54,8
134.96,8
137.38,8
139.8,8
142.22,8
144.64,8
147.06,8
149.48,7
151.9,8
154.32,8
156.74,8
159.16,8
161.58,8
164,8
166.42,8
168.84,8
171.26,8
173.68,8
176.1,8
178.52,8
180.94,8
183.36,8
185.78,7
188.2,7
190.62,7
193.04,7
195.46,7
197.88,7
200.3,7
202.72,7
205.14,7
207.56,7
209.98,7
212.4,7
214.82,7
217.24,7
219.66,6
222.08,6
224.5,6
226.92,6
229.34,6
231.76,6
234.18,6
236.6,6
239.02,6
241.44,6
243.86,5
246.28,5
248.7,5
251.12,5
253.54,5
255.96,4
258.38,4
260.8,3
263.22,3
265.64,3
268.06,3
270.48,4
272.9,5
275.32,5
277.74,5
280.16,4
282.58,4
285,4
287.42,4
289.84,4
292.26,4
294.68,4
297.1,3
299.52,3
301.94,3
304.36,3
306.78,3
309.2,3
311.62,5
314.04,5
316.46,5
318.88,4
321.3,4
323.72,4
326.14,4
328.56,4
330.98,3
333.4,3
335.82,3
338.24,3
340.66,4
343.08,4
345.5,4
347.92,4
350.34,4
352.76,4
355.18,4
357.6,3
360.02,3
362.44,3
364.86,4
367.28,4
369.7,4
372.12,5
374.54,5
376.96,5
379.38,6
381.8,6
384.22,6
386.64,6
389.06,7
391.48,7
393.9,7
396.32,7
398.74,7
401.16,6
403.58,6
406,6
408.42,6
410.84,6
413.26,5
415.68,5
418.1,5
420.52,4
422.94,4
425.36,4
427.78,4
430.2,4
432.62,4
435.04,4
437.46,4
439.88,4
442.3,3
444.72,4
447.14,4
449.56,4
451.98,4
454.4,4
456.82,4
459.24,4
461.66,3
464.08,3
466.5,2
468.92,2
471.34,2
473.76,2
476.18,2
478.6,2
481.02,2
483.44,2
