X,ieee802154Narrow.computer[0].appl/received-packets-per-period
1.86,85
4.28,85
6.7,86
9.12,87
11.54,87
13.96,86
16.38,82
18.8,86
21.22,86
23.64,84
26.06,90
28.48,91
30.9,94
33.32,95
35.74,89
38.16,102
40.58,98
43,101
45.42,101
47.84,104
50.26,99
52.68,103
55.1,104
57.52,102
59.94,105
62.36,98
64.78,103
67.2,99
69.62,97
72.04,104
74.46,103
76.88,104
79.3,103
81.72,95
84.14,94
86.56,95
88.98,95
91.4,104
93.82,105
96.24,102
98.66,101
101.08,106
103.5,101
105.92,97
108.34,102
110.76,105
113.18,103
115.6,101
118.02,103
120.44,104
122.86,104
125.28,107
127.7,104
130.12,100
132.54,102
134.96,102
137.38,101
139.8,101
142.22,107
144.64,103
147.06,97
149.48,95
151.9,106
154.32,99
156.74,101
159.16,101
161.58,104
164,98
166.42,103
168.84,100
171.26,105
173.68,95
176.1,97
178.52,97
180.94,99
183.36,102
185.78,97
188.2,95
190.62,102
193.04,97
195.46,96
197.88,100
200.3,99
202.72,95
205.14,95
207.56,93
209.98,97
212.4,95
214.82,95
217.24,97
219.66,91
222.08,90
224.5,90
226.92,90
229.34,93
231.76,94
234.18,94
236.6,91
239.02,93
241.44,95
243.86,94
246.28,95
248.7,96
251.12,96
253.54,94
255.96,98
258.38,98
260.8,90
263.22,93
265.64,97
268.06,99
270.48,99
272.9,96
275.32,103
277.74,102
280.16,101
282.58,106
285,98
287.42,97
289.84,99
292.26,99
294.68,97
297.1,96
299.52,98
301.94,101
304.36,98
306.78,97
309.2,98
311.62,95
314.04,98
316.46,96
318.88,97
321.3,96
323.72,100
326.14,96
328.56,97
330.98,96
333.4,100
335.82,99
338.24,97
340.66,92
343.08,94
345.5,92
347.92,89
350.34,91
352.76,92
355.18,95
357.6,97
360.02,97
362.44,98
364.86,98
367.28,97
369.7,94
372.12,97
374.54,95
376.96,96
379.38,95
381.8,95
384.22,94
386.64,98
389.06,96
391.48,95
393.9,96
396.32,99
398.74,102
401.16,106
403.58,105
406,103
408.42,105
410.84,106
413.26,111
415.68,102
418.1,101
420.52,102
422.94,104
425.36,105
427.78,103
430.2,101
432.62,103
435.04,104
437.46,103
439.88,103
442.3,99
444.72,97
447.14,96
449.56,99
451.98,97
454.4,101
456.82,102
459.24,108
461.66,106
464.08,99
466.5,98
468.92,97
471.34,98
473.76,100
476.18,102
478.6,103
481.02,105
483.44,103
