X,ieee802154Narrow.anchor[0].appl/Number of packets from this anchor,ieee802154Narrow.anchor[1].appl/Number of packets from this anchor,ieee802154Narrow.anchor[2].appl/Number of packets from this anchor,ieee802154Narrow.anchor[3].appl/Number of packets from this anchor,ieee802154Narrow.anchor[4].appl/Number of packets from this anchor,ieee802154Narrow.anchor[5].appl/Number of packets from this anchor,ieee802154Narrow.anchor[6].appl/Number of packets from this anchor,ieee802154Narrow.anchor[7].appl/Number of packets from this anchor,ieee802154Narrow.anchor[8].appl/Number of packets from this anchor,ieee802154Narrow.anchor[9].appl/Number of packets from this anchor,ieee802154Narrow.anchor[10].appl/Number of packets from this anchor,ieee802154Narrow.anchor[11].appl/Number of packets from this anchor,ieee802154Narrow.anchor[12].appl/Number of packets from this anchor,ieee802154Narrow.anchor[13].appl/Number of packets from this anchor,ieee802154Narrow.anchor[14].appl/Number of packets from this anchor,ieee802154Narrow.anchor[15].appl/Number of packets from this anchor,ieee802154Narrow.anchor[16].appl/Number of packets from this anchor,ieee802154Narrow.anchor[17].appl/Number of packets from this anchor,ieee802154Narrow.anchor[18].appl/Number of packets from this anchor,ieee802154Narrow.anchor[19].appl/Number of packets from this anchor,ieee802154Narrow.anchor[20].appl/Number of packets from this anchor,ieee802154Narrow.anchor[21].appl/Number of packets from this anchor,ieee802154Narrow.anchor[22].appl/Number of packets from this anchor,ieee802154Narrow.anchor[23].appl/Number of packets from this anchor,ieee802154Narrow.anchor[24].appl/Number of packets from this anchor
0.82,2,4,3,3,2,3,7,6,6,3,2,4,4,8,5,1,3,5,5,3,0,1,2,4,3
3.24,3,4,3,3,2,3,7,6,6,3,2,4,4,8,5,1,3,6,5,3,0,1,2,4,3
5.66,3,4,2,3,2,3,7,6,6,3,2,5,4,8,5,1,2,6,5,4,0,1,3,4,3
8.08,3,4,2,3,1,3,7,6,6,3,2,5,5,9,5,1,2,7,5,4,0,1,3,4,3
10.5,3,4,2,3,1,3,7,6,6,3,2,6,7,9,5,1,3,7,5,4,0,1,3,4,3
12.92,3,4,3,3,1,3,7,6,7,3,2,6,7,9,4,1,3,7,6,4,0,1,3,3,3
15.34,3,4,3,3,1,4,7,6,6,3,2,6,7,9,4,1,3,7,6,4,0,1,3,3,3
17.76,3,4,3,2,1,4,7,7,6,3,2,6,8,8,4,1,3,7,6,4,0,1,3,3,3
20.18,3,4,3,2,1,4,7,7,6,3,2,6,8,8,4,1,3,7,8,4,0,1,4,3,2
22.6,3,4,3,2,1,4,6,8,6,3,2,8,9,8,4,1,3,7,8,3,0,1,4,3,1
25.02,3,4,3,1,1,4,5,8,6,3,2,8,10,8,4,1,3,7,8,3,0,1,4,3,1
27.44,3,4,3,1,1,4,5,8,6,3,2,9,10,8,3,1,3,7,8,3,0,1,4,3,1
29.86,3,4,3,1,1,4,5,7,6,3,2,9,10,8,3,1,3,7,9,3,0,1,4,3,1
32.28,3,4,3,1,1,4,5,8,6,3,2,8,11,8,3,1,3,8,9,2,0,0,5,3,0
34.7,3,4,4,1,1,4,5,8,6,3,2,8,11,8,4,1,3,8,8,2,0,1,4,3,0
37.12,3,4,4,1,1,3,5,8,6,3,2,8,11,8,4,1,4,8,8,2,0,1,4,3,0
39.54,3,4,4,1,1,3,5,8,6,2,2,8,11,8,3,1,4,8,8,2,0,1,4,3,0
41.96,3,4,4,1,1,3,5,8,6,3,3,8,11,8,3,1,5,10,8,1,0,1,4,3,0
44.38,2,4,4,1,1,3,5,8,6,3,4,7,12,8,2,1,6,9,8,1,0,3,4,3,0
46.8,1,4,4,1,1,3,6,8,6,2,4,7,13,6,2,1,6,9,8,1,0,3,4,3,0
49.22,0,4,3,1,1,3,6,8,6,2,4,8,13,6,2,1,6,9,8,1,0,3,4,3,0
51.64,0,4,3,1,1,3,6,8,6,2,4,8,13,6,2,2,6,9,8,1,0,3,4,3,0
54.06,0,3,3,1,1,3,6,9,4,2,4,8,13,6,3,2,6,9,8,1,0,3,4,3,0
56.48,0,2,2,1,0,3,7,9,4,2,4,8,14,6,3,1,6,9,8,2,0,4,4,3,0
58.9,0,2,2,1,0,2,7,9,4,2,4,8,14,6,3,1,7,9,8,2,0,4,4,3,0
61.32,0,2,2,1,0,2,7,9,5,2,4,8,14,6,3,1,7,9,8,2,0,4,4,4,0
63.74,0,2,2,1,0,2,7,9,6,2,3,8,14,6,3,0,7,10,8,2,0,4,4,4,0
66.16,0,1,2,1,0,2,7,9,5,2,3,8,14,6,3,0,7,10,7,2,0,4,4,4,0
68.58,0,1,2,1,0,2,7,8,5,1,3,8,14,7,3,0,8,10,6,3,0,4,4,5,0
71,0,1,2,1,0,2,7,8,5,1,3,8,14,7,3,0,9,10,6,3,0,4,4,5,0
73.42,0,1,2,1,0,2,7,8,5,1,3,8,14,7,2,0,9,11,6,3,0,4,5,4,0
75.84,0,1,2,1,0,2,7,8,5,1,3,8,11,8,2,0,9,11,5,3,0,4,6,3,0
78.26,0,1,2,1,0,1,7,8,4,1,3,7,11,8,2,2,9,11,5,3,0,4,6,3,0
