X,ieee802154Narrow.anchor[12].appl/Dropped Packets in AN - No ACK received
1.86,9
4.28,0
6.7,2
9.12,0
11.54,0
13.96,0
16.38,0
18.8,1
21.22,1
23.64,0
26.06,1
28.48,0
30.9,0
33.32,1
35.74,2
38.16,1
40.58,0
43,0
45.42,1
47.84,0
50.26,1
52.68,2
55.1,3
57.52,1
59.94,1
62.36,3
64.78,6
67.2,5
69.62,2
72.04,1
74.46,2
76.88,4
79.3,0
81.72,1
84.14,1
86.56,2
88.98,1
91.4,1
93.82,7
96.24,5
98.66,2
101.08,1
103.5,3
105.92,2
108.34,0
110.76,0
113.18,1
115.6,3
118.02,2
120.44,1
122.86,3
125.28,0
127.7,5
130.12,3
132.54,3
134.96,5
137.38,2
139.8,3
142.22,3
144.64,1
147.06,3
149.48,1
151.9,3
154.32,0
156.74,3
159.16,1
161.58,1
164,1
166.42,0
168.84,3
171.26,4
173.68,2
176.1,3
178.52,1
180.94,2
183.36,1
185.78,2
188.2,2
190.62,1
193.04,1
195.46,1
197.88,0
200.3,1
202.72,3
205.14,1
207.56,0
209.98,1
212.4,2
214.82,3
217.24,6
219.66,5
222.08,1
224.5,2
226.92,1
229.34,2
231.76,2
234.18,2
236.6,4
239.02,2
241.44,1
243.86,2
246.28,2
248.7,7
251.12,2
253.54,2
255.96,3
258.38,0
260.8,2
263.22,1
265.64,3
268.06,3
270.48,2
272.9,1
275.32,1
277.74,4
280.16,1
282.58,0
285,2
287.42,2
289.84,3
292.26,0
294.68,1
297.1,0
299.52,1
301.94,4
304.36,0
306.78,0
309.2,0
311.62,0
314.04,1
316.46,0
318.88,0
321.3,0
323.72,3
326.14,1
328.56,0
330.98,5
333.4,1
335.82,1
338.24,0
340.66,3
343.08,1
345.5,0
347.92,0
350.34,0
352.76,2
355.18,4
357.6,4
360.02,5
362.44,0
364.86,3
367.28,1
369.7,3
372.12,0
374.54,2
376.96,1
379.38,2
381.8,0
384.22,1
386.64,1
389.06,1
391.48,2
393.9,0
396.32,0
398.74,1
401.16,1
403.58,0
406,1
408.42,4
410.84,2
413.26,2
415.68,1
418.1,2
420.52,0
422.94,1
425.36,1
427.78,5
430.2,2
432.62,1
435.04,0
437.46,0
439.88,2
442.3,1
444.72,3
447.14,4
449.56,1
451.98,0
454.4,0
456.82,0
459.24,0
461.66,1
464.08,1
466.5,4
468.92,1
471.34,0
473.76,0
476.18,1
478.6,2
481.02,1
483.44,1
