X,ieee802154Narrow.anchor[12].appl/Number of packets from this anchor
0.82,4
3.24,4
5.66,4
8.08,5
10.5,7
12.92,7
15.34,7
17.76,8
20.18,8
22.6,9
25.02,10
27.44,10
29.86,10
32.28,11
34.7,11
37.12,11
39.54,11
41.96,11
44.38,12
46.8,13
49.22,13
51.64,13
54.06,13
56.48,14
58.9,14
61.32,14
63.74,14
66.16,14
68.58,14
71,14
73.42,14
75.84,11
78.26,11
80.68,11
83.1,11
85.52,11
87.94,11
90.36,9
92.78,9
95.2,10
97.62,9
100.04,9
102.46,9
104.88,10
107.3,10
109.72,10
112.14,10
114.56,10
116.98,10
119.4,10
121.82,10
124.24,10
126.66,10
129.08,9
131.5,9
133.92,9
136.34,9
138.76,8
141.18,8
143.6,8
146.02,6
148.44,6
150.86,6
153.28,6
155.7,6
158.12,5
160.54,5
162.96,6
165.38,7
167.8,7
170.22,7
172.64,8
175.06,8
177.48,8
179.9,8
182.32,8
184.74,9
187.16,9
189.58,10
192,10
194.42,10
196.84,12
199.26,12
201.68,12
204.1,11
206.52,11
208.94,11
211.36,10
213.78,9
216.2,8
218.62,9
221.04,9
223.46,9
225.88,9
228.3,9
230.72,9
233.14,9
235.56,9
237.98,9
240.4,9
242.82,9
245.24,8
247.66,8
250.08,8
252.5,9
254.92,9
257.34,10
259.76,10
262.18,9
264.6,8
267.02,8
269.44,9
271.86,9
274.28,9
276.7,8
279.12,10
281.54,10
283.96,10
286.38,10
288.8,10
291.22,10
293.64,10
296.06,9
298.48,9
300.9,9
303.32,9
305.74,9
308.16,9
310.58,10
313,10
315.42,10
317.84,10
320.26,12
322.68,11
325.1,12
327.52,11
329.94,11
332.36,11
334.78,10
337.2,11
339.62,11
342.04,12
344.46,13
346.88,13
349.3,12
351.72,13
354.14,13
356.56,13
358.98,12
361.4,12
363.82,12
366.24,12
368.66,12
371.08,13
373.5,13
375.92,13
378.34,13
380.76,13
383.18,12
385.6,12
388.02,12
390.44,12
392.86,12
395.28,12
397.7,13
400.12,13
402.54,13
404.96,13
407.38,13
409.8,12
412.22,11
414.64,10
417.06,9
419.48,9
421.9,9
424.32,7
426.74,6
429.16,6
431.58,6
434,6
436.42,6
438.84,5
441.26,5
443.68,5
446.1,5
448.52,5
450.94,5
453.36,5
455.78,6
458.2,6
460.62,8
463.04,8
465.46,8
467.88,8
470.3,9
472.72,9
475.14,9
477.56,10
479.98,10
482.4,10
