X,ieee802154Narrow.anchor[12].appl/Dropped Packets in AN - No ACK received
1.86,14
4.28,2
6.7,3
9.12,3
11.54,6
13.96,0
16.38,0
18.8,2
21.22,5
23.64,3
26.06,3
28.48,0
30.9,4
33.32,2
35.74,0
38.16,1
40.58,1
43,0
45.42,1
47.84,1
50.26,1
52.68,2
55.1,0
57.52,1
59.94,0
62.36,0
64.78,3
67.2,1
69.62,0
72.04,3
74.46,6
76.88,3
79.3,1
81.72,2
84.14,1
86.56,0
88.98,3
91.4,6
93.82,4
96.24,2
98.66,2
101.08,8
103.5,2
105.92,4
108.34,1
110.76,0
113.18,2
115.6,1
118.02,4
120.44,3
122.86,0
125.28,3
127.7,6
130.12,4
132.54,1
134.96,1
137.38,1
139.8,3
142.22,1
144.64,0
147.06,0
149.48,4
151.9,0
154.32,2
156.74,1
159.16,3
161.58,1
164,0
166.42,3
168.84,1
171.26,2
173.68,0
176.1,2
178.52,2
180.94,1
183.36,0
185.78,0
188.2,2
190.62,1
193.04,2
195.46,0
197.88,2
200.3,0
202.72,0
205.14,0
207.56,1
209.98,1
212.4,1
214.82,3
217.24,3
219.66,1
222.08,1
224.5,1
226.92,0
229.34,1
231.76,0
234.18,3
236.6,2
239.02,3
241.44,0
243.86,6
246.28,1
248.7,2
251.12,1
253.54,1
255.96,2
258.38,1
260.8,4
263.22,2
265.64,1
268.06,3
270.48,2
272.9,1
275.32,1
277.74,0
280.16,0
282.58,0
285,2
287.42,0
289.84,1
292.26,1
294.68,2
297.1,2
299.52,2
301.94,1
304.36,0
306.78,2
309.2,4
311.62,3
314.04,2
316.46,0
318.88,1
321.3,0
323.72,1
326.14,2
328.56,1
330.98,1
333.4,0
335.82,0
338.24,1
340.66,0
343.08,4
345.5,1
347.92,2
350.34,4
352.76,1
355.18,4
357.6,4
360.02,1
362.44,1
364.86,1
367.28,2
369.7,2
372.12,0
374.54,0
376.96,1
379.38,0
381.8,0
384.22,0
386.64,1
389.06,0
391.48,0
393.9,1
396.32,0
398.74,4
401.16,1
403.58,1
406,4
408.42,1
410.84,1
413.26,1
415.68,7
418.1,1
420.52,4
422.94,5
425.36,4
427.78,2
430.2,1
432.62,2
435.04,0
437.46,2
439.88,3
442.3,0
444.72,2
447.14,3
449.56,2
451.98,1
454.4,0
456.82,0
459.24,0
461.66,0
464.08,1
466.5,4
468.92,3
471.34,1
473.76,2
476.18,8
478.6,5
481.02,4
483.44,2
