X,ieee802154Narrow.computer[0].appl/Number of packets sent from mobile node 0
1.86,7
4.28,8
6.7,8
9.12,8
11.54,9
13.96,7
16.38,8
18.8,7
21.22,6
23.64,7
26.06,7
28.48,5
30.9,7
33.32,6
35.74,6
38.16,5
40.58,6
43,6
45.42,6
47.84,6
50.26,6
52.68,6
55.1,7
57.52,6
59.94,6
62.36,7
64.78,7
67.2,6
69.62,7
72.04,7
74.46,8
76.88,7
79.3,6
81.72,7
84.14,7
86.56,7
88.98,6
91.4,6
93.82,6
96.24,6
98.66,6
101.08,6
103.5,6
105.92,6
108.34,4
110.76,4
113.18,6
115.6,6
118.02,6
120.44,6
122.86,6
125.28,5
127.7,4
130.12,5
132.54,5
134.96,4
137.38,4
139.8,5
142.22,4
144.64,5
147.06,6
149.48,6
151.9,6
154.32,6
156.74,6
159.16,6
161.58,6
164,6
166.42,6
168.84,6
171.26,6
173.68,4
176.1,5
178.52,4
180.94,4
183.36,5
185.78,5
188.2,6
190.62,6
193.04,6
195.46,6
197.88,6
200.3,6
202.72,6
205.14,6
207.56,6
209.98,6
212.4,6
214.82,6
217.24,6
219.66,5
222.08,4
224.5,4
226.92,4
229.34,4
231.76,4
234.18,4
236.6,4
239.02,6
241.44,7
243.86,7
246.28,6
248.7,7
251.12,6
253.54,7
255.96,7
258.38,7
260.8,6
263.22,7
265.64,7
268.06,7
270.48,7
272.9,7
275.32,7
277.74,5
280.16,7
282.58,7
285,7
287.42,7
289.84,7
292.26,7
294.68,7
297.1,8
299.52,9
301.94,8
304.36,8
306.78,8
309.2,7
311.62,7
314.04,7
316.46,7
318.88,7
321.3,6
323.72,6
326.14,7
328.56,7
330.98,7
333.4,7
335.82,7
338.24,7
340.66,7
343.08,7
345.5,7
347.92,7
350.34,7
352.76,7
355.18,7
357.6,6
360.02,6
362.44,6
364.86,6
367.28,4
369.7,4
372.12,5
374.54,5
376.96,5
379.38,6
381.8,7
384.22,7
386.64,7
389.06,7
391.48,6
393.9,7
396.32,7
398.74,7
401.16,7
403.58,7
406,7
408.42,7
410.84,7
413.26,7
415.68,7
418.1,6
420.52,7
422.94,7
425.36,7
427.78,8
430.2,8
432.62,7
435.04,7
437.46,7
439.88,6
442.3,7
444.72,7
447.14,8
449.56,7
451.98,7
454.4,7
456.82,7
459.24,6
461.66,7
464.08,7
466.5,7
468.92,7
471.34,8
473.76,8
476.18,7
478.6,7
481.02,7
483.44,7
