X,ieee802154Narrow.computer[0].appl/received-packets-per-period
1.86,79
4.28,80
6.7,85
9.12,85
11.54,84
13.96,88
16.38,84
18.8,84
21.22,85
23.64,83
26.06,82
28.48,83
30.9,85
33.32,89
35.74,88
38.16,88
40.58,85
43,96
45.42,94
47.84,92
50.26,92
52.68,90
55.1,96
57.52,90
59.94,97
62.36,98
64.78,98
67.2,92
69.62,91
72.04,96
74.46,95
76.88,96
79.3,99
81.72,93
84.14,93
86.56,95
88.98,94
91.4,99
93.82,94
96.24,93
98.66,95
101.08,88
103.5,95
105.92,93
108.34,90
110.76,91
113.18,94
115.6,92
118.02,88
120.44,89
122.86,89
125.28,86
127.7,91
130.12,90
132.54,92
134.96,90
137.38,94
139.8,92
142.22,99
144.64,97
147.06,100
149.48,96
151.9,94
154.32,97
156.74,99
159.16,102
161.58,101
164,100
166.42,99
168.84,98
171.26,96
173.68,99
176.1,96
178.52,96
180.94,99
183.36,98
185.78,97
188.2,97
190.62,101
193.04,104
195.46,101
197.88,99
200.3,103
202.72,97
205.14,97
207.56,96
209.98,90
212.4,94
214.82,93
217.24,94
219.66,97
222.08,98
224.5,98
226.92,93
229.34,97
231.76,97
234.18,102
236.6,101
239.02,102
241.44,103
243.86,104
246.28,99
248.7,100
251.12,98
253.54,105
255.96,98
258.38,100
260.8,96
263.22,102
265.64,97
268.06,102
270.48,98
272.9,101
275.32,104
277.74,99
280.16,97
282.58,100
285,98
287.42,99
289.84,101
292.26,104
294.68,101
297.1,102
299.52,101
301.94,107
304.36,108
306.78,104
309.2,105
311.62,109
314.04,108
316.46,106
318.88,105
321.3,103
323.72,99
326.14,98
328.56,96
330.98,98
333.4,101
335.82,109
338.24,104
340.66,105
343.08,104
345.5,99
347.92,101
350.34,97
352.76,101
355.18,102
357.6,101
360.02,101
362.44,105
364.86,106
367.28,105
369.7,105
372.12,106
374.54,99
376.96,101
379.38,100
381.8,99
384.22,102
386.64,100
389.06,103
391.48,101
393.9,100
396.32,98
398.74,94
401.16,95
403.58,89
406,92
408.42,93
410.84,96
413.26,95
415.68,94
418.1,93
420.52,96
422.94,100
425.36,99
427.78,98
430.2,100
432.62,101
435.04,100
437.46,96
439.88,95
442.3,92
444.72,93
447.14,94
449.56,93
451.98,95
454.4,98
456.82,99
459.24,102
461.66,100
464.08,101
466.5,99
468.92,97
471.34,98
473.76,105
476.18,98
478.6,98
481.02,96
483.44,94
