X,ieee802154Narrow.anchor[12].appl/Dropped Packets in AN - No ACK received
1.86,11
4.28,6
6.7,7
9.12,3
11.54,1
13.96,0
16.38,2
18.8,5
21.22,2
23.64,2
26.06,0
28.48,1
30.9,1
33.32,2
35.74,1
38.16,3
40.58,0
43,0
45.42,0
47.84,1
50.26,3
52.68,1
55.1,1
57.52,2
59.94,4
62.36,1
64.78,1
67.2,6
69.62,2
72.04,1
74.46,5
76.88,2
79.3,3
81.72,0
84.14,0
86.56,0
88.98,3
91.4,0
93.82,1
96.24,1
98.66,0
101.08,6
103.5,0
105.92,2
108.34,7
110.76,6
113.18,1
115.6,0
118.02,1
120.44,2
122.86,2
125.28,2
127.7,3
130.12,2
132.54,4
134.96,7
137.38,2
139.8,8
142.22,3
144.64,1
147.06,0
149.48,0
151.9,0
154.32,1
156.74,2
159.16,3
161.58,2
164,0
166.42,0
168.84,4
171.26,5
173.68,0
176.1,0
178.52,1
180.94,1
183.36,0
185.78,0
188.2,5
190.62,2
193.04,1
195.46,1
197.88,2
200.3,0
202.72,1
205.14,1
207.56,0
209.98,1
212.4,3
214.82,1
217.24,2
219.66,2
222.08,1
224.5,2
226.92,5
229.34,2
231.76,0
234.18,1
236.6,1
239.02,3
241.44,5
243.86,1
246.28,2
248.7,0
251.12,0
253.54,3
255.96,2
258.38,3
260.8,0
263.22,1
265.64,4
268.06,3
270.48,3
272.9,0
275.32,1
277.74,1
280.16,2
282.58,1
285,2
287.42,0
289.84,3
292.26,1
294.68,0
297.1,0
299.52,4
301.94,4
304.36,1
306.78,0
309.2,0
311.62,1
314.04,1
316.46,6
318.88,2
321.3,2
323.72,6
326.14,1
328.56,1
330.98,0
333.4,2
335.82,1
338.24,3
340.66,4
343.08,1
345.5,0
347.92,1
350.34,0
352.76,0
355.18,1
357.6,2
360.02,2
362.44,0
364.86,1
367.28,0
369.7,0
372.12,0
374.54,7
376.96,0
379.38,2
381.8,0
384.22,1
386.64,1
389.06,0
391.48,2
393.9,1
396.32,0
398.74,2
401.16,0
403.58,0
406,0
408.42,4
410.84,0
413.26,0
415.68,1
418.1,3
420.52,2
422.94,4
425.36,1
427.78,5
430.2,3
432.62,2
435.04,2
437.46,2
439.88,1
442.3,1
444.72,2
447.14,3
449.56,3
451.98,3
454.4,3
456.82,3
459.24,1
461.66,1
464.08,1
466.5,2
468.92,2
471.34,3
473.76,1
476.18,0
478.6,1
481.02,0
483.44,2
