X,ieee802154Narrow.computer[0].appl/received-packets-per-period
1.86,83
4.28,83
6.7,86
9.12,85
11.54,90
13.96,90
16.38,94
18.8,95
21.22,93
23.64,95
26.06,97
28.48,100
30.9,98
33.32,97
35.74,99
38.16,104
40.58,103
43,106
45.42,100
47.84,101
50.26,103
52.68,102
55.1,101
57.52,101
59.94,102
62.36,97
64.78,96
67.2,95
69.62,96
72.04,101
74.46,104
76.88,105
79.3,103
81.72,102
84.14,99
86.56,104
88.98,110
91.4,106
93.82,108
96.24,105
98.66,106
101.08,102
103.5,100
105.92,101
108.34,98
110.76,93
113.18,97
115.6,99
118.02,101
120.44,101
122.86,101
125.28,101
127.7,102
130.12,103
132.54,106
134.96,103
137.38,98
139.8,99
142.22,103
144.64,103
147.06,107
149.48,104
151.9,99
154.32,98
156.74,98
159.16,95
161.58,97
164,100
166.42,98
168.84,95
171.26,100
173.68,102
176.1,104
178.52,108
180.94,105
183.36,107
185.78,102
188.2,107
190.62,103
193.04,103
195.46,100
197.88,100
200.3,100
202.72,98
205.14,100
207.56,105
209.98,100
212.4,103
214.82,98
217.24,99
219.66,97
222.08,99
224.5,96
226.92,108
229.34,107
231.76,107
234.18,108
236.6,114
239.02,106
241.44,105
243.86,106
246.28,104
248.7,110
251.12,106
253.54,107
255.96,104
258.38,101
260.8,100
263.22,102
265.64,101
268.06,99
270.48,100
272.9,104
275.32,108
277.74,109
280.16,105
282.58,108
285,106
287.42,104
289.84,104
292.26,101
294.68,100
297.1,103
299.52,104
301.94,111
304.36,101
306.78,105
309.2,100
311.62,105
314.04,97
316.46,102
318.88,103
321.3,99
323.72,101
326.14,101
328.56,104
330.98,103
333.4,104
335.82,100
338.24,103
340.66,100
343.08,106
345.5,106
347.92,103
350.34,109
352.76,98
355.18,95
357.6,98
360.02,102
362.44,106
364.86,107
367.28,105
369.7,110
372.12,110
374.54,104
376.96,104
379.38,107
381.8,102
384.22,104
386.64,102
389.06,108
391.48,105
393.9,109
396.32,108
398.74,104
401.16,101
403.58,100
406,99
408.42,104
410.84,100
413.26,107
415.68,101
418.1,105
420.52,100
422.94,102
425.36,98
427.78,103
430.2,106
432.62,104
435.04,104
437.46,103
439.88,98
442.3,105
444.72,104
447.14,112
449.56,107
451.98,104
454.4,108
456.82,102
459.24,101
461.66,98
464.08,99
466.5,101
468.92,105
471.34,99
473.76,101
476.18,99
478.6,96
481.02,94
483.44,99
