X,ieee802154Narrow.anchor[16].appl/Number of AN Reports with ACK
1.86,8
4.28,11
6.7,10
9.12,11
11.54,11
13.96,9
16.38,13
18.8,12
21.22,13
23.64,11
26.06,14
28.48,12
30.9,12
33.32,12
35.74,12
38.16,12
40.58,12
43,11
45.42,11
47.84,11
50.26,10
52.68,11
55.1,11
57.52,11
59.94,12
62.36,12
64.78,12
67.2,12
69.62,12
72.04,11
74.46,11
76.88,10
79.3,11
81.72,12
84.14,11
86.56,11
88.98,11
91.4,11
93.82,11
96.24,10
98.66,10
101.08,10
103.5,10
105.92,10
108.34,10
110.76,10
113.18,11
115.6,10
118.02,10
120.44,10
122.86,11
125.28,11
127.7,12
130.12,13
132.54,13
134.96,13
137.38,13
139.8,13
142.22,14
144.64,13
147.06,13
149.48,13
151.9,12
154.32,12
156.74,12
159.16,11
161.58,11
164,11
166.42,10
168.84,12
171.26,10
173.68,10
176.1,8
178.52,8
180.94,9
183.36,9
185.78,9
188.2,11
190.62,12
193.04,12
195.46,13
197.88,13
200.3,13
202.72,13
205.14,14
207.56,14
209.98,14
212.4,13
214.82,13
217.24,13
219.66,13
222.08,12
224.5,12
226.92,12
229.34,11
231.76,11
234.18,11
236.6,11
239.02,11
241.44,11
243.86,11
246.28,11
248.7,9
251.12,9
253.54,8
255.96,7
258.38,7
260.8,7
263.22,7
265.64,7
268.06,8
270.48,9
272.9,9
275.32,10
277.74,10
280.16,10
282.58,9
285,9
287.42,9
289.84,9
292.26,9
294.68,8
297.1,8
299.52,8
301.94,9
304.36,9
306.78,9
309.2,8
311.62,8
314.04,8
316.46,9
318.88,9
321.3,9
323.72,8
326.14,7
328.56,7
330.98,7
333.4,7
335.82,7
338.24,7
340.66,7
343.08,7
345.5,7
347.92,7
350.34,7
352.76,7
355.18,7
357.6,8
360.02,8
362.44,9
364.86,9
367.28,8
369.7,8
372.12,8
374.54,8
376.96,7
379.38,7
381.8,7
384.22,7
386.64,7
389.06,7
391.48,8
393.9,9
396.32,9
398.74,8
401.16,9
403.58,9
406,9
408.42,10
410.84,10
413.26,10
415.68,10
418.1,9
420.52,11
422.94,11
425.36,12
427.78,11
430.2,11
432.62,12
435.04,11
437.46,11
439.88,11
442.3,9
444.72,11
447.14,10
449.56,10
451.98,10
454.4,10
456.82,10
459.24,10
461.66,10
464.08,9
466.5,10
468.92,10
471.34,11
473.76,11
476.18,10
478.6,10
481.02,10
483.44,10
