X,ieee802154Narrow.computer[0].appl/received-packets-per-period
1.86,88
4.28,83
6.7,84
9.12,92
11.54,88
13.96,94
16.38,91
18.8,93
21.22,96
23.64,99
26.06,92
28.48,93
30.9,93
33.32,92
35.74,94
38.16,93
40.58,90
43,91
45.42,90
47.84,87
50.26,85
52.68,79
55.1,81
57.52,81
59.94,78
62.36,83
64.78,87
67.2,84
69.62,94
72.04,90
74.46,86
76.88,85
79.3,84
81.72,84
84.14,85
86.56,84
88.98,80
91.4,82
93.82,84
96.24,84
98.66,86
101.08,87
103.5,90
105.92,89
108.34,80
110.76,81
113.18,78
115.6,85
118.02,84
120.44,88
122.86,90
125.28,91
127.7,86
130.12,86
132.54,89
134.96,88
137.38,86
139.8,86
142.22,85
144.64,84
147.06,86
149.48,86
151.9,85
154.32,86
156.74,86
159.16,86
161.58,85
164,83
166.42,86
168.84,85
171.26,88
173.68,86
176.1,89
178.52,91
180.94,100
183.36,99
185.78,91
188.2,90
190.62,87
193.04,91
195.46,90
197.88,90
200.3,89
202.72,83
205.14,90
207.56,89
209.98,99
212.4,90
214.82,95
217.24,92
219.66,97
222.08,100
224.5,93
226.92,94
229.34,96
231.76,91
234.18,92
236.6,90
239.02,91
241.44,88
243.86,92
246.28,95
248.7,91
251.12,87
253.54,86
255.96,95
258.38,96
260.8,96
263.22,94
265.64,94
268.06,93
270.48,94
272.9,92
275.32,97
277.74,92
280.16,88
282.58,93
285,91
287.42,92
289.84,91
292.26,90
294.68,90
297.1,91
299.52,92
301.94,91
304.36,95
306.78,91
309.2,89
311.62,87
314.04,90
316.46,88
318.88,90
321.3,90
323.72,96
326.14,95
328.56,95
330.98,92
333.4,89
335.82,91
338.24,96
340.66,89
343.08,90
345.5,97
347.92,98
350.34,97
352.76,96
355.18,97
357.6,95
360.02,96
362.44,95
364.86,96
367.28,91
369.7,95
372.12,97
374.54,97
376.96,98
379.38,103
381.8,104
384.22,99
386.64,98
389.06,105
391.48,102
393.9,111
396.32,111
398.74,110
401.16,111
403.58,107
406,104
408.42,102
410.84,102
413.26,102
415.68,103
418.1,103
420.52,106
422.94,102
425.36,102
427.78,94
430.2,91
432.62,89
435.04,92
437.46,95
439.88,97
442.3,94
444.72,92
447.14,94
449.56,95
451.98,95
454.4,93
456.82,95
459.24,102
461.66,97
464.08,99
466.5,102
468.92,102
471.34,99
473.76,99
476.18,101
478.6,105
481.02,104
483.44,101
