X,ieee802154Narrow.anchor[16].appl/Dropped Packets in AN - Max MAC BackOff tries
1.86,2
4.28,0
6.7,0
9.12,0
11.54,0
13.96,0
16.38,0
18.8,0
21.22,0
23.64,0
26.06,0
28.48,0
30.9,0
33.32,0
35.74,0
38.16,0
40.58,0
43,0
45.42,0
47.84,0
50.26,0
52.68,1
55.1,0
57.52,0
59.94,2
62.36,1
64.78,2
67.2,1
69.62,1
72.04,2
74.46,1
76.88,0
79.3,1
81.72,1
84.14,4
86.56,4
88.98,1
91.4,1
93.82,0
96.24,0
98.66,1
101.08,0
103.5,0
105.92,0
108.34,2
110.76,0
113.18,0
115.6,1
118.02,2
120.44,2
122.86,1
125.28,3
127.7,5
130.12,1
132.54,0
134.96,1
137.38,0
139.8,2
142.22,0
144.64,0
147.06,5
149.48,5
151.9,1
154.32,2
156.74,2
159.16,5
161.58,3
164,6
166.42,8
168.84,5
171.26,6
173.68,0
176.1,1
178.52,4
180.94,4
183.36,4
185.78,4
188.2,4
190.62,3
193.04,0
195.46,1
197.88,0
200.3,1
202.72,1
205.14,1
207.56,1
209.98,0
212.4,3
214.82,1
217.24,1
219.66,2
222.08,2
224.5,0
226.92,2
229.34,4
231.76,3
234.18,0
236.6,0
239.02,0
241.44,0
243.86,0
246.28,1
248.7,0
251.12,0
253.54,0
255.96,0
258.38,0
260.8,0
263.22,0
265.64,0
268.06,0
270.48,1
272.9,0
275.32,0
277.74,1
280.16,0
282.58,1
285,1
287.42,0
289.84,1
292.26,0
294.68,0
297.1,2
299.52,11
301.94,3
304.36,3
306.78,2
309.2,0
311.62,1
314.04,0
316.46,1
318.88,1
321.3,0
323.72,0
326.14,1
328.56,0
330.98,0
333.4,1
335.82,3
338.24,0
340.66,0
343.08,0
345.5,3
347.92,0
350.34,0
352.76,2
355.18,0
357.6,0
360.02,0
362.44,0
364.86,1
367.28,3
369.7,0
372.12,2
374.54,0
376.96,0
379.38,0
381.8,0
384.22,0
386.64,0
389.06,0
391.48,0
393.9,0
396.32,0
398.74,0
401.16,0
403.58,0
406,0
408.42,0
410.84,0
413.26,0
415.68,0
418.1,0
420.52,0
422.94,0
425.36,0
427.78,0
430.2,0
432.62,0
435.04,0
437.46,0
439.88,0
442.3,0
444.72,0
447.14,0
449.56,0
451.98,0
454.4,0
456.82,0
459.24,0
461.66,0
464.08,0
466.5,0
468.92,0
471.34,0
473.76,0
476.18,0
478.6,0
481.02,0
483.44,0
