X,ieee802154Narrow.computer[0].appl/Number of packets sent from mobile node 0
1.86,6
4.28,6
6.7,4
9.12,7
11.54,7
13.96,8
16.38,7
18.8,7
21.22,7
23.64,6
26.06,7
28.48,7
30.9,6
33.32,6
35.74,6
38.16,4
40.58,4
43,4
45.42,4
47.84,4
50.26,6
52.68,7
55.1,7
57.52,7
59.94,7
62.36,7
64.78,8
67.2,5
69.62,8
72.04,8
74.46,8
76.88,7
79.3,7
81.72,7
84.14,6
86.56,7
88.98,7
91.4,7
93.82,7
96.24,7
98.66,6
101.08,6
103.5,5
105.92,5
108.34,6
110.76,6
113.18,7
115.6,7
118.02,7
120.44,6
122.86,7
125.28,7
127.7,7
130.12,7
132.54,7
134.96,8
137.38,8
139.8,7
142.22,7
144.64,7
147.06,7
149.48,7
151.9,7
154.32,7
156.74,7
159.16,7
161.58,7
164,7
166.42,7
168.84,7
171.26,7
173.68,7
176.1,8
178.52,7
180.94,7
183.36,7
185.78,7
188.2,7
190.62,7
193.04,7
195.46,7
197.88,7
200.3,7
202.72,6
205.14,3
207.56,4
209.98,4
212.4,5
214.82,7
217.24,7
219.66,7
222.08,7
224.5,8
226.92,8
229.34,8
231.76,8
234.18,8
236.6,8
239.02,9
241.44,8
243.86,8
246.28,8
248.7,8
251.12,7
253.54,7
255.96,7
258.38,7
260.8,7
263.22,7
265.64,6
268.06,5
270.48,4
272.9,6
275.32,6
277.74,6
280.16,7
282.58,7
285,7
287.42,7
289.84,7
292.26,7
294.68,7
297.1,6
299.52,8
301.94,8
304.36,7
306.78,6
309.2,7
311.62,7
314.04,6
316.46,6
318.88,7
321.3,6
323.72,6
326.14,6
328.56,6
330.98,6
333.4,5
335.82,5
338.24,5
340.66,5
343.08,5
345.5,5
347.92,4
350.34,4
352.76,4
355.18,4
357.6,4
360.02,6
362.44,6
364.86,6
367.28,6
369.7,6
372.12,6
374.54,6
376.96,6
379.38,6
381.8,6
384.22,6
386.64,6
389.06,5
391.48,5
393.9,5
396.32,5
398.74,5
401.16,5
403.58,4
406,4
408.42,4
410.84,4
413.26,4
415.68,4
418.1,4
420.52,4
422.94,6
425.36,6
427.78,6
430.2,6
432.62,6
435.04,6
437.46,6
439.88,6
442.3,7
444.72,6
447.14,6
449.56,6
451.98,6
454.4,6
456.82,5
459.24,4
461.66,4
464.08,4
466.5,6
468.92,7
471.34,7
473.76,7
476.18,7
478.6,7
481.02,7
483.44,7
