X,ieee802154Narrow.computer[0].appl/Number of packets sent from anchor 12
1.86,5
4.28,6
6.7,6
9.12,6
11.54,6
13.96,6
16.38,6
18.8,7
21.22,7
23.64,7
26.06,7
28.48,8
30.9,9
33.32,10
35.74,12
38.16,12
40.58,13
43,13
45.42,13
47.84,13
50.26,13
52.68,13
55.1,13
57.52,13
59.94,13
62.36,13
64.78,13
67.2,11
69.62,12
72.04,12
74.46,12
76.88,12
79.3,12
81.72,11
84.14,11
86.56,11
88.98,10
91.4,11
93.82,11
96.24,11
98.66,11
101.08,11
103.5,11
105.92,11
108.34,11
110.76,10
113.18,10
115.6,10
118.02,10
120.44,10
122.86,11
125.28,11
127.7,11
130.12,10
132.54,10
134.96,10
137.38,10
139.8,10
142.22,12
144.64,10
147.06,9
149.48,8
151.9,10
154.32,10
156.74,11
159.16,9
161.58,8
164,9
166.42,9
168.84,9
171.26,8
173.68,8
176.1,8
178.52,8
180.94,8
183.36,8
185.78,8
188.2,7
190.62,7
193.04,8
195.46,10
197.88,10
200.3,11
202.72,11
205.14,11
207.56,11
209.98,11
212.4,11
214.82,11
217.24,9
219.66,9
222.08,10
224.5,10
226.92,11
229.34,11
231.76,11
234.18,11
236.6,11
239.02,11
241.44,11
243.86,10
246.28,10
248.7,9
251.12,9
253.54,9
255.96,9
258.38,10
260.8,10
263.22,10
265.64,10
268.06,10
270.48,10
272.9,9
275.32,8
277.74,8
280.16,8
282.58,8
285,8
287.42,8
289.84,8
292.26,8
294.68,8
297.1,8
299.52,8
301.94,8
304.36,8
306.78,8
309.2,8
311.62,8
314.04,7
316.46,7
318.88,7
321.3,7
323.72,7
326.14,7
328.56,8
330.98,8
333.4,8
335.82,8
338.24,8
340.66,8
343.08,8
345.5,9
347.92,9
350.34,9
352.76,9
355.18,9
357.6,9
360.02,8
362.44,8
364.86,8
367.28,8
369.7,8
372.12,8
374.54,8
376.96,9
379.38,9
381.8,9
384.22,9
386.64,9
389.06,9
391.48,9
393.9,9
396.32,11
398.74,12
401.16,11
403.58,12
406,12
408.42,12
410.84,12
413.26,12
415.68,12
418.1,12
420.52,12
422.94,12
425.36,12
427.78,12
430.2,12
432.62,11
435.04,11
437.46,11
439.88,11
442.3,11
444.72,10
447.14,12
449.56,12
451.98,11
454.4,11
456.82,12
459.24,12
461.66,12
464.08,12
466.5,12
468.92,11
471.34,10
473.76,10
476.18,10
478.6,10
481.02,12
483.44,11
