X,ieee802154Narrow.computer[0].appl/Number of packets sent from anchor 12
1.86,6
4.28,6
6.7,6
9.12,7
11.54,7
13.96,7
16.38,8
18.8,9
21.22,8
23.64,9
26.06,9
28.48,9
30.9,11
33.32,12
35.74,11
38.16,11
40.58,13
43,13
45.42,13
47.84,13
50.26,13
52.68,12
55.1,13
57.52,13
59.94,13
62.36,13
64.78,13
67.2,13
69.62,13
72.04,13
74.46,13
76.88,13
79.3,12
81.72,11
84.14,11
86.56,11
88.98,10
91.4,10
93.82,9
96.24,9
98.66,9
101.08,10
103.5,11
105.92,11
108.34,11
110.76,10
113.18,11
115.6,11
118.02,11
120.44,11
122.86,11
125.28,11
127.7,11
130.12,9
132.54,9
134.96,9
137.38,9
139.8,10
142.22,10
144.64,9
147.06,9
149.48,8
151.9,8
154.32,7
156.74,7
159.16,6
161.58,5
164,5
166.42,8
168.84,8
171.26,8
173.68,8
176.1,7
178.52,8
180.94,8
183.36,8
185.78,8
188.2,8
190.62,9
193.04,9
195.46,9
197.88,9
200.3,9
202.72,9
205.14,9
207.56,9
209.98,9
212.4,10
214.82,10
217.24,10
219.66,10
222.08,10
224.5,11
226.92,13
229.34,12
231.76,11
234.18,12
236.6,12
239.02,13
241.44,13
243.86,13
246.28,13
248.7,13
251.12,12
253.54,12
255.96,12
258.38,12
260.8,12
263.22,12
265.64,11
268.06,11
270.48,11
272.9,11
275.32,11
277.74,12
280.16,12
282.58,11
285,11
287.42,9
289.84,9
292.26,9
294.68,9
297.1,9
299.52,9
301.94,9
304.36,8
306.78,9
309.2,10
311.62,10
314.04,10
316.46,10
318.88,10
321.3,10
323.72,11
326.14,11
328.56,11
330.98,11
333.4,11
335.82,10
338.24,11
340.66,11
343.08,10
345.5,10
347.92,10
350.34,10
352.76,10
355.18,10
357.6,10
360.02,11
362.44,11
364.86,11
367.28,11
369.7,10
372.12,11
374.54,11
376.96,12
379.38,13
381.8,12
384.22,12
386.64,12
389.06,12
391.48,12
393.9,12
396.32,11
398.74,11
401.16,11
403.58,11
406,11
408.42,10
410.84,10
413.26,11
415.68,11
418.1,11
420.52,11
422.94,11
425.36,11
427.78,12
430.2,12
432.62,12
435.04,12
437.46,11
439.88,11
442.3,11
444.72,12
447.14,12
449.56,9
451.98,9
454.4,10
456.82,10
459.24,10
461.66,10
464.08,9
466.5,10
468.92,10
471.34,10
473.76,11
476.18,11
478.6,11
481.02,10
483.44,11
