X,ieee802154Narrow.anchor[16].appl/Number of packets from this anchor
0.82,4
3.24,4
5.66,3
8.08,3
10.5,3
12.92,3
15.34,4
17.76,4
20.18,4
22.6,4
25.02,4
27.44,4
29.86,4
32.28,4
34.7,4
37.12,5
39.54,6
41.96,6
44.38,5
46.8,5
49.22,5
51.64,5
54.06,5
56.48,5
58.9,6
61.32,6
63.74,7
66.16,7
68.58,6
71,6
73.42,6
75.84,5
78.26,5
80.68,5
83.1,5
85.52,4
87.94,4
90.36,4
92.78,4
95.2,4
97.62,3
100.04,2
102.46,2
104.88,2
107.3,4
109.72,4
112.14,3
114.56,3
116.98,4
119.4,4
121.82,4
124.24,4
126.66,5
129.08,5
131.5,5
133.92,5
136.34,4
138.76,4
141.18,4
143.6,4
146.02,4
148.44,4
150.86,4
153.28,5
155.7,5
158.12,5
160.54,5
162.96,5
165.38,5
167.8,5
170.22,5
172.64,4
175.06,4
177.48,4
179.9,4
182.32,4
184.74,4
187.16,4
189.58,4
192,3
194.42,3
196.84,4
199.26,3
201.68,3
204.1,3
206.52,3
208.94,3
211.36,3
213.78,3
216.2,3
218.62,3
221.04,3
223.46,4
225.88,4
228.3,4
230.72,4
233.14,4
235.56,4
237.98,4
240.4,4
242.82,4
245.24,4
247.66,5
250.08,5
252.5,5
254.92,5
257.34,5
259.76,5
262.18,5
264.6,6
267.02,6
269.44,5
271.86,5
274.28,5
276.7,5
279.12,4
281.54,4
283.96,4
286.38,4
288.8,4
291.22,4
293.64,5
296.06,5
298.48,5
300.9,5
303.32,5
305.74,5
308.16,5
310.58,5
313,5
315.42,6
317.84,6
320.26,7
322.68,8
325.1,8
327.52,8
329.94,8
332.36,8
334.78,8
337.2,7
339.62,7
342.04,7
344.46,7
346.88,7
349.3,7
351.72,7
354.14,7
356.56,7
358.98,7
361.4,7
363.82,7
366.24,7
368.66,7
371.08,7
373.5,7
375.92,7
378.34,7
380.76,7
383.18,7
385.6,8
388.02,8
390.44,8
392.86,8
395.28,7
397.7,7
400.12,7
402.54,8
404.96,8
407.38,8
409.8,8
412.22,8
414.64,8
417.06,8
419.48,9
421.9,9
424.32,7
426.74,7
429.16,7
431.58,7
434,6
436.42,6
438.84,6
441.26,6
443.68,6
446.1,5
448.52,5
450.94,5
453.36,5
455.78,5
458.2,5
460.62,5
463.04,5
465.46,6
467.88,6
470.3,6
472.72,7
475.14,8
477.56,8
479.98,8
482.4,8
