X,ieee802154Narrow.anchor[12].appl/Effectiveness in each anchor
1.86,1
4.28,0.99
6.7,0.94634
9.12,0.926998
11.54,0.892892
13.96,0.861697
16.38,0.858229
18.8,0.83256
21.22,0.792099
23.64,0.801033
26.06,0.752012
28.48,0.750406
30.9,0.806851
33.32,0.817671
35.74,0.889181
38.16,0.877596
40.58,0.84206
43,0.826721
45.42,0.826898
47.84,0.859646
50.26,0.904582
52.68,0.904923
55.1,0.897516
57.52,0.91969
59.94,0.915554
62.36,0.951224
64.78,0.985335
67.2,0.977209
69.62,0.988053
72.04,0.963189
74.46,0.954479
76.88,0.96622
79.3,0.957595
81.72,0.982299
84.14,0.991228
86.56,0.991228
88.98,1
91.4,1
93.82,0.995283
96.24,0.987743
98.66,0.972663
101.08,0.964636
103.5,0.969208
105.92,0.976784
108.34,0.968498
110.76,0.976562
113.18,0.968498
115.6,0.960433
118.02,0.983871
120.44,0.983871
122.86,0.991935
125.28,0.983871
127.7,0.954459
130.12,0.947106
132.54,0.947106
134.96,0.951457
137.38,0.976171
139.8,0.97886
142.22,0.967796
144.64,0.975098
147.06,0.975181
149.48,0.97978
151.9,0.990909
154.32,0.990738
156.74,0.995283
159.16,0.988558
161.58,0.988558
164,0.988887
166.42,0.975092
168.84,0.97718
171.26,0.97718
173.68,0.97718
176.1,0.991069
178.52,0.99115
180.94,0.986983
183.36,0.987202
185.78,0.987202
188.2,0.991667
190.62,0.989282
193.04,0.984707
195.46,0.97476
197.88,0.970713
200.3,0.951857
202.72,0.943539
205.14,0.936083
207.56,0.918046
209.98,0.936982
212.4,0.898742
214.82,0.848883
217.24,0.828731
219.66,0.801203
222.08,0.786642
224.5,0.814136
226.92,0.811936
229.34,0.8063
231.76,0.857924
234.18,0.892378
236.6,0.913953
239.02,0.917089
241.44,0.927213
243.86,0.919392
246.28,0.935346
248.7,0.939497
251.12,0.945567
253.54,0.928478
255.96,0.915791
258.38,0.920868
260.8,0.901971
263.22,0.863297
265.64,0.855791
268.06,0.87358
270.48,0.892316
272.9,0.962907
275.32,0.991228
277.74,1
280.16,1
282.58,1
285,1
287.42,1
289.84,1
292.26,1
294.68,1
297.1,1
299.52,0.995192
301.94,0.990192
304.36,0.985475
306.78,0.980668
309.2,0.985475
311.62,0.990475
314.04,0.995192
316.46,1
318.88,1
321.3,1
323.72,1
326.14,1
328.56,1
330.98,1
333.4,1
335.82,1
338.24,0.994898
340.66,0.994898
343.08,0.994898
345.5,0.985332
347.92,0.990385
350.34,0.990385
352.76,0.990385
355.18,1
357.6,1
360.02,1
362.44,0.995614
364.86,0.995614
367.28,0.995614
369.7,0.995614
372.12,1
374.54,0.99569
376.96,0.99569
379.38,0.99569
381.8,0.99569
384.22,1
386.64,1
389.06,1
391.48,1
393.9,1
396.32,1
398.74,1
401.16,1
403.58,1
406,0.996032
408.42,0.991933
410.84,0.991933
413.26,0.991933
415.68,0.991995
418.1,0.992306
420.52,0.965791
422.94,0.954072
425.36,0.94644
427.78,0.942415
430.2,0.964962
432.62,0.968744
435.04,0.97625
437.46,0.980031
439.88,0.979967
442.3,0.983805
444.72,0.98367
447.14,0.983238
449.56,0.97818
451.98,0.982278
454.4,0.986445
456.82,0.990909
459.24,0.995098
461.66,0.995098
464.08,0.985839
466.5,0.959071
468.92,0.963861
471.34,0.950535
473.76,0.959583
476.18,0.981556
478.6,0.981556
481.02,0.995192
483.44,0.995192
