X,ieee802154Narrow.anchor[8].appl/Dropped Packets in AN - Max MAC BackOff tries
1.86,8
4.28,1
6.7,1
9.12,1
11.54,0
13.96,2
16.38,0
18.8,0
21.22,3
23.64,2
26.06,1
28.48,0
30.9,1
33.32,0
35.74,1
38.16,0
40.58,0
43,0
45.42,0
47.84,0
50.26,0
52.68,4
55.1,0
57.52,2
59.94,1
62.36,0
64.78,2
67.2,4
69.62,4
72.04,4
74.46,1
76.88,0
79.3,3
81.72,1
84.14,1
86.56,1
88.98,2
91.4,3
93.82,2
96.24,4
98.66,2
101.08,1
103.5,7
105.92,2
108.34,3
110.76,1
113.18,1
115.6,0
118.02,1
120.44,1
122.86,2
125.28,1
127.7,2
130.12,3
132.54,0
134.96,3
137.38,4
139.8,1
142.22,2
144.64,3
147.06,3
149.48,5
151.9,7
154.32,0
156.74,3
159.16,2
161.58,3
164,0
166.42,1
168.84,0
171.26,5
173.68,3
176.1,3
178.52,5
180.94,1
183.36,1
185.78,3
188.2,0
190.62,3
193.04,8
195.46,6
197.88,2
200.3,7
202.72,2
205.14,1
207.56,4
209.98,1
212.4,3
214.82,1
217.24,5
219.66,4
222.08,3
224.5,6
226.92,2
229.34,2
231.76,2
234.18,1
236.6,1
239.02,2
241.44,2
243.86,3
246.28,0
248.7,2
251.12,1
253.54,0
255.96,2
258.38,2
260.8,0
263.22,1
265.64,0
268.06,2
270.48,0
272.9,1
275.32,0
277.74,1
280.16,2
282.58,2
285,1
287.42,1
289.84,2
292.26,1
294.68,0
297.1,0
299.52,0
301.94,3
304.36,1
306.78,2
309.2,2
311.62,0
314.04,1
316.46,6
318.88,0
321.3,1
323.72,1
326.14,3
328.56,0
330.98,1
333.4,2
335.82,3
338.24,2
340.66,0
343.08,1
345.5,2
347.92,4
350.34,1
352.76,3
355.18,0
357.6,2
360.02,7
362.44,2
364.86,3
367.28,4
369.7,2
372.12,2
374.54,2
376.96,1
379.38,5
381.8,3
384.22,1
386.64,1
389.06,2
391.48,3
393.9,0
396.32,3
398.74,3
401.16,1
403.58,1
406,1
408.42,0
410.84,3
413.26,3
415.68,3
418.1,2
420.52,0
422.94,0
425.36,1
427.78,0
430.2,0
432.62,0
435.04,0
437.46,0
439.88,4
442.3,0
444.72,0
447.14,2
449.56,0
451.98,0
454.4,1
456.82,0
459.24,0
461.66,0
464.08,0
466.5,2
468.92,2
471.34,1
473.76,2
476.18,2
478.6,3
481.02,1
483.44,1
