X,ieee802154Narrow.computer[0].appl/received-no-repeated-packets-per-period
1.86,77
4.28,83
6.7,86
9.12,84
11.54,89
13.96,90
16.38,93
18.8,95
21.22,93
23.64,95
26.06,94
28.48,99
30.9,98
33.32,96
35.74,98
38.16,101
40.58,101
43,104
45.42,99
47.84,101
50.26,101
52.68,96
55.1,101
57.52,97
59.94,101
62.36,95
64.78,96
67.2,94
69.62,96
72.04,98
74.46,102
76.88,105
79.3,101
81.72,101
84.14,99
86.56,104
88.98,106
91.4,105
93.82,104
96.24,104
98.66,103
101.08,102
103.5,98
105.92,98
108.34,96
110.76,92
113.18,96
115.6,97
118.02,98
120.44,100
122.86,99
125.28,101
127.7,101
130.12,102
132.54,103
134.96,100
137.38,96
139.8,98
142.22,100
144.64,99
147.06,101
149.48,97
151.9,98
154.32,97
156.74,98
159.16,95
161.58,94
164,96
166.42,97
168.84,95
171.26,97
173.68,101
176.1,102
178.52,103
180.94,100
183.36,100
185.78,99
188.2,101
190.62,101
193.04,102
195.46,99
197.88,97
200.3,95
202.72,97
205.14,98
207.56,96
209.98,96
212.4,98
214.82,97
217.24,98
219.66,97
222.08,98
224.5,95
226.92,106
229.34,102
231.76,101
234.18,101
236.6,100
239.02,99
241.44,104
243.86,106
246.28,102
248.7,103
251.12,100
253.54,103
255.96,101
258.38,96
260.8,98
263.22,101
265.64,100
268.06,97
270.48,100
272.9,103
275.32,106
277.74,107
280.16,104
282.58,103
285,104
287.42,101
289.84,100
292.26,101
294.68,100
297.1,101
299.52,103
301.94,103
304.36,100
306.78,101
309.2,100
311.62,102
314.04,97
316.46,100
318.88,100
321.3,99
323.72,100
326.14,100
328.56,100
330.98,99
333.4,99
335.82,99
338.24,101
340.66,99
343.08,103
345.5,101
347.92,101
350.34,102
352.76,98
355.18,95
357.6,98
360.02,100
362.44,100
364.86,105
367.28,104
369.7,107
372.12,105
374.54,104
376.96,103
379.38,106
381.8,102
384.22,102
386.64,102
389.06,100
391.48,100
393.9,103
396.32,101
398.74,101
401.16,97
403.58,100
406,99
408.42,98
410.84,99
413.26,100
415.68,98
418.1,101
420.52,99
422.94,97
425.36,97
427.78,102
430.2,103
432.62,103
435.04,103
437.46,101
439.88,98
442.3,104
444.72,104
447.14,107
449.56,102
451.98,101
454.4,103
456.82,102
459.24,100
461.66,98
464.08,98
466.5,100
468.92,102
471.34,99
473.76,101
476.18,99
478.6,96
481.02,94
483.44,97
