X,ieee802154Narrow.anchor[12].appl/Number of AN Reports with ACK
1.86,11
4.28,16
6.7,20
9.12,20
11.54,22
13.96,22
16.38,23
18.8,28
21.22,22
23.64,29
26.06,28
28.48,32
30.9,33
33.32,31
35.74,31
38.16,32
40.58,32
43,33
45.42,33
47.84,26
50.26,34
52.68,33
55.1,34
57.52,34
59.94,32
62.36,34
64.78,35
67.2,34
69.62,32
72.04,31
74.46,33
76.88,32
79.3,32
81.72,34
84.14,29
86.56,29
88.98,30
91.4,29
93.82,29
96.24,29
98.66,27
101.08,25
103.5,24
105.92,24
108.34,26
110.76,26
113.18,23
115.6,24
118.02,25
120.44,23
122.86,25
125.28,24
127.7,25
130.12,26
132.54,26
134.96,26
137.38,25
139.8,24
142.22,25
144.64,26
147.06,26
149.48,27
151.9,27
154.32,25
156.74,26
159.16,26
161.58,29
164,27
166.42,27
168.84,27
171.26,28
173.68,26
176.1,27
178.52,26
180.94,26
183.36,26
185.78,25
188.2,25
190.62,26
193.04,25
195.46,25
197.88,26
200.3,26
202.72,26
205.14,25
207.56,27
209.98,28
212.4,28
214.82,30
217.24,30
219.66,28
222.08,26
224.5,27
226.92,28
229.34,29
231.76,28
234.18,28
236.6,27
239.02,27
241.44,28
243.86,28
246.28,30
248.7,31
251.12,24
253.54,29
255.96,26
258.38,28
260.8,30
263.22,30
265.64,31
268.06,31
270.48,31
272.9,30
275.32,33
277.74,31
280.16,34
282.58,34
285,30
287.42,33
289.84,32
292.26,34
294.68,36
297.1,35
299.52,34
301.94,34
304.36,35
306.78,33
309.2,33
311.62,34
314.04,31
316.46,33
318.88,34
321.3,36
323.72,35
326.14,36
328.56,33
330.98,38
333.4,36
335.82,36
338.24,35
340.66,33
343.08,34
345.5,34
347.92,33
350.34,33
352.76,34
355.18,35
357.6,31
360.02,38
362.44,38
364.86,38
367.28,37
369.7,37
372.12,36
374.54,33
376.96,35
379.38,32
381.8,36
384.22,39
386.64,36
389.06,39
391.48,38
393.9,35
396.32,38
398.74,39
401.16,35
403.58,39
406,37
408.42,38
410.84,38
413.26,38
415.68,38
418.1,37
420.52,39
422.94,33
425.36,39
427.78,39
430.2,39
432.62,40
435.04,39
437.46,37
439.88,38
442.3,37
444.72,38
447.14,36
449.56,37
451.98,35
454.4,35
456.82,35
459.24,37
461.66,36
464.08,36
466.5,38
468.92,38
471.34,36
473.76,35
476.18,37
478.6,38
481.02,38
483.44,37
