X,ieee802154Narrow.anchor[12].appl/Number of AN Reports with ACK
1.86,29
4.28,31
6.7,32
9.12,35
11.54,35
13.96,34
16.38,35
18.8,34
21.22,32
23.64,36
26.06,34
28.48,36
30.9,36
33.32,35
35.74,32
38.16,33
40.58,33
43,35
45.42,34
47.84,36
50.26,36
52.68,33
55.1,29
57.52,33
59.94,33
62.36,28
64.78,28
67.2,29
69.62,33
72.04,35
74.46,36
76.88,29
79.3,33
81.72,33
84.14,33
86.56,32
88.98,32
91.4,33
93.82,27
96.24,28
98.66,30
101.08,36
103.5,34
105.92,32
108.34,39
110.76,39
113.18,33
115.6,36
118.02,33
120.44,36
122.86,37
125.28,39
127.7,38
130.12,38
132.54,37
134.96,37
137.38,41
139.8,39
142.22,41
144.64,41
147.06,40
149.48,42
151.9,38
154.32,41
156.74,38
159.16,39
161.58,39
164,36
166.42,37
168.84,37
171.26,39
173.68,37
176.1,35
178.52,35
180.94,36
183.36,35
185.78,33
188.2,30
190.62,31
193.04,30
195.46,28
197.88,29
200.3,30
202.72,30
205.14,31
207.56,32
209.98,32
212.4,32
214.82,33
217.24,35
219.66,35
222.08,33
224.5,32
226.92,31
229.34,31
231.76,28
234.18,28
236.6,27
239.02,28
241.44,27
243.86,29
246.28,28
248.7,29
251.12,29
253.54,28
255.96,29
258.38,29
260.8,31
263.22,31
265.64,31
268.06,31
270.48,32
272.9,31
275.32,29
277.74,29
280.16,31
282.58,32
285,33
287.42,33
289.84,33
292.26,36
294.68,36
297.1,34
299.52,34
301.94,33
304.36,34
306.78,33
309.2,34
311.62,35
314.04,35
316.46,35
318.88,36
321.3,31
323.72,29
326.14,33
328.56,33
330.98,32
333.4,31
335.82,31
338.24,32
340.66,32
343.08,33
345.5,33
347.92,32
350.34,32
352.76,31
355.18,31
357.6,32
360.02,32
362.44,31
364.86,31
367.28,29
369.7,30
372.12,31
374.54,29
376.96,29
379.38,30
381.8,28
384.22,28
386.64,27
389.06,26
391.48,26
393.9,26
396.32,26
398.74,27
401.16,26
403.58,25
406,24
408.42,24
410.84,25
413.26,27
415.68,26
418.1,26
420.52,27
422.94,27
425.36,28
427.78,27
430.2,27
432.62,27
435.04,25
437.46,25
439.88,26
442.3,26
444.72,27
447.14,28
449.56,29
451.98,30
454.4,30
456.82,30
459.24,30
461.66,31
464.08,31
466.5,32
468.92,33
471.34,34
473.76,32
476.18,32
478.6,31
481.02,32
483.44,31
