X,ieee802154Narrow.anchor[12].appl/Number of AN Reports with ACK
1.86,10
4.28,11
6.7,11
9.12,18
11.54,16
13.96,20
16.38,21
18.8,23
21.22,22
23.64,22
26.06,21
28.48,25
30.9,26
33.32,26
35.74,24
38.16,28
40.58,29
43,31
45.42,32
47.84,26
50.26,27
52.68,29
55.1,31
57.52,29
59.94,30
62.36,27
64.78,34
67.2,31
69.62,34
72.04,33
74.46,37
76.88,35
79.3,36
81.72,30
84.14,35
86.56,38
88.98,39
91.4,39
93.82,39
96.24,37
98.66,39
101.08,37
103.5,38
105.92,36
108.34,41
110.76,41
113.18,41
115.6,38
118.02,33
120.44,39
122.86,43
125.28,44
127.7,39
130.12,40
132.54,40
134.96,43
137.38,40
139.8,41
142.22,41
144.64,38
147.06,39
149.48,39
151.9,44
154.32,42
156.74,43
159.16,44
161.58,41
164,40
166.42,42
168.84,44
171.26,40
173.68,40
176.1,39
178.52,42
180.94,40
183.36,40
185.78,39
188.2,42
190.62,34
193.04,33
195.46,35
197.88,39
200.3,40
202.72,35
205.14,35
207.56,36
209.98,31
212.4,33
214.82,33
217.24,30
219.66,31
222.08,31
224.5,33
226.92,27
229.34,28
231.76,33
234.18,31
236.6,30
239.02,31
241.44,30
243.86,28
246.28,30
248.7,29
251.12,28
253.54,28
255.96,30
258.38,31
260.8,31
263.22,33
265.64,31
268.06,32
270.48,34
272.9,33
275.32,34
277.74,32
280.16,30
282.58,33
285,36
287.42,34
289.84,35
292.26,33
294.68,35
297.1,35
299.52,33
301.94,36
304.36,36
306.78,34
309.2,32
311.62,33
314.04,34
316.46,34
318.88,36
321.3,34
323.72,33
326.14,35
328.56,37
330.98,37
333.4,30
335.82,35
338.24,37
340.66,39
343.08,36
345.5,33
347.92,34
350.34,37
352.76,35
355.18,34
357.6,33
360.02,35
362.44,33
364.86,35
367.28,32
369.7,35
372.12,35
374.54,35
376.96,32
379.38,32
381.8,32
384.22,30
386.64,29
389.06,30
391.48,29
393.9,29
396.32,28
398.74,27
401.16,25
403.58,24
406,23
408.42,23
410.84,22
413.26,20
415.68,18
418.1,17
420.52,17
422.94,15
425.36,12
427.78,11
430.2,11
432.62,11
435.04,11
437.46,11
439.88,10
442.3,9
444.72,9
447.14,10
449.56,10
451.98,10
454.4,10
456.82,11
459.24,11
461.66,14
464.08,14
466.5,14
468.92,14
471.34,14
473.76,14
476.18,15
478.6,16
481.02,16
483.44,18
